date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-12-31,ASHA,IDR,2020,Q4,21999060309,262191410,-1713568316
2021-03-31,ASHA,IDR,2021,Q1,47139741110,1153171514,-1357786651
2021-06-30,ASHA,IDR,2021,Q2,91626686707,10614293537,3508927471
2021-09-30,ASHA,IDR,2021,Q3,7740168675,1044964132,-2044320196
2021-12-31,ASHA,IDR,2021,Q4,21899564371,6067747675,-19963915
2022-03-31,ASHA,IDR,2022,Q1,57772892744,12268599799,6900862869
2022-06-30,ASHA,IDR,2022,Q2,114122248119,17208238639,4754602526
2022-09-30,ASHA,IDR,2022,Q3,78637706450,1122254594,682897143
2022-12-31,ASHA,IDR,2022,Q4,199090221311,10260895131,5916212304
2023-03-31,ASHA,IDR,2023,Q1,75778830917,12549759479,7140879199
2023-06-30,ASHA,IDR,2023,Q2,131045736017,7417461876,1428544506
2023-09-30,ASHA,IDR,2023,Q3,88180216471,-3944214946,-7761362688
2023-12-31,ASHA,IDR,2023,Q4,109348788000,-9293794000,-21463791000
2024-03-31,ASHA,IDR,2024,Q1,54284598171,5756711740,19189685
2024-06-30,ASHA,IDR,2024,Q2,51210341062,7436151276,879778837
2024-09-30,ASHA,IDR,2024,Q3,68454763425,5249634679,-25245148
2024-12-31,ASHA,IDR,2024,Q4,89530767000,-32141455000,-31768147000
2025-03-31,ASHA,IDR,2025,Q1,22561277236,606553444,-4268392055
2025-06-30,ASHA,IDR,2025,Q2,32828815000,2137977000,1428023000
2025-09-30,ASHA,IDR,2025,Q3,55399090512,-492346699,-3911674692
2025-12-31,ASHA,IDR,2025,Q4,59716997866,-4602812491,-12814488863
2026-03-31,ASHA,IDR,2026,Q1,41221969942,-770357046,-3943284386
