date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,ASMI,IDR,2013,Q1,49040984395,49040984395,5545244013
2013-06-30,ASMI,IDR,2013,Q2,35846097728,35846097728,-2381789522
2013-09-30,ASMI,IDR,2013,Q3,49032686415,49032686415,5032135976
2013-12-31,ASMI,IDR,2013,Q4,59672781221,59672781221,1060184603
2014-03-31,ASMI,IDR,2014,Q1,52008368948,49439527975,-126202701
2014-06-30,ASMI,IDR,2014,Q2,65867012793,65867012793,11779876446
2014-09-30,ASMI,IDR,2014,Q3,78522386721,71638689059,22712151516
2014-12-31,ASMI,IDR,2014,Q4,79520164104,48832064410,-10221135361
2015-03-31,ASMI,IDR,2015,Q1,38213729452,30946754614,-17582049466
2015-06-30,ASMI,IDR,2015,Q2,42332526993,36979124811,-11857069453
2015-09-30,ASMI,IDR,2015,Q3,78737790806,73296078590,28722791552
2015-12-31,ASMI,IDR,2015,Q4,74603533301,47947444627,9887377400
2016-03-31,ASMI,IDR,2016,Q1,42315287527,38957359488,7251275061
2016-06-30,ASMI,IDR,2016,Q2,52558959032,51100519096,7977303051
2016-09-30,ASMI,IDR,2016,Q3,67656262208,66932234064,32657028817
2016-12-31,ASMI,IDR,2016,Q4,68557990349,40375881389,-6130226888
2017-03-31,ASMI,IDR,2017,Q1,48465822266,47108059759,7507858406
2017-06-30,ASMI,IDR,2017,Q2,41044696285,39109610109,5593757567
2017-09-30,ASMI,IDR,2017,Q3,54011306453,51335333998,16931459166
2017-12-31,ASMI,IDR,2017,Q4,104582898763,69450796615,22710736623
2018-03-31,ASMI,IDR,2018,Q1,91498196753,80592042982,47863707029
2018-06-30,ASMI,IDR,2018,Q2,50087428723,47465266929,10771218664
2018-09-30,ASMI,IDR,2018,Q3,52021854292,50783369067,13663545218
2018-12-31,ASMI,IDR,2018,Q4,72281661627,33672670283,-2398065574
2019-03-31,ASMI,IDR,2019,Q1,76572481035,63349539336,27747859396
2019-06-30,ASMI,IDR,2019,Q2,28374620298,40412024865,524674380
2019-09-30,ASMI,IDR,2019,Q3,74909871323,36546935778,-4835000243
2019-12-31,ASMI,IDR,2019,Q4,49037580367,36170355397,-14029022193
2020-03-31,ASMI,IDR,2020,Q1,-4349117055,-28423553605,-89134211453
2020-06-30,ASMI,IDR,2020,Q2,83431540125,72972718934,13034057411
2020-09-30,ASMI,IDR,2020,Q3,46573180013,43287599445,-4037909841
2020-12-31,ASMI,IDR,2020,Q4,89427840051,70798024572,-8388529853
2021-03-31,ASMI,IDR,2021,Q1,54611780234,41634512945,1906316481
2021-06-30,ASMI,IDR,2021,Q2,67075369725,53635661445,10731759001
2021-09-30,ASMI,IDR,2021,Q3,116456750006,98982174812,30747624865
2021-12-31,ASMI,IDR,2021,Q4,83819943867,50738095315,-23834911564
2022-03-31,ASMI,IDR,2022,Q1,58373545941,22128908889,-26380764063
2022-06-30,ASMI,IDR,2022,Q2,60021636009,35256285018,-30374086906
2022-09-30,ASMI,IDR,2022,Q3,87554603471,65793674727,-3063102839
2022-12-31,ASMI,IDR,2022,Q4,81653710761,54655025395,-26513875213
2023-03-31,ASMI,IDR,2023,Q1,81967482809,52087871618,-19005286319
2023-06-30,ASMI,IDR,2023,Q2,146382421866,118753469881,44373085833
2023-09-30,ASMI,IDR,2023,Q3,91439048388,68838437899,-12785492638
2023-12-31,ASMI,IDR,2023,Q4,104525165906,77981877627,-5013339234
2024-03-31,ASMI,IDR,2024,Q1,95344019171,65188359134,-3731654365
2024-06-30,ASMI,IDR,2024,Q2,96530485436,72795430109,-3440919597
2024-09-30,ASMI,IDR,2024,Q3,102641545499,77208313464,-9843784652
2024-12-31,ASMI,IDR,2024,Q4,119959982891,105403992588,24093482236
2025-03-31,ASMI,IDR,2025,Q1,72771303912,55530055866,2131911671
2025-06-30,ASMI,IDR,2025,Q2,61796478000,54294647000,-1512415000
2025-09-30,ASMI,IDR,2025,Q3,146428328000,137196368000,1468138000
2025-12-31,ASMI,IDR,2025,Q4,330736735000,330736735000,55018055000
