date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,ASPI,IDR,2019,Q1,0,0,-611891139
2019-06-30,ASPI,IDR,2019,Q2,1147500000,362032721,-516405539
2019-09-30,ASPI,IDR,2019,Q3,3983641379,1866234937,860338708
2019-12-31,ASPI,IDR,2019,Q4,2685580469,-165366772,-2019857039
2020-03-31,ASPI,IDR,2020,Q1,1154545458,275335315,-1562269834
2020-06-30,ASPI,IDR,2020,Q2,13636364,-10741611,-1181329972
2020-09-30,ASPI,IDR,2020,Q3,828090829,225435976,-372860512
2020-12-31,ASPI,IDR,2020,Q4,-53717290,-72989562,707906121
2021-03-31,ASPI,IDR,2021,Q1,1907778182,577466462,-1592302
2021-06-30,ASPI,IDR,2021,Q2,862676364,432275386,94258621
2021-09-30,ASPI,IDR,2021,Q3,3337278182,979991587,-199450472
2021-12-31,ASPI,IDR,2021,Q4,0,-56151472,-709528168
2022-03-31,ASPI,IDR,2022,Q1,1234181823,386520922,-108147656
2022-06-30,ASPI,IDR,2022,Q2,3332973412,1087818442,209575281
2022-09-30,ASPI,IDR,2022,Q3,3746598804,738543441,-411324775
2022-12-31,ASPI,IDR,2022,Q4,1500058920,493409594,-2438260887
2023-03-31,ASPI,IDR,2023,Q1,4035123603,1206573907,214907133
2023-06-30,ASPI,IDR,2023,Q2,1584489595,372374161,-658777012
2023-09-30,ASPI,IDR,2023,Q3,1496327137,432406557,-503075943
2023-12-31,ASPI,IDR,2023,Q4,1280038411,159880254,-1173889030
2024-03-31,ASPI,IDR,2024,Q1,909893677,323004350,-1316954232
2024-06-30,ASPI,IDR,2024,Q2,24228091531,7654564854,1363568134
2024-09-30,ASPI,IDR,2024,Q3,922644144,428516378,-777918404
2024-12-31,ASPI,IDR,2024,Q4,13293357000,6450454000,1590581000
2025-03-31,ASPI,IDR,2025,Q1,2953108118,1465035883,4404598
2025-06-30,ASPI,IDR,2025,Q2,682360360,266556142,-798618593
2025-09-30,ASPI,IDR,2025,Q3,400000000,9317203,-966652127
2025-12-31,ASPI,IDR,2025,Q4,390243600,100160270,-9785039974
2026-03-31,ASPI,IDR,2026,Q1,2641687900,1055058633,-638928559
