date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,ASRI,IDR,2011,Q1,0,0,0
2011-06-30,ASRI,IDR,2011,Q2,0,0,0
2011-09-30,ASRI,IDR,2011,Q3,317736751108,195283347666,125987467134
2011-12-31,ASRI,IDR,2011,Q4,356917199424,229110944085,187301039106
2012-03-31,ASRI,IDR,2012,Q1,674670746000,413754906000,345356499000
2012-06-30,ASRI,IDR,2012,Q2,440598176921,287814135115,180650477728
2012-09-30,ASRI,IDR,2012,Q3,603471164020,375284949858,212845611686
2012-12-31,ASRI,IDR,2012,Q4,727673802059,390042571027,453863336586
2013-03-31,ASRI,IDR,2013,Q1,901795157000,551785550000,404849770000
2013-06-30,ASRI,IDR,2013,Q2,921200046000,530792971000,342627002000
2013-09-30,ASRI,IDR,2013,Q3,1218652761000,426487032000,120190061000
2013-12-31,ASRI,IDR,2013,Q4,642591797000,328359791000,9118553000
2014-03-31,ASRI,IDR,2014,Q1,871134647000,415489437000,309921083000
2014-06-30,ASRI,IDR,2014,Q2,1073805225000,661965205000,205442832000
2014-09-30,ASRI,IDR,2014,Q3,878775056000,628217430000,303554203000
2014-12-31,ASRI,IDR,2014,Q4,807199151000,601046152000,278499849000
2015-03-31,ASRI,IDR,2015,Q1,990655609000,765610752000,319048649000
2015-06-30,ASRI,IDR,2015,Q2,741922604000,605794327000,135308255000
2015-09-30,ASRI,IDR,2015,Q3,437192025000,298607539000,-391778129000
2015-12-31,ASRI,IDR,2015,Q4,613930080000,386050686000,533936630000
2016-03-31,ASRI,IDR,2016,Q1,842867824000,547527858000,527393594000
2016-06-30,ASRI,IDR,2016,Q2,442427904000,194012011000,30694658000
2016-09-30,ASRI,IDR,2016,Q3,619776299000,321526004000,101651993000
2016-12-31,ASRI,IDR,2016,Q4,810616753000,401793198000,-150959722000
2017-03-31,ASRI,IDR,2017,Q1,701886785000,347626050000,176148779000
2017-06-30,ASRI,IDR,2017,Q2,983327187000,779027069000,534183535000
2017-09-30,ASRI,IDR,2017,Q3,1484678135000,708725991000,406080032000
2017-12-31,ASRI,IDR,2017,Q4,747214991000,540644072000,263567463000
2018-03-31,ASRI,IDR,2018,Q1,1014520903000,632969201000,299512029000
2018-06-30,ASRI,IDR,2018,Q2,1182091222000,740311797000,217784168000
2018-09-30,ASRI,IDR,2018,Q3,1006494719000,651391202000,121699169000
2018-12-31,ASRI,IDR,2018,Q4,772151316000,419311146000,331100777000
2019-03-31,ASRI,IDR,2019,Q1,685112168000,451977982000,159335397000
2019-06-30,ASRI,IDR,2019,Q2,597980285000,291522908000,-7997317000
2019-09-30,ASRI,IDR,2019,Q3,677398897000,369261871000,48549974000
2019-12-31,ASRI,IDR,2019,Q4,1515185825000,1083941809000,811740080000
2020-03-31,ASRI,IDR,2020,Q1,300031986000,100154559000,-1370405484000
2020-06-30,ASRI,IDR,2020,Q2,619475831000,360660780000,857918519000
2020-09-30,ASRI,IDR,2020,Q3,183116263000,42762139000,-465165047000
2020-12-31,ASRI,IDR,2020,Q4,310627881000,92979683000,-50054321000
2021-03-31,ASRI,IDR,2021,Q1,467607230000,193018454000,-311448809000
2021-06-30,ASRI,IDR,2021,Q2,642152926000,354160953000,66534660000
2021-09-30,ASRI,IDR,2021,Q3,662094942000,369457285000,105963691000
2021-12-31,ASRI,IDR,2021,Q4,1075468619000,592577358000,284644081000
2022-03-31,ASRI,IDR,2022,Q1,947191306000,494877193000,136855702000
2022-06-30,ASRI,IDR,2022,Q2,1006714393000,603550560000,79984568000
2022-09-30,ASRI,IDR,2022,Q3,791405559000,390658021000,-109421809000
2022-12-31,ASRI,IDR,2022,Q4,1748220001000,1142054006000,979853888000
2023-03-31,ASRI,IDR,2023,Q1,695063649000,308443300000,30114079000
2023-06-30,ASRI,IDR,2023,Q2,902439728000,514237550000,137190635000
2023-09-30,ASRI,IDR,2023,Q3,887989623000,507403274000,42690322000
2023-12-31,ASRI,IDR,2023,Q4,1470522546000,816106578000,422332808000
2024-03-31,ASRI,IDR,2024,Q1,947275437000,480994229000,42120202000
2024-06-30,ASRI,IDR,2024,Q2,933898248000,486944728000,-23464498000
2024-09-30,ASRI,IDR,2024,Q3,641929335000,327441607000,-6044565000
2024-12-31,ASRI,IDR,2024,Q4,910234136000,469494145000,42605012000
2025-03-31,ASRI,IDR,2025,Q1,567325694000,344954825000,31934366000
2025-06-30,ASRI,IDR,2025,Q2,548442748000,266326546000,9709237000
2025-09-30,ASRI,IDR,2025,Q3,541868151000,253669664000,-33676493000
2025-12-31,ASRI,IDR,2025,Q4,1276310088000,691829239000,305216470000
2026-03-31,ASRI,IDR,2026,Q1,650886832000,295109895000,18533260000
2026-06-30,ASRI,IDR,2026,Q2,669100216000,298899160000,-5766308000
