date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,ASSA,IDR,2012,Q1,160302091865,58563782289,4717619673
2012-06-30,ASSA,IDR,2012,Q2,193311060084,64749215305,5872178088
2012-09-30,ASSA,IDR,2012,Q3,217524639074,66521485811,2298900194
2012-12-31,ASSA,IDR,2012,Q4,222724356292,75879060353,16564074748
2013-03-31,ASSA,IDR,2013,Q1,239432189685,80725561685,21307939621
2013-06-30,ASSA,IDR,2013,Q2,255245424211,84191809195,21856628265
2013-09-30,ASSA,IDR,2013,Q3,257660609492,84738224281,16885802666
2013-12-31,ASSA,IDR,2013,Q4,266545042087,96046624893,31989179684
2014-03-31,ASSA,IDR,2014,Q1,268407211035,92415282162,20805845785
2014-06-30,ASSA,IDR,2014,Q2,262948032347,75533303214,6058246146
2014-09-30,ASSA,IDR,2014,Q3,297537802393,90351508203,8868884661
2014-12-31,ASSA,IDR,2014,Q4,311367433674,90896628932,7200977574
2015-03-31,ASSA,IDR,2015,Q1,340907776302,102041641662,20479422716
2015-06-30,ASSA,IDR,2015,Q2,321912535655,92858681681,9690552537
2015-09-30,ASSA,IDR,2015,Q3,333540901250,97941415267,8944623938
2015-12-31,ASSA,IDR,2015,Q4,396235633027,122110623756,-4968759551
2016-03-31,ASSA,IDR,2016,Q1,365275326456,100350856255,10966943050
2016-06-30,ASSA,IDR,2016,Q2,379687244961,108312225368,11588486124
2016-09-30,ASSA,IDR,2016,Q3,388131208242,108040767987,17075431631
2016-12-31,ASSA,IDR,2016,Q4,437294548258,139373509269,22520123889
2017-03-31,ASSA,IDR,2017,Q1,410922465742,121097191365,22914147277
2017-06-30,ASSA,IDR,2017,Q2,401494560359,120848020320,24016412913
2017-09-30,ASSA,IDR,2017,Q3,421238696739,130323258328,26259253977
2017-12-31,ASSA,IDR,2017,Q4,456190471191,144573764461,30008391096
2018-03-31,ASSA,IDR,2018,Q1,450839858496,145372769917,41093610685
2018-06-30,ASSA,IDR,2018,Q2,433912149820,142496780000,34548361765
2018-09-30,ASSA,IDR,2018,Q3,470585280378,147786117789,30752009866
2018-12-31,ASSA,IDR,2018,Q4,507608349645,163044883796,37114670437
2019-03-31,ASSA,IDR,2019,Q1,508673145129,159618719367,31384990243
2019-06-30,ASSA,IDR,2019,Q2,572024332866,181354684984,29192096421
2019-09-30,ASSA,IDR,2019,Q3,590196162215,198365990940,27224708624
2019-12-31,ASSA,IDR,2019,Q4,658672152332,200489794907,22600658758
2020-03-31,ASSA,IDR,2020,Q1,701617334184,202532229398,34798094275
2020-06-30,ASSA,IDR,2020,Q2,701444092558,186846285664,8203308344
2020-09-30,ASSA,IDR,2020,Q3,746905090024,172409247612,8193430314
2020-12-31,ASSA,IDR,2020,Q4,887392851201,228322698919,35952887259
2021-03-31,ASSA,IDR,2021,Q1,963171126912,220728960428,32659493232
2021-06-30,ASSA,IDR,2021,Q2,1146928816736,246417259248,39969270213
2021-09-30,ASSA,IDR,2021,Q3,1365384761600,207658958109,-6028582295
2021-12-31,ASSA,IDR,2021,Q4,1612609474126,381896447957,90167927012
2022-03-31,ASSA,IDR,2022,Q1,1536302839713,346626855115,72987118103
2022-06-30,ASSA,IDR,2022,Q2,1634193430356,276333630729,12421991409
2022-09-30,ASSA,IDR,2022,Q3,1459250692632,234879219251,-28202518782
2022-12-31,ASSA,IDR,2022,Q4,1240346919305,224110380280,-65344703724
2023-03-31,ASSA,IDR,2023,Q1,1146314378073,297609412789,38541761306
2023-06-30,ASSA,IDR,2023,Q2,1242505887656,271020431871,17741148237
2023-09-30,ASSA,IDR,2023,Q3,1071187623139,271143534340,48693240287
2023-12-31,ASSA,IDR,2023,Q4,978514417626,233232439452,-14502665319
2024-03-31,ASSA,IDR,2024,Q1,1181858146310,318841777368,71008641987
2024-06-30,ASSA,IDR,2024,Q2,1186070318124,315345092062,57419134033
2024-09-30,ASSA,IDR,2024,Q3,1273570595000,399924667000,84249108000
2024-12-31,ASSA,IDR,2024,Q4,1314392462000,428597250000,31067904000
2025-03-31,ASSA,IDR,2025,Q1,1385235716000,418022736000,101752109000
2025-06-30,ASSA,IDR,2025,Q2,1450535932000,453844148000,103494725000
2025-09-30,ASSA,IDR,2025,Q3,1578982960000,502212431000,143352680000
2025-12-31,ASSA,IDR,2025,Q4,1574731274000,480949915000,69149906000
2026-03-31,ASSA,IDR,2026,Q1,1538512122000,461936459000,98475511000
