date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-12-31,ATLA,IDR,2022,Q4,22990101053,6083739197,3334622488
2023-09-30,ATLA,IDR,2023,Q3,10348827497,3340127145,957318444
2023-12-31,ATLA,IDR,2023,Q4,12127116736,2744818428,-62384787
2024-03-31,ATLA,IDR,2024,Q1,5256713980,2655669610,796453025
2024-06-30,ATLA,IDR,2024,Q2,26009730617,3212486559,464991335
2024-09-30,ATLA,IDR,2024,Q3,26987143215,6897791401,1784059659
2024-12-31,ATLA,IDR,2024,Q4,26660049974,2371370927,-20558230
2025-03-31,ATLA,IDR,2025,Q1,24051657288,3733544624,1051866700
2025-06-30,ATLA,IDR,2025,Q2,26682585000,6376865000,1664581000
2025-09-30,ATLA,IDR,2025,Q3,12667660762,3177485768,-120535572
2025-12-31,ATLA,IDR,2025,Q4,18741738000,5456733000,1131966000
2026-03-31,ATLA,IDR,2026,Q1,16445107830,3458363210,621138542
