date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-03-31,AYAM,IDR,2023,Q1,50677396524,3774635131,1778188340
2023-06-30,AYAM,IDR,2023,Q2,95188039509,5451642614,2645256468
2023-09-30,AYAM,IDR,2023,Q3,104183800726,6177726810,2171288983
2023-12-31,AYAM,IDR,2023,Q4,102212739000,8277225000,3039336000
2024-03-31,AYAM,IDR,2024,Q1,97453254000,5939233000,2520078000
2024-06-30,AYAM,IDR,2024,Q2,97574171000,8419582000,4044882000
2024-09-30,AYAM,IDR,2024,Q3,73131567874,1365673039,462144684
2024-12-31,AYAM,IDR,2024,Q4,93185066778,4217806927,701715515
2025-03-31,AYAM,IDR,2025,Q1,104805486000,6899811000,3459342000
2025-06-30,AYAM,IDR,2025,Q2,79494724000,-11684000,-2298245000
2025-09-30,AYAM,IDR,2025,Q3,41119305000,-15567451000,-17905076000
2025-12-31,AYAM,IDR,2025,Q4,41643733000,17277791000,16819396000
2026-03-31,AYAM,IDR,2026,Q1,56393715000,9292823000,5307487000
