date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,AYLS,IDR,2019,Q1,6556674464,1305132588,107490613
2019-06-30,AYLS,IDR,2019,Q2,6556674464,1305132589,170994451
2019-09-30,AYLS,IDR,2019,Q3,16391686160,3262831470,-44777304
2020-03-31,AYLS,IDR,2020,Q1,3083402000,925020600,-927905120
2020-06-30,AYLS,IDR,2020,Q2,1474176000,94000000,-1592508298
2020-09-30,AYLS,IDR,2020,Q3,3108782080,1467988831,-166497635
2020-12-31,AYLS,IDR,2020,Q4,2300000000,-1045894539,-1442033164
2021-03-31,AYLS,IDR,2021,Q1,690625000,19595047,3530709185
2021-06-30,AYLS,IDR,2021,Q2,398258192,4692137,-533168932
2021-09-30,AYLS,IDR,2021,Q3,715450910,-68502785,-312200971
2021-12-31,AYLS,IDR,2021,Q4,188255454,-46804421,-1018807666
2022-03-31,AYLS,IDR,2022,Q1,4368000000,222216917,49076173
2022-06-30,AYLS,IDR,2022,Q2,0,-12968750,-436886219
2022-09-30,AYLS,IDR,2022,Q3,3390000000,234718750,21459367
2022-12-31,AYLS,IDR,2022,Q4,1229252297,76471047,-2068239587
2023-03-31,AYLS,IDR,2023,Q1,1684988000,76988000,-670428261
2023-06-30,AYLS,IDR,2023,Q2,367448400,33179662,-769430611
2023-09-30,AYLS,IDR,2023,Q3,1430000000,27731262,-278747925
2023-12-31,AYLS,IDR,2023,Q4,256905000,-3113738,-168965293
2024-03-31,AYLS,IDR,2024,Q1,308108107,32919107,-348898419
2024-06-30,AYLS,IDR,2024,Q2,317837838,51401839,-465665613
2024-09-30,AYLS,IDR,2024,Q3,119189189,17939189,-385281669
2024-12-31,AYLS,IDR,2024,Q4,278108108,41858108,-885329848
2025-03-31,AYLS,IDR,2025,Q1,311351351,41351351,-506834668
2025-06-30,AYLS,IDR,2025,Q2,248108108,45608108,-576600300
2025-09-30,AYLS,IDR,2025,Q3,190702703,28702703,-466510397
2025-12-31,AYLS,IDR,2025,Q4,21982774152,2017747200,-5642985226
2026-03-31,AYLS,IDR,2026,Q1,315000000,45000000,-1322663376
2026-06-30,AYLS,IDR,2026,Q2,305000000,49640000,-746072249
