date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-12-31,BABY,IDR,2022,Q4,244529013974,111899360403,71224687423
2023-03-31,BABY,IDR,2023,Q1,246524359915,92046701201,-10836572173
2023-06-30,BABY,IDR,2023,Q2,249707477297,106347429924,-2951207950
2023-09-30,BABY,IDR,2023,Q3,251088942507,99385997640,-8024488529
2023-12-31,BABY,IDR,2023,Q4,258362183000,96411917000,-8563237000
2024-03-31,BABY,IDR,2024,Q1,267056369000,92830462000,-24643243000
2024-06-30,BABY,IDR,2024,Q2,249805518000,59273137000,-28723920000
2024-09-30,BABY,IDR,2024,Q3,274163956000,96327736000,-10259287000
2024-12-31,BABY,IDR,2024,Q4,253006908000,88599816000,-19527789000
2025-03-31,BABY,IDR,2025,Q1,266813642000,97201354000,-17563216000
2025-06-30,BABY,IDR,2025,Q2,276649182000,108785985000,7007804000
2025-09-30,BABY,IDR,2025,Q3,273852145000,93143166000,-12017832000
2025-12-31,BABY,IDR,2025,Q4,284381836000,100412333000,5721205000
2026-03-31,BABY,IDR,2026,Q1,304931996817,143467398417,6571256235
2026-06-30,BABY,IDR,2026,Q2,605290664446,241080351710,5212094864
