date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,BAJA,IDR,2012,Q4,291575566582,13394589451,5190739476
2013-03-31,BAJA,IDR,2013,Q1,279769488957,17896420323,6744008351
2013-06-30,BAJA,IDR,2013,Q2,235914243960,3653689211,-6068333659
2013-09-30,BAJA,IDR,2013,Q3,270935114951,6027597163,-53950898426
2013-12-31,BAJA,IDR,2013,Q4,265512277692,-995191049,-23847449876
2014-03-31,BAJA,IDR,2014,Q1,297731428616,8457142764,27058262739
2014-06-30,BAJA,IDR,2014,Q2,274603338383,34889415810,5305404195
2014-09-30,BAJA,IDR,2014,Q3,276106202600,6293301361,-6828573148
2014-12-31,BAJA,IDR,2014,Q4,381403670806,8675008880,-11457241359
2015-03-31,BAJA,IDR,2015,Q1,323500151387,25040239092,-4350002215
2015-06-30,BAJA,IDR,2015,Q2,292351184357,-738861654,-16101920399
2015-09-30,BAJA,IDR,2015,Q3,288329624305,167558638,-40523039901
2015-12-31,BAJA,IDR,2015,Q4,347012674223,45983988820,51625061633
2016-03-31,BAJA,IDR,2016,Q1,192788708086,-1365896892,5891113820
2016-06-30,BAJA,IDR,2016,Q2,233741198079,27855857070,12550743266
2016-09-30,BAJA,IDR,2016,Q3,227783755248,27560172044,18356873386
2016-12-31,BAJA,IDR,2016,Q4,324526978151,20612080402,-2405375382
2017-03-31,BAJA,IDR,2017,Q1,277270322325,9617520900,3032589105
2017-06-30,BAJA,IDR,2017,Q2,290347952772,-1589006097,-6964075213
2017-09-30,BAJA,IDR,2017,Q3,-567618275097,-897082185456,-13372336166
2017-12-31,BAJA,IDR,2017,Q4,1218317826843,897520374217,-5680939477
2018-03-31,BAJA,IDR,2018,Q1,321243710432,7092117254,-5515352141
2018-06-30,BAJA,IDR,2018,Q2,230123303913,3638411108,-27359335308
2018-09-30,BAJA,IDR,2018,Q3,378370289998,-7060879973,-27536170382
2018-12-31,BAJA,IDR,2018,Q4,350072579351,-13362499904,-36284923742
2019-03-31,BAJA,IDR,2019,Q1,290512244198,1816960000,6651231476
2019-06-30,BAJA,IDR,2019,Q2,181424863285,-11333344619,-15570960978
2019-09-30,BAJA,IDR,2019,Q3,241861712980,5557429425,-2993606470
2019-12-31,BAJA,IDR,2019,Q4,358826771870,29243272979,13026319720
2020-03-31,BAJA,IDR,2020,Q1,348689128771,9665276470,-99380796319
2020-06-30,BAJA,IDR,2020,Q2,241152473393,15578241594,93389761058
2020-09-30,BAJA,IDR,2020,Q3,326298919379,30448581752,5252569425
2020-12-31,BAJA,IDR,2020,Q4,288814259414,45949930000,55856986063
2021-03-31,BAJA,IDR,2021,Q1,376487094630,71977573000,42927868317
2021-06-30,BAJA,IDR,2021,Q2,347909007965,56943802254,35959107669
2021-09-30,BAJA,IDR,2021,Q3,455584376815,57968168291,43216205077
2021-12-31,BAJA,IDR,2021,Q4,194506275194,-1436933819,-33576102292
2022-03-31,BAJA,IDR,2022,Q1,292155913207,-3935293399,-11636595303
2022-06-30,BAJA,IDR,2022,Q2,292343391396,1644251275,-14658651995
2022-09-30,BAJA,IDR,2022,Q3,214246755755,-26246462697,-36210557497
2022-12-31,BAJA,IDR,2022,Q4,263053366964,-4915604210,-40835382921
2023-03-31,BAJA,IDR,2023,Q1,309180940724,-2360489698,8386655564
2023-06-30,BAJA,IDR,2023,Q2,194577619327,5804811069,-2653491633
2023-09-30,BAJA,IDR,2023,Q3,215100978648,-995963326,-18258467979
2023-12-31,BAJA,IDR,2023,Q4,231594666780,9495168225,11228522508
2024-03-31,BAJA,IDR,2024,Q1,192880778365,-2374189762,-20589523987
2024-06-30,BAJA,IDR,2024,Q2,156746853076,-1098659530,-29010356226
2024-09-30,BAJA,IDR,2024,Q3,206910586000,3352288000,25064346000
2024-12-31,BAJA,IDR,2024,Q4,231723789000,9632778000,-32142585000
2025-03-31,BAJA,IDR,2025,Q1,180394026000,7151982000,-19745816000
2025-06-30,BAJA,IDR,2025,Q2,161232456000,1829774000,3217067000
2025-09-30,BAJA,IDR,2025,Q3,230781694000,7870635000,-9340262000
2025-12-31,BAJA,IDR,2025,Q4,251808420000,7656435000,-10547674000
2026-03-31,BAJA,IDR,2026,Q1,250114220025,5012098113,-10527746168
2026-06-30,BAJA,IDR,2026,Q2,384429212786,45455531847,31861194853
