date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-06-30,BAPI,IDR,2022,Q2,9500000000,1003411825,328289157
2022-09-30,BAPI,IDR,2022,Q3,498960000,156527648,30694786
2022-12-31,BAPI,IDR,2022,Q4,309090909,93294067,-431376166
2023-03-31,BAPI,IDR,2023,Q1,701000000,218610145,-291053025
2023-06-30,BAPI,IDR,2023,Q2,397000000,122710460,-180462288
2023-09-30,BAPI,IDR,2023,Q3,694693694,216663261,-451554061
2023-12-31,BAPI,IDR,2023,Q4,403306306,124935315,-399550862
2024-03-31,BAPI,IDR,2024,Q1,595000000,186206729,-66028626
2024-06-30,BAPI,IDR,2024,Q2,595000000,187394593,-431168343
2024-09-30,BAPI,IDR,2024,Q3,397000000,122769416,-996068416
2024-12-31,BAPI,IDR,2024,Q4,397000000,123027500,-3863298993
2025-03-31,BAPI,IDR,2025,Q1,397000000,121464616,-1063643945
2025-06-30,BAPI,IDR,2025,Q2,397000000,122891216,-657270043
2025-09-30,BAPI,IDR,2025,Q3,397000000,124784166,-480674369
2025-12-31,BAPI,IDR,2025,Q4,397000000,124784165,-20459640077
2026-03-31,BAPI,IDR,2026,Q1,397000000,125237416,-542148377
2026-06-30,BAPI,IDR,2026,Q2,397000000,125237416,-292670877
