date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,BBHI,IDR,2012,Q3,21022000000,21022000000,3868000000
2012-12-31,BBHI,IDR,2012,Q4,19933751233,19933751233,5112116692
2013-03-31,BBHI,IDR,2013,Q1,22215000000,22215000000,3911000000
2013-06-30,BBHI,IDR,2013,Q2,20452000000,20452000000,1409000000
2013-09-30,BBHI,IDR,2013,Q3,20091000000,20091000000,1763000000
2013-12-31,BBHI,IDR,2013,Q4,21822251973,21822251973,4643599403
2014-03-31,BBHI,IDR,2014,Q1,19477000000,19477000000,880000000
2014-06-30,BBHI,IDR,2014,Q2,21910000000,21910000000,2864000000
2014-09-30,BBHI,IDR,2014,Q3,21766496687,21766496687,1731393289
2014-12-31,BBHI,IDR,2014,Q4,28346197208,28346197208,6973477867
2015-03-31,BBHI,IDR,2015,Q1,22869597827,22869597827,2196497474
2015-06-30,BBHI,IDR,2015,Q2,25599347555,25599347555,3887498820
2015-09-30,BBHI,IDR,2015,Q3,20470761880,20470761880,-159160030
2015-12-31,BBHI,IDR,2015,Q4,-43441030345,-43441030345,-51903042626
2016-03-31,BBHI,IDR,2016,Q1,24392892273,24392892273,2889596624
2016-06-30,BBHI,IDR,2016,Q2,22764849953,22764849953,1951463068
2016-09-30,BBHI,IDR,2016,Q3,20289991135,20289991135,-809816457
2016-12-31,BBHI,IDR,2016,Q4,26050546650,26050546650,3055789892
2017-03-31,BBHI,IDR,2017,Q1,52531806322,26269454571,2324853675
2017-06-30,BBHI,IDR,2017,Q2,55698140576,28773207923,2886207130
2017-09-30,BBHI,IDR,2017,Q3,60630356564,30158141236,2372935875
2017-12-31,BBHI,IDR,2017,Q4,56718649550,28106348532,2778328778
2018-03-31,BBHI,IDR,2018,Q1,57762241470,27817051709,971364086
2018-06-30,BBHI,IDR,2018,Q2,56413125980,28438910037,-20096154350
2018-09-30,BBHI,IDR,2018,Q3,56117085520,27501866613,-422138906
2018-12-31,BBHI,IDR,2018,Q4,54819043238,24728635263,-103596378560
2019-03-31,BBHI,IDR,2019,Q1,67900540282,37764684223,9919093503
2019-06-30,BBHI,IDR,2019,Q2,62984447910,29213378382,-653240387
2019-09-30,BBHI,IDR,2019,Q3,48198258206,13490980654,-15977441330
2019-12-31,BBHI,IDR,2019,Q4,52578557652,19326936526,-29838074975
2020-03-31,BBHI,IDR,2020,Q1,50167998616,19684550158,488502545
2020-06-30,BBHI,IDR,2020,Q2,41850630050,14611103193,32372286909
2020-09-30,BBHI,IDR,2020,Q3,33828153645,7316719631,15532149299
2020-12-31,BBHI,IDR,2020,Q4,42013385911,15673358914,-11381547416
2021-03-31,BBHI,IDR,2021,Q1,56280867126,24847089315,8862350985
2021-06-30,BBHI,IDR,2021,Q2,73419302025,32079675274,14066190801
2021-09-30,BBHI,IDR,2021,Q3,131390573019,92301541522,62803298225
2021-12-31,BBHI,IDR,2021,Q4,197798885574,154960538609,106742778182
2022-03-31,BBHI,IDR,2022,Q1,161509965608,140214132368,75006925657
2022-06-30,BBHI,IDR,2022,Q2,225051320431,199951417156,75617992773
2022-09-30,BBHI,IDR,2022,Q3,228761537551,192881329169,58402218789
2022-12-31,BBHI,IDR,2022,Q4,280794405796,228083991640,61002273974
2023-03-31,BBHI,IDR,2023,Q1,324855700336,251413785731,90496806421
2023-06-30,BBHI,IDR,2023,Q2,379015320686,306924904816,125759825028
2023-09-30,BBHI,IDR,2023,Q3,360203739303,294563564764,122561809595
2023-12-31,BBHI,IDR,2023,Q4,369177294318,298506317938,105747693260
2024-03-31,BBHI,IDR,2024,Q1,373526342181,295930466803,111486726052
2024-06-30,BBHI,IDR,2024,Q2,390460874091,313929079698,89107542861
2024-09-30,BBHI,IDR,2024,Q3,468971229000,366356404000,101992326000
2024-12-31,BBHI,IDR,2024,Q4,568407012626,463680809147,164519143720
2025-03-31,BBHI,IDR,2025,Q1,476061366000,389388985000,112539588000
2025-06-30,BBHI,IDR,2025,Q2,533850509000,442674965000,114531866000
2025-09-30,BBHI,IDR,2025,Q3,636200016000,401919791000,152806510000
2025-12-31,BBHI,IDR,2025,Q4,727763633000,464580217000,194383599000
2026-03-31,BBHI,IDR,2026,Q1,593438122000,489837216000,104062238000
