date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-03-31,BBRI,IDR,2010,Q1,10260655000000,7612355000000,2150601000000
2010-06-30,BBRI,IDR,2010,Q2,7572540000000,4537156000000,2167407000000
2011-03-31,BBRI,IDR,2011,Q1,12637526000000,9396128000000,3260432000000
2011-06-30,BBRI,IDR,2011,Q2,13483649000000,9964675000000,3524902000000
2011-09-30,BBRI,IDR,2011,Q3,13955260000000,10515815000000,3645433000000
2011-12-31,BBRI,IDR,2011,Q4,13884913000000,10347458000000,4652172000000
2012-03-31,BBRI,IDR,2012,Q1,13676565000000,10027164000000,4233032000000
2012-06-30,BBRI,IDR,2012,Q2,14202147000000,10880956000000,4467050000000
2012-09-30,BBRI,IDR,2012,Q3,14324057000000,11202737000000,4468409000000
2012-12-31,BBRI,IDR,2012,Q4,13621807000000,10957051000000,5512393000000
2013-03-31,BBRI,IDR,2013,Q1,14868159000000,11603851000000,5084785000000
2013-06-30,BBRI,IDR,2013,Q2,14817069000000,11595752000000,5067162000000
2013-09-30,BBRI,IDR,2013,Q3,16314216000000,12629147000000,5292118000000
2013-12-31,BBRI,IDR,2013,Q4,19474058000000,15214704000000,5900065000000
2014-03-31,BBRI,IDR,2014,Q1,18208581000000,13760708000000,5934670000000
2014-06-30,BBRI,IDR,2014,Q2,19644512000000,14598360000000,5808937000000
2014-09-30,BBRI,IDR,2014,Q3,21666144000000,15417428000000,6412625000000
2014-12-31,BBRI,IDR,2014,Q4,22716925000000,15774687000000,6085418000000
2015-03-31,BBRI,IDR,2015,Q1,23107725000000,16001182000000,6143390000000
2015-06-30,BBRI,IDR,2015,Q2,23168960000000,16993008000000,5802474000000
2015-09-30,BBRI,IDR,2015,Q3,24021132000000,17640074000000,6470919000000
2015-12-31,BBRI,IDR,2015,Q4,25656435000000,19178888000000,6980958000000
2016-03-31,BBRI,IDR,2016,Q1,25236074000000,18601489000000,6245486000000
2016-06-30,BBRI,IDR,2016,Q2,27833966000000,21218693000000,5930053000000
2016-09-30,BBRI,IDR,2016,Q3,26332056000000,19827828000000,6775322000000
2016-12-31,BBRI,IDR,2016,Q4,26516479000000,20094092000000,7244911000000
2017-03-31,BBRI,IDR,2017,Q1,28208801000000,21360844000000,6645700000000
2017-06-30,BBRI,IDR,2017,Q2,29530652000000,22289790000000,6776988000000
2017-09-30,BBRI,IDR,2017,Q3,28981576000000,21436187000000,7085433000000
2017-12-31,BBRI,IDR,2017,Q4,30034510000000,22638312000000,8488414000000
2018-03-31,BBRI,IDR,2018,Q1,29918103000000,22641756000000,7402096000000
2018-06-30,BBRI,IDR,2018,Q2,29827796000000,22372954000000,7485139000000
2018-09-30,BBRI,IDR,2018,Q3,31985814000000,23244937000000,8585491000000
2018-12-31,BBRI,IDR,2018,Q4,35445635000000,26376184000000,8879596000000
2019-03-31,BBRI,IDR,2019,Q1,33066687000000,23311394000000,8164252000000
2019-06-30,BBRI,IDR,2019,Q2,35650444000000,26001446000000,8000323000000
2019-09-30,BBRI,IDR,2019,Q3,34418548000000,24656912000000,8615980000000
2019-12-31,BBRI,IDR,2019,Q4,39641450000000,30135539000000,9592054000000
2020-03-31,BBRI,IDR,2020,Q1,37715665000000,27684689000000,8162840000000
2020-06-30,BBRI,IDR,2020,Q2,29795634000000,20430249000000,2015495000000
2020-09-30,BBRI,IDR,2020,Q3,33419773000000,24114804000000,3937758000000
2020-12-31,BBRI,IDR,2020,Q4,36578256000000,29088815000000,4538660000000
2021-03-31,BBRI,IDR,2021,Q1,43517089000000,36075161000000,7717990000000
2021-06-30,BBRI,IDR,2021,Q2,35880261000000,29599418000000,5646456000000
2021-09-30,BBRI,IDR,2021,Q3,37950079000000,31383025000000,6783623000000
2021-12-31,BBRI,IDR,2021,Q4,65644749000000,56806950000000,14211033000000
2022-03-31,BBRI,IDR,2022,Q1,43343717000000,37290941000000,12167224000000
2022-06-30,BBRI,IDR,2022,Q2,48076777000000,42415208000000,12618981000000
2022-09-30,BBRI,IDR,2022,Q3,46092119000000,39844291000000,14370028000000
2022-12-31,BBRI,IDR,2022,Q4,48677276000000,40369748000000,12014079000000
2023-03-31,BBRI,IDR,2023,Q1,49702789000000,40218311000000,15501857000000
2023-06-30,BBRI,IDR,2023,Q2,50765584000000,40718109000000,13919652000000
2023-09-30,BBRI,IDR,2023,Q3,52775055000000,42947629000000,14571098000000
2023-12-31,BBRI,IDR,2023,Q4,55891021000000,42534526000000,16107256000000
2024-03-31,BBRI,IDR,2024,Q1,58668073000000,44760143000000,15885516000000
2024-06-30,BBRI,IDR,2024,Q2,56316324000000,41885214000000,13816337000000
2024-09-30,BBRI,IDR,2024,Q3,58746960000000,44621531000000,15362900000000
2024-12-31,BBRI,IDR,2024,Q4,43079500000000,43132775000000,15090134000000
2025-03-31,BBRI,IDR,2025,Q1,45387685000000,45387685000000,13673245000000
2025-06-30,BBRI,IDR,2025,Q2,59557480000000,44774521000000,12603456000000
2025-09-30,BBRI,IDR,2025,Q3,77080886000000,51646494000000,14502109000000
2025-12-31,BBRI,IDR,2025,Q4,83453524000000,56810342000000,15873574000000
2026-03-31,BBRI,IDR,2026,Q1,95933180000000,70821504000000,15492710000000
