date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,BBRM,USD,2012,Q1,7264041,3362039,680418
2012-06-30,BBRM,USD,2012,Q2,8473440,4601823,3534582
2012-09-30,BBRM,USD,2012,Q3,9136348,4030777,1616788
2012-12-31,BBRM,USD,2012,Q4,9440526,4158721,1175256
2013-03-31,BBRM,USD,2013,Q1,8957673,3556399,2291201
2013-06-30,BBRM,USD,2013,Q2,9208389,4007495,2332337
2013-09-30,BBRM,USD,2013,Q3,8964070,2689376,160316
2013-12-31,BBRM,USD,2013,Q4,10154409,3286616,713027
2014-03-31,BBRM,USD,2014,Q1,7974146,1496845,204955
2014-06-30,BBRM,USD,2014,Q2,7991006,1535688,20665
2014-09-30,BBRM,USD,2014,Q3,9060587,2476157,309212
2014-12-31,BBRM,USD,2014,Q4,8922531,1324818,-495015
2015-03-31,BBRM,USD,2015,Q1,7632928,-94409,-2538898
2015-06-30,BBRM,USD,2015,Q2,7646666,-330585,-1564476
2015-09-30,BBRM,USD,2015,Q3,4482492,-2135163,-3658696
2015-12-31,BBRM,USD,2015,Q4,4814807,-1869673,-19891848
2016-03-31,BBRM,USD,2016,Q1,6030903,-73910,-1260099
2016-06-30,BBRM,USD,2016,Q2,5973476,-215124,-2689912
2016-09-30,BBRM,USD,2016,Q3,5682600,-381948,-2052937
2016-12-31,BBRM,USD,2016,Q4,7711152,1734514,-1855858
2017-03-31,BBRM,USD,2017,Q1,7063996,700650,-760212
2017-06-30,BBRM,USD,2017,Q2,6430739,204287,-1055493
2017-09-30,BBRM,USD,2017,Q3,5484889,-306620,-1567654
2017-12-31,BBRM,USD,2017,Q4,4596179,-2080632,-35017113
2018-03-31,BBRM,USD,2018,Q1,5079636,-565047,-1743256
2018-06-30,BBRM,USD,2018,Q2,5397006,-120677,-1334249
2018-09-30,BBRM,USD,2018,Q3,5808671,-194224,-2408987
2018-12-31,BBRM,USD,2018,Q4,4416006,-236701,-2568253
2019-03-31,BBRM,USD,2019,Q1,4365168,-162107,-1357067
2019-06-30,BBRM,USD,2019,Q2,4562095,-267729,-1510410
2019-09-30,BBRM,USD,2019,Q3,4360310,359116,-794995
2019-12-31,BBRM,USD,2019,Q4,3992720,98705,-820430
2020-03-31,BBRM,USD,2020,Q1,3452373,-334261,-1330327
2020-06-30,BBRM,USD,2020,Q2,3980207,707809,-134557
2020-09-30,BBRM,USD,2020,Q3,2622303,-570756,-7148974
2020-12-31,BBRM,USD,2020,Q4,1293534,-1975047,-2558594
2021-03-31,BBRM,USD,2021,Q1,1333146,-155631,-423002
2021-06-30,BBRM,USD,2021,Q2,1957753,709244,526107
2021-09-30,BBRM,USD,2021,Q3,2047593,537176,163267
2021-12-31,BBRM,USD,2021,Q4,2213379,512271,406749
2022-03-31,BBRM,USD,2022,Q1,1588396,33221,-310820
2022-06-30,BBRM,USD,2022,Q2,2685989,639335,97811
2022-09-30,BBRM,USD,2022,Q3,2701777,1064396,571142
2022-12-31,BBRM,USD,2022,Q4,2354562,882297,334189
2023-03-31,BBRM,USD,2023,Q1,2437776,1103984,1123743
2023-06-30,BBRM,USD,2023,Q2,2267436,670542,375587
2023-09-30,BBRM,USD,2023,Q3,3022919,1597311,1363520
2023-12-31,BBRM,USD,2023,Q4,2817424,1293769,1177226
2024-03-31,BBRM,USD,2024,Q1,2662671,1188949,860252
2024-06-30,BBRM,USD,2024,Q2,3442361,1656226,3960211
2024-09-30,BBRM,USD,2024,Q3,3176019,1175430,1016857
2024-12-31,BBRM,USD,2024,Q4,4149563,2479690,2396186
2025-03-31,BBRM,USD,2025,Q1,3232936,1481794,1233896
2025-06-30,BBRM,USD,2025,Q2,3649992,1786272,1488975
2025-09-30,BBRM,USD,2025,Q3,3263707,1519656,1459744
2025-12-31,BBRM,USD,2025,Q4,3669246,1861746,2085385
2026-03-31,BBRM,USD,2026,Q1,3071360,1484050,1237555
