date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,BEBS,IDR,2019,Q1,37925000,-232071566,-422500919
2019-06-30,BEBS,IDR,2019,Q2,37925000,-232071566,-422500919
2020-03-31,BEBS,IDR,2020,Q1,27990807831,6793232416,4008172583
2020-06-30,BEBS,IDR,2020,Q2,36490176709,13490756240,8958254247
2020-09-30,BEBS,IDR,2020,Q3,29530304684,7492429466,3694103838
2020-12-31,BEBS,IDR,2020,Q4,16685999168,6629514491,4130157931
2021-03-31,BEBS,IDR,2021,Q1,97012049303,29963193563,20953536063
2021-06-30,BEBS,IDR,2021,Q2,85535964717,26242880366,19148795098
2021-09-30,BEBS,IDR,2021,Q3,152110909083,46100243010,34904580333
2021-12-31,BEBS,IDR,2021,Q4,124742208666,48373585137,35073154555
2022-03-31,BEBS,IDR,2022,Q1,185007618445,58713447604,42714380843
2022-06-30,BEBS,IDR,2022,Q2,160796357526,55838433859,39482918809
2022-09-30,BEBS,IDR,2022,Q3,286852740607,92831202969,67966711227
2022-12-31,BEBS,IDR,2022,Q4,15307603099,-33789827590,-27246412899
2023-03-31,BEBS,IDR,2023,Q1,188581607618,60279875868,45027223915
2023-06-30,BEBS,IDR,2023,Q2,163229236068,54878462959,38777620199
2023-09-30,BEBS,IDR,2023,Q3,12604634979,697478008,-1365540592
2023-12-31,BEBS,IDR,2023,Q4,37494821721,-44723588690,-38627076961
2024-03-31,BEBS,IDR,2024,Q1,32086009546,9309635507,5258104369
2024-06-30,BEBS,IDR,2024,Q2,9509336358,-2313730948,-3880386779
2024-09-30,BEBS,IDR,2024,Q3,11066315500,898177330,-357805659
