date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,BEKS,IDR,2011,Q1,39890000000,11180000000,-16364000000
2011-06-30,BEKS,IDR,2011,Q2,116805000000,22316000000,-24761000000
2011-09-30,BEKS,IDR,2011,Q3,159332000000,129430000000,-33410000000
2011-12-31,BEKS,IDR,2011,Q4,301810000000,181460000000,-72718000000
2012-03-31,BEKS,IDR,2012,Q1,723106000000,247971000000,13932000000
2012-06-30,BEKS,IDR,2012,Q2,1102503000000,273320000000,24400000000
2012-09-30,BEKS,IDR,2012,Q3,-290090000000,299851000000,-14245000000
2012-12-31,BEKS,IDR,2012,Q4,413330000000,294042000000,5663000000
2013-03-31,BEKS,IDR,2013,Q1,445394000000,296967000000,3577000000
2013-06-30,BEKS,IDR,2013,Q2,884135000000,265318000000,2126000000
2013-09-30,BEKS,IDR,2013,Q3,-485016000000,276382000000,1858000000
2013-12-31,BEKS,IDR,2013,Q4,439685000000,258819000000,88711000000
2014-03-31,BEKS,IDR,2014,Q1,471913000000,274813000000,21211000000
2014-06-30,BEKS,IDR,2014,Q2,455905000000,244120000000,-2325000000
2014-09-30,BEKS,IDR,2014,Q3,448255000000,223535000000,-17886000000
2014-12-31,BEKS,IDR,2014,Q4,425956000000,200201000000,-120173000000
2015-03-31,BEKS,IDR,2015,Q1,356552000000,166280000000,-60055000000
2015-06-30,BEKS,IDR,2015,Q2,289846000000,130365000000,-43284000000
2015-09-30,BEKS,IDR,2015,Q3,245222000000,103398000000,-117601000000
2015-12-31,BEKS,IDR,2015,Q4,205414000000,79711000000,-110219000000
2016-03-31,BEKS,IDR,2016,Q1,166937000000,54553000000,-80150000000
2016-06-30,BEKS,IDR,2016,Q2,130925000000,25524000000,-111440000000
2016-09-30,BEKS,IDR,2016,Q3,113251000000,25123000000,-92266000000
2016-12-31,BEKS,IDR,2016,Q4,117999000000,36897000000,-121267000000
2017-03-31,BEKS,IDR,2017,Q1,128539000000,51803000000,-39938000000
2017-06-30,BEKS,IDR,2017,Q2,161277000000,78219000000,-2323000000
2017-09-30,BEKS,IDR,2017,Q3,150719000000,62719000000,-20857000000
2017-12-31,BEKS,IDR,2017,Q4,136674000000,51376000000,-13167000000
2018-03-31,BEKS,IDR,2018,Q1,140519000000,45635000000,-32416000000
2018-06-30,BEKS,IDR,2018,Q2,146925000000,57632000000,-36428000000
2018-09-30,BEKS,IDR,2018,Q3,146455000000,39545000000,-35478000000
2018-12-31,BEKS,IDR,2018,Q4,167123000000,35397000000,4191000000
2019-03-31,BEKS,IDR,2019,Q1,145236000000,8841000000,-55795000000
2019-06-30,BEKS,IDR,2019,Q2,166704000000,53991000000,-30157000000
2019-09-30,BEKS,IDR,2019,Q3,155852000000,48873000000,-22591000000
2019-12-31,BEKS,IDR,2019,Q4,141448000000,32411000000,-29016000000
2020-03-31,BEKS,IDR,2020,Q1,129453000000,22511000000,-31864000000
2020-06-30,BEKS,IDR,2020,Q2,105925000000,21625000000,-68118000000
2020-09-30,BEKS,IDR,2020,Q3,83005000000,8955000000,-37923000000
2020-12-31,BEKS,IDR,2020,Q4,49586000000,-19138000000,-170252000000
2021-03-31,BEKS,IDR,2021,Q1,65472000000,8522000000,-45001000000
2021-06-30,BEKS,IDR,2021,Q2,71426000000,16471000000,-56666000000
2021-09-30,BEKS,IDR,2021,Q3,87594000000,31864000000,-44035000000
2021-12-31,BEKS,IDR,2021,Q4,112720000000,38862000000,-119474000000
2022-03-31,BEKS,IDR,2022,Q1,129208000000,40488000000,-35460000000
2022-06-30,BEKS,IDR,2022,Q2,131198000000,56844000000,-47699000000
2022-09-30,BEKS,IDR,2022,Q3,128413000000,67023000000,-42912000000
2022-12-31,BEKS,IDR,2022,Q4,173959000000,109518000000,-113216000000
2023-03-31,BEKS,IDR,2023,Q1,121328000000,59441000000,-28650000000
2023-06-30,BEKS,IDR,2023,Q2,128204000000,67637000000,4553000000
2023-09-30,BEKS,IDR,2023,Q3,135953000000,71271000000,9575000000
2023-12-31,BEKS,IDR,2023,Q4,135097000000,75289000000,41113000000
2024-03-31,BEKS,IDR,2024,Q1,124819000000,50641000000,2062000000
2024-06-30,BEKS,IDR,2024,Q2,128256000000,55354000000,1499000000
2024-09-30,BEKS,IDR,2024,Q3,385454000000,309988000000,3905000000
2024-12-31,BEKS,IDR,2024,Q4,-98475000000,-178371000000,31864000000
2025-03-31,BEKS,IDR,2025,Q1,62420000000,61818000000,3463000000
2025-06-30,BEKS,IDR,2025,Q2,62838000000,61383000000,2835000000
2025-09-30,BEKS,IDR,2025,Q3,68148000000,62479000000,4404000000
2025-12-31,BEKS,IDR,2025,Q4,91538000000,169290000000,41820000000
2026-03-31,BEKS,IDR,2026,Q1,77505000000,7207000000,4349000000
2026-06-30,BEKS,IDR,2026,Q2,83854000000,14004000000,17011000000
