date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-09-30,BELI,IDR,2022,Q3,3811698000000,326517000000,-1242977000000
2022-12-31,BELI,IDR,2022,Q4,4745639000000,303959000000,-1774502000000
2023-03-31,BELI,IDR,2023,Q1,3829678000000,577132000000,-878178000000
2023-06-30,BELI,IDR,2023,Q2,3945907000000,613553000000,-868327000000
2023-09-30,BELI,IDR,2023,Q3,3686812000000,542436000000,-877689000000
2023-12-31,BELI,IDR,2023,Q4,3255499000000,669077000000,-1017521000000
2024-03-31,BELI,IDR,2024,Q1,3923122000000,742875000000,-691290000000
2024-06-30,BELI,IDR,2024,Q2,3929145000000,803226000000,-507510000000
2024-09-30,BELI,IDR,2024,Q3,4279311000000,793662000000,-673552000000
2024-12-31,BELI,IDR,2024,Q4,4583998000000,958840000000,-659027000000
2025-03-31,BELI,IDR,2025,Q1,4693759000000,874397000000,-638147000000
2025-06-30,BELI,IDR,2025,Q2,4901932000000,898146000000,-614226000000
2025-09-30,BELI,IDR,2025,Q3,5643655000000,764747000000,-589901000000
2025-12-31,BELI,IDR,2025,Q4,7121684000000,1372461000000,-436610000000
2026-03-31,BELI,IDR,2026,Q1,7835282000000,1188035000000,-303004000000
