date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-03-31,BHIT,IDR,2009,Q1,1287360000000,575575000000,-123962000000
2009-12-31,BHIT,IDR,2009,Q4,1441567000000,839878000000,30865000000
2010-03-31,BHIT,IDR,2010,Q1,1507123000000,872395000000,152599000000
2010-12-31,BHIT,IDR,2010,Q4,1807110000000,977550000000,518953000000
2011-03-31,BHIT,IDR,2011,Q1,1756216000000,1004286000000,342951000000
2011-06-30,BHIT,IDR,2011,Q2,1829175000000,771120000000,-116985000000
2011-09-30,BHIT,IDR,2011,Q3,2066954000000,1467987000000,56921000000
2011-12-31,BHIT,IDR,2011,Q4,2063568000000,345702000000,696183000000
2012-03-31,BHIT,IDR,2012,Q1,2066888000000,988516000000,204311000000
2012-06-30,BHIT,IDR,2012,Q2,2486596000000,1109950000000,61339000000
2012-09-30,BHIT,IDR,2012,Q3,2403000000000,1205577000000,245189000000
2012-12-31,BHIT,IDR,2012,Q4,2830753000000,1398086000000,184164000000
2013-03-31,BHIT,IDR,2013,Q1,2594285000000,1086151000000,382451000000
2013-06-30,BHIT,IDR,2013,Q2,2974728000000,1521219000000,62859000000
2013-09-30,BHIT,IDR,2013,Q3,2847608000000,1319895000000,-418693000000
2013-12-31,BHIT,IDR,2013,Q4,3115054000000,1311589000000,-370316000000
2014-03-31,BHIT,IDR,2014,Q1,2805677000000,1123610000000,385434000000
2014-06-30,BHIT,IDR,2014,Q2,3286723000000,1557467000000,-159421000000
2014-09-30,BHIT,IDR,2014,Q3,3092182000000,1266550000000,-7092000000
2014-12-31,BHIT,IDR,2014,Q4,3248818000000,1411949000000,-24403000000
2015-03-31,BHIT,IDR,2015,Q1,3202846000000,1235960000000,-207800000000
2015-06-30,BHIT,IDR,2015,Q2,3272485000000,1456159000000,-130349000000
2015-09-30,BHIT,IDR,2015,Q3,3059226000000,1300788000000,-709751000000
2015-12-31,BHIT,IDR,2015,Q4,2676011000000,779641000000,184079000000
2016-03-31,BHIT,IDR,2016,Q1,2899576000000,1275793000000,283106000000
2016-06-30,BHIT,IDR,2016,Q2,3398995000000,1555949000000,162935000000
2016-09-30,BHIT,IDR,2016,Q3,3198625000000,1350488000000,35837000000
2016-12-31,BHIT,IDR,2016,Q4,3397329000000,948700000000,-248947000000
2017-03-31,BHIT,IDR,2017,Q1,3092298000000,1475638000000,-10893000000
2017-06-30,BHIT,IDR,2017,Q2,3783865000000,2028566000000,23854000000
2017-09-30,BHIT,IDR,2017,Q3,3301463000000,1976671000000,70998000000
2017-12-31,BHIT,IDR,2017,Q4,3402643000000,276316000000,64660000000
2018-03-31,BHIT,IDR,2018,Q1,3258388000000,1539967000000,-176312000000
2018-06-30,BHIT,IDR,2018,Q2,3905591000000,1992484000000,-247725000000
2018-09-30,BHIT,IDR,2018,Q3,3688332000000,1844010000000,-125245000000
2018-12-31,BHIT,IDR,2018,Q4,3873540000000,1787435000000,635635000000
2019-03-31,BHIT,IDR,2019,Q1,3636559000000,1632483000000,77965000000
2019-06-30,BHIT,IDR,2019,Q2,4190549000000,2015401000000,183062000000
2019-09-30,BHIT,IDR,2019,Q3,4065270000000,1938462000000,90231000000
2019-12-31,BHIT,IDR,2019,Q4,4074998000000,2177658000000,79556000000
2020-03-31,BHIT,IDR,2020,Q1,3622885000000,1705103000000,-808941000000
2020-06-30,BHIT,IDR,2020,Q2,3525169000000,1686104000000,328708000000
2020-09-30,BHIT,IDR,2020,Q3,3670150000000,1729247000000,235684000000
2020-12-31,BHIT,IDR,2020,Q4,3977081000000,2114048000000,395503000000
2021-03-31,BHIT,IDR,2021,Q1,3953652000000,1981002000000,-58950000000
2021-06-30,BHIT,IDR,2021,Q2,4562600000000,2153591000000,191244000000
2021-09-30,BHIT,IDR,2021,Q3,3884681000000,1678018000000,215009000000
2021-12-31,BHIT,IDR,2021,Q4,4342017000000,2449894000000,192782000000
2022-03-31,BHIT,IDR,2022,Q1,4104740000000,2089478000000,586565000000
2022-06-30,BHIT,IDR,2022,Q2,4215550000000,2098446000000,469448000000
2022-09-30,BHIT,IDR,2022,Q3,3580009000000,1722909000000,619388000000
2022-12-31,BHIT,IDR,2022,Q4,6183396000000,2897579000000,1006819000000
2023-03-31,BHIT,IDR,2023,Q1,4698678000000,2321009000000,836986000000
2023-06-30,BHIT,IDR,2023,Q2,4117183000000,1386701000000,9590000000
2023-09-30,BHIT,IDR,2023,Q3,3392686000000,1250787000000,-2001000000
2023-12-31,BHIT,IDR,2023,Q4,3341267000000,980606000000,54649000000
2024-03-31,BHIT,IDR,2024,Q1,4064927000000,1905538000000,157890000000
2024-06-30,BHIT,IDR,2024,Q2,3989701000000,1403272000000,110002000000
2024-09-30,BHIT,IDR,2024,Q3,3700747000000,1287010000000,-6531000000
2024-12-31,BHIT,IDR,2024,Q4,3597301000000,1450339000000,-67731000000
2025-03-31,BHIT,IDR,2025,Q1,4073310000000,1794134000000,95531000000
2025-06-30,BHIT,IDR,2025,Q2,3537294000000,1211934000000,97344000000
2025-09-30,BHIT,IDR,2025,Q3,3656479000000,1270411000000,50128000000
2025-12-31,BHIT,IDR,2025,Q4,3580699000000,1141722000000,235537000000
2026-03-31,BHIT,IDR,2026,Q1,3671499000000,1127834000000,108388000000
