date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-12-31,BINA,IDR,2011,Q4,1617535851,9415881729,1476997602
2012-03-31,BINA,IDR,2012,Q1,60073000000,16030000000,6370000000
2012-06-30,BINA,IDR,2012,Q2,18441000000,15251000000,2550000000
2012-09-30,BINA,IDR,2012,Q3,110294000000,27532000000,4304000000
2012-12-31,BINA,IDR,2012,Q4,-33503000000,3056000000,-96000000
2013-03-31,BINA,IDR,2013,Q1,37113000000,15274000000,1324000000
2013-06-30,BINA,IDR,2013,Q2,15582000000,13542000000,-184000000
2013-09-30,BINA,IDR,2013,Q3,92931000000,17788000000,4619000000
2013-12-31,BINA,IDR,2013,Q4,-16950000000,16701000000,2065000000
2014-03-31,BINA,IDR,2014,Q1,41151000000,18017000000,4227000000
2014-06-30,BINA,IDR,2014,Q2,45361000000,20463000000,3218000000
2014-09-30,BINA,IDR,2014,Q3,47401000000,20095000000,4232000000
2014-12-31,BINA,IDR,2014,Q4,51795000000,19030000000,3665000000
2015-03-31,BINA,IDR,2015,Q1,53699000000,18425000000,1648000000
2015-06-30,BINA,IDR,2015,Q2,54734000000,18833000000,2496000000
2015-09-30,BINA,IDR,2015,Q3,59356000000,20545000000,3731000000
2015-12-31,BINA,IDR,2015,Q4,61029000000,25777000000,9002000000
2016-03-31,BINA,IDR,2016,Q1,62404000000,27033000000,7582000000
2016-06-30,BINA,IDR,2016,Q2,60555000000,27069000000,4487000000
2016-09-30,BINA,IDR,2016,Q3,64397000000,30904000000,6224000000
2016-12-31,BINA,IDR,2016,Q4,61316000000,29342000000,-57000000
2017-03-31,BINA,IDR,2017,Q1,62843000000,32326000000,5002000000
2017-06-30,BINA,IDR,2017,Q2,64605000000,35662000000,2003000000
2017-09-30,BINA,IDR,2017,Q3,70116000000,40346000000,1071000000
2017-12-31,BINA,IDR,2017,Q4,59226000000,29348000000,10264000000
2018-03-31,BINA,IDR,2018,Q1,65334000000,33403000000,1690000000
2018-06-30,BINA,IDR,2018,Q2,67349000000,36052000000,1448000000
2018-09-30,BINA,IDR,2018,Q3,74017000000,41010000000,653000000
2018-12-31,BINA,IDR,2018,Q4,80143000000,41936000000,7604000000
2019-03-31,BINA,IDR,2019,Q1,83806000000,40525000000,2050000000
2019-06-30,BINA,IDR,2019,Q2,92075000000,47684000000,1460000000
2019-09-30,BINA,IDR,2019,Q3,93736000000,43570000000,660000000
2019-12-31,BINA,IDR,2019,Q4,102245000000,43494000000,2945000000
2020-03-31,BINA,IDR,2020,Q1,109100000000,46527000000,2179000000
2020-06-30,BINA,IDR,2020,Q2,105092000000,44878000000,487000000
2020-09-30,BINA,IDR,2020,Q3,129923000000,71250000000,6681000000
2020-12-31,BINA,IDR,2020,Q4,158216000000,86611000000,10029000000
2021-03-31,BINA,IDR,2021,Q1,178719000000,76101000000,13176000000
2021-06-30,BINA,IDR,2021,Q2,198067000000,87837000000,9995000000
2021-09-30,BINA,IDR,2021,Q3,198229000000,79494000000,6065000000
2021-12-31,BINA,IDR,2021,Q4,192231000000,82900000000,10512000000
2022-03-31,BINA,IDR,2022,Q1,234285000000,100165000000,7956000000
2022-06-30,BINA,IDR,2022,Q2,280338000000,147064000000,44951000000
2022-09-30,BINA,IDR,2022,Q3,325883000000,163158000000,41926000000
2022-12-31,BINA,IDR,2022,Q4,360800000000,208039000000,62215000000
2023-03-31,BINA,IDR,2023,Q1,403855000000,194742000000,58837000000
2023-06-30,BINA,IDR,2023,Q2,433014000000,205194000000,56482000000
2023-09-30,BINA,IDR,2023,Q3,466821000000,187980000000,55171000000
2023-12-31,BINA,IDR,2023,Q4,469746000000,206611000000,37386000000
2024-03-31,BINA,IDR,2024,Q1,505863000000,198229000000,32819000000
2024-06-30,BINA,IDR,2024,Q2,492099000000,196403000000,36067000000
2024-09-30,BINA,IDR,2024,Q3,467241000000,186969000000,41348000000
2024-12-31,BINA,IDR,2024,Q4,470986000000,178908000000,-28386000000
2025-03-31,BINA,IDR,2025,Q1,163744000000,17832000000,14366000000
2025-06-30,BINA,IDR,2025,Q2,177302000000,43740000000,10333000000
2025-09-30,BINA,IDR,2025,Q3,201651000000,40081000000,8155000000
2025-12-31,BINA,IDR,2025,Q4,187691000000,35460000000,-401872000000
2026-03-31,BINA,IDR,2026,Q1,257280000000,67541000000,52975000000
2026-06-30,BINA,IDR,2026,Q2,194001000000,61174000000,12028000000
