date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-03-31,BIPI,USD,2009,Q1,2182.9654,545.74135,-490404.282575
2009-06-30,BIPI,USD,2009,Q2,238649,-921929,-1168522.973077
2010-03-31,BIPI,USD,2010,Q1,3239612,-970379,-5374792.405695
2010-06-30,BIPI,USD,2010,Q2,11798388,7315004,2280236
2011-03-31,BIPI,USD,2011,Q1,8859835,1585285,644453
2011-06-30,BIPI,USD,2011,Q2,9646065,5063250,1524533
2011-09-30,BIPI,USD,2011,Q3,9718980,3202214,-1711516.830581
2011-12-31,BIPI,USD,2011,Q4,9314815,3212966,-7239608.778392
2012-03-31,BIPI,USD,2012,Q1,10503349,4445841,1017357
2012-06-30,BIPI,USD,2012,Q2,9398061,3307181,1324980
2012-09-30,BIPI,USD,2012,Q3,8637847,3299328,-237208.897635
2012-12-31,BIPI,USD,2012,Q4,8421419,1907609,-1202878.531689
2013-03-31,BIPI,USD,2013,Q1,8086727,3234088,357635
2013-06-30,BIPI,USD,2013,Q2,37766353,29412980,20611086
2013-09-30,BIPI,USD,2013,Q3,83428865,74766198,2659730
2013-12-31,BIPI,USD,2013,Q4,61313281,2069680,31725930
2014-03-31,BIPI,USD,2014,Q1,87675432,43255123,14064421
2014-06-30,BIPI,USD,2014,Q2,71671053,44480894,4670137
2014-09-30,BIPI,USD,2014,Q3,57268313,29549375,1937968
2014-12-31,BIPI,USD,2014,Q4,45787024,31353287,5504102
2015-03-31,BIPI,USD,2015,Q1,3147502,-1543818,1724097
2015-06-30,BIPI,USD,2015,Q2,3165002,-151878,1558035
2015-09-30,BIPI,USD,2015,Q3,1885101,-90605,-15502907
2015-12-31,BIPI,USD,2015,Q4,1473186,-1403044,-25646024
2016-03-31,BIPI,USD,2016,Q1,36719,-530473,-1904520
2016-06-30,BIPI,USD,2016,Q2,440441,-765815,-2338520
2016-09-30,BIPI,USD,2016,Q3,1037685,1424096,6707988
2016-12-31,BIPI,USD,2016,Q4,787764,-5959249,-173289671
2017-03-31,BIPI,USD,2017,Q1,691997,-1915110,10631650
2017-06-30,BIPI,USD,2017,Q2,595185,-3776299,13400676
2017-09-30,BIPI,USD,2017,Q3,1412256,-1567207,7650023
2017-12-31,BIPI,USD,2017,Q4,567191,1683192,4154314
2018-03-31,BIPI,USD,2018,Q1,367339,-99160,7375764
2018-06-30,BIPI,USD,2018,Q2,-5080,-51532,4676283
2018-09-30,BIPI,USD,2018,Q3,-7344,-6845,5255280
2018-12-31,BIPI,USD,2018,Q4,26805202,22097109,1441578
2019-03-31,BIPI,USD,2019,Q1,16037469,13586885,6053346
2019-06-30,BIPI,USD,2019,Q2,16020336,11900875,3691567
2019-09-30,BIPI,USD,2019,Q3,16020438,12870740,3166911
2019-12-31,BIPI,USD,2019,Q4,22809732,19774490,6667693
2020-03-31,BIPI,USD,2020,Q1,16026408,12849921,9556953
2020-06-30,BIPI,USD,2020,Q2,15929380,12172866,4828750
2020-09-30,BIPI,USD,2020,Q3,19176949,16005717,5870702
2020-12-31,BIPI,USD,2020,Q4,27379162,24161988,54829
2021-03-31,BIPI,USD,2021,Q1,16026408,11683919,6270050
2021-06-30,BIPI,USD,2021,Q2,12650880,8324066,2613155
2021-09-30,BIPI,USD,2021,Q3,15581272,11225263,4547212
2021-12-31,BIPI,USD,2021,Q4,21327682,16975135,880577
2022-03-31,BIPI,USD,2022,Q1,14010335,9553242,2402359
2022-06-30,BIPI,USD,2022,Q2,14686675,10336759,33514227
2022-09-30,BIPI,USD,2022,Q3,6284734,2822619,-11453118
2022-12-31,BIPI,USD,2022,Q4,8741096,-2104812,-10093427
2023-03-31,BIPI,USD,2023,Q1,125837440,30591346,10321358
2023-06-30,BIPI,USD,2023,Q2,204103616,51489677,18184444
2023-09-30,BIPI,USD,2023,Q3,163371893,30158714,6198758
2023-12-31,BIPI,USD,2023,Q4,157746705,17536886,-20938553
2024-03-31,BIPI,USD,2024,Q1,133686346,13575527,3997636
2024-06-30,BIPI,USD,2024,Q2,141700551,23758375,3982640
2024-09-30,BIPI,USD,2024,Q3,142681832,29472781,-4402762
2024-12-31,BIPI,USD,2024,Q4,144899981,44500552,2959902
2025-03-31,BIPI,USD,2025,Q1,72484809,16014782,3566868
2025-06-30,BIPI,USD,2025,Q2,72354756,-1352194,-13467865
2025-09-30,BIPI,USD,2025,Q3,49124000,11878000,4407000
2025-12-31,BIPI,USD,2025,Q4,40229973,7673372,6500819
2026-03-31,BIPI,USD,2026,Q1,47442625,,-73637
2026-06-30,BIPI,USD,2026,Q2,49286294,,4516639
