date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,BIPP,IDR,2011,Q1,6018601111,2442806617,-1766564404
2011-06-30,BIPP,IDR,2011,Q2,6465076177,3510969417,-1537577000
2012-03-31,BIPP,IDR,2012,Q1,7897697664,4240309293,-7508068732
2012-06-30,BIPP,IDR,2012,Q2,7260644437,3972499059,-276725109
2012-09-30,BIPP,IDR,2012,Q3,5860768333,2740902425,-4131013333
2012-12-31,BIPP,IDR,2012,Q4,9110212472,5700203515,-2626209661
2013-03-31,BIPP,IDR,2013,Q1,9740031848,6556324997,10603179522
2013-06-30,BIPP,IDR,2013,Q2,11905664382,4109983933,116253173505
2013-09-30,BIPP,IDR,2013,Q3,18587996903,7467290803,-17913322975
2013-12-31,BIPP,IDR,2013,Q4,19071425754,15050204331,429338826
2014-03-31,BIPP,IDR,2014,Q1,22078474464,11217848196,4327331700
2014-06-30,BIPP,IDR,2014,Q2,24132478919,10616396330,4400582142
2014-09-30,BIPP,IDR,2014,Q3,26306634780,10771223061,4671000758
2014-12-31,BIPP,IDR,2014,Q4,26155079450,21702275587,3614771710
2015-03-31,BIPP,IDR,2015,Q1,26186672025,16081159900,5072559558
2015-06-30,BIPP,IDR,2015,Q2,27920410082,17708257243,5548757138
2015-09-30,BIPP,IDR,2015,Q3,29723335558,17590991446,97319539045
2015-12-31,BIPP,IDR,2015,Q4,27813624866,16554033885,14444799737
2016-03-31,BIPP,IDR,2016,Q1,27965282922,17718879230,7161700550
2016-06-30,BIPP,IDR,2016,Q2,28786004482,18590559775,8078716523
2016-09-30,BIPP,IDR,2016,Q3,30138781898,17924310133,2005781197
2016-12-31,BIPP,IDR,2016,Q4,26993131117,18747300810,11146190143
2017-03-31,BIPP,IDR,2017,Q1,24108338345,11505640622,775378861
2017-06-30,BIPP,IDR,2017,Q2,27704479018,15767795418,1319044944
2017-09-30,BIPP,IDR,2017,Q3,33557235081,8638467040,-8696057762
2017-12-31,BIPP,IDR,2017,Q4,23411162584,7282661196,-9378788987
2018-03-31,BIPP,IDR,2018,Q1,28875978869,9673151869,-6151614400
2018-06-30,BIPP,IDR,2018,Q2,31496758787,11021367394,-6577888637
2018-09-30,BIPP,IDR,2018,Q3,35758820757,13025485013,-8547065993
2018-12-31,BIPP,IDR,2018,Q4,34481773735,12746197699,-25337287122
2019-03-31,BIPP,IDR,2019,Q1,32515433880,11491142957,-7699501126
2019-06-30,BIPP,IDR,2019,Q2,60577090721,20255816886,-2868124953
2019-09-30,BIPP,IDR,2019,Q3,53243665664,21772487173,-1684034766
2019-12-31,BIPP,IDR,2019,Q4,184561088543,63179505644,11233597147
2020-03-31,BIPP,IDR,2020,Q1,193790482016,80094734131,24815733572
2020-06-30,BIPP,IDR,2020,Q2,143821244764,44796903399,6614112398
2020-09-30,BIPP,IDR,2020,Q3,138456716244,42561523147,4445110332
2020-12-31,BIPP,IDR,2020,Q4,53770961645,23112218448,14489866624
2021-03-31,BIPP,IDR,2021,Q1,59195923731,18663977484,-4075714122
2021-06-30,BIPP,IDR,2021,Q2,124700449403,36662881409,3171735436
2021-09-30,BIPP,IDR,2021,Q3,77634157014,20528828993,-1587272548
2021-12-31,BIPP,IDR,2021,Q4,32460825351,39650507478,-3797275358
2022-03-31,BIPP,IDR,2022,Q1,91301493033,32506893794,9988060307
2022-06-30,BIPP,IDR,2022,Q2,96829902926,33518615790,10456078992
2022-09-30,BIPP,IDR,2022,Q3,85638728270,19842280010,-11435549237
2022-12-31,BIPP,IDR,2022,Q4,53550739256,43757082350,13203740383
2023-03-31,BIPP,IDR,2023,Q1,69467631906,26110348894,561729902
2023-06-30,BIPP,IDR,2023,Q2,70535425838,27826606467,-11269394594
2023-09-30,BIPP,IDR,2023,Q3,76157220019,32145180834,4860565570
2023-12-31,BIPP,IDR,2023,Q4,47904712588,24692601730,-35387305185
2024-03-31,BIPP,IDR,2024,Q1,57158514186,21004077495,-23584995256
2024-06-30,BIPP,IDR,2024,Q2,81789969148,31651410962,-9724717357
2024-09-30,BIPP,IDR,2024,Q3,69529671000,34652097000,-10511214000
2024-12-31,BIPP,IDR,2024,Q4,50079277000,29588057000,33533800000
2025-03-31,BIPP,IDR,2025,Q1,63269993000,25829671000,-4559062000
2025-06-30,BIPP,IDR,2025,Q2,82333992000,37019211000,-921408000
2025-09-30,BIPP,IDR,2025,Q3,45833046000,11498529000,2980882000
2025-12-31,BIPP,IDR,2025,Q4,63900801000,1533531000,-29772824000
2026-03-31,BIPP,IDR,2026,Q1,36560082799,12158760839,-16162418392
2026-06-30,BIPP,IDR,2026,Q2,43829247790,17909071511,-10621921070
