date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-03-31,BISI,IDR,2010,Q1,216406000000,90550000000,44079000000
2011-03-31,BISI,IDR,2011,Q1,234010000000,88370000000,41621000000
2011-06-30,BISI,IDR,2011,Q2,267295000000,106979000000,38181000000
2011-09-30,BISI,IDR,2011,Q3,158337000000,62089000000,21102000000
2011-12-31,BISI,IDR,2011,Q4,339014000000,158622000000,45223000000
2012-03-31,BISI,IDR,2012,Q1,276800000000,135443000000,68591000000
2012-06-30,BISI,IDR,2012,Q2,174098000000,73143000000,14034000000
2012-09-30,BISI,IDR,2012,Q3,166528000000,68441000000,19343000000
2012-12-31,BISI,IDR,2012,Q4,248843000000,111962000000,27382000000
2013-03-31,BISI,IDR,2013,Q1,227465000000,110011000000,54533000000
2013-06-30,BISI,IDR,2013,Q2,234823000000,109546000000,37847000000
2013-09-30,BISI,IDR,2013,Q3,274401000000,108965000000,21138000000
2013-12-31,BISI,IDR,2013,Q4,319672000000,119358000000,13507000000
2014-03-31,BISI,IDR,2014,Q1,257228000000,80651000000,28212000000
2014-06-30,BISI,IDR,2014,Q2,210472000000,60558000000,-2499000000
2014-09-30,BISI,IDR,2014,Q3,349125000000,136080000000,64030000000
2014-12-31,BISI,IDR,2014,Q4,338735000000,126032000000,75520000000
2015-03-31,BISI,IDR,2015,Q1,262764000000,91639000000,48381000000
2015-06-30,BISI,IDR,2015,Q2,336967000000,111273000000,50286000000
2015-09-30,BISI,IDR,2015,Q3,395652000000,173366000000,89020000000
2015-12-31,BISI,IDR,2015,Q4,442148000000,185809000000,76233000000
2016-03-31,BISI,IDR,2016,Q1,340858000000,130504000000,65420000000
2016-06-30,BISI,IDR,2016,Q2,402307000000,172156000000,72573000000
2016-09-30,BISI,IDR,2016,Q3,448079000000,208419000000,95236000000
2016-12-31,BISI,IDR,2016,Q4,660835000000,292870000000,102908000000
2017-03-31,BISI,IDR,2017,Q1,480536000000,165089000000,76174000000
2017-06-30,BISI,IDR,2017,Q2,372152000000,86358000000,11628000000
2017-09-30,BISI,IDR,2017,Q3,610268000000,259758000000,132063000000
2017-12-31,BISI,IDR,2017,Q4,847334000000,369059000000,183315000000
2018-03-31,BISI,IDR,2018,Q1,483193000000,85968000000,32827000000
2018-06-30,BISI,IDR,2018,Q2,251093000000,26832000000,-23322000000
2018-09-30,BISI,IDR,2018,Q3,814053000000,402819000000,226020000000
2018-12-31,BISI,IDR,2018,Q4,717276000000,343271000000,168297000000
2019-03-31,BISI,IDR,2019,Q1,554417000000,150705000000,75229000000
2019-06-30,BISI,IDR,2019,Q2,432810000000,114926000000,12791000000
2019-09-30,BISI,IDR,2019,Q3,431271000000,162338000000,52007000000
2019-12-31,BISI,IDR,2019,Q4,853912000000,364889000000,166796000000
2020-03-31,BISI,IDR,2020,Q1,401342000000,142782000000,24343000000
2020-06-30,BISI,IDR,2020,Q2,488997000000,185294000000,69788000000
2020-09-30,BISI,IDR,2020,Q3,422345000000,185022000000,59286000000
2020-12-31,BISI,IDR,2020,Q4,500078000000,175632000000,122036000000
2021-03-31,BISI,IDR,2021,Q1,434181000000,201961000000,79465000000
2021-06-30,BISI,IDR,2021,Q2,512149000000,208734000000,66424000000
2021-09-30,BISI,IDR,2021,Q3,537039000000,235651000000,80101000000
2021-12-31,BISI,IDR,2021,Q4,531769000000,163624000000,154818000000
2022-03-31,BISI,IDR,2022,Q1,618881000000,289413000000,154231000000
2022-06-30,BISI,IDR,2022,Q2,555709000000,197642000000,53526000000
2022-09-30,BISI,IDR,2022,Q3,661375000000,319240000000,133021000000
2022-12-31,BISI,IDR,2022,Q4,579627000000,214207000000,182308000000
2023-03-31,BISI,IDR,2023,Q1,396556000000,178592000000,50122000000
2023-06-30,BISI,IDR,2023,Q2,351539000000,123427000000,10137000000
2023-09-30,BISI,IDR,2023,Q3,719500000000,415772000000,193561000000
2023-12-31,BISI,IDR,2023,Q4,830536000000,432021000000,341809000000
2024-03-31,BISI,IDR,2024,Q1,266828000000,141025000000,40333000000
2024-06-30,BISI,IDR,2024,Q2,446684000000,195999000000,73107000000
2024-09-30,BISI,IDR,2024,Q3,300884000000,133428000000,11329000000
2024-12-31,BISI,IDR,2024,Q4,353530000000,146755000000,53738000000
2025-03-31,BISI,IDR,2025,Q1,317393000000,142438000000,29671000000
2025-06-30,BISI,IDR,2025,Q2,309530000000,104433000000,824000000
2025-09-30,BISI,IDR,2025,Q3,448081000000,191118000000,60308000000
2025-12-31,BISI,IDR,2025,Q4,621434000000,227105000000,99491000000
2026-03-31,BISI,IDR,2026,Q1,387083000000,151114000000,47007000000
