date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-12-31,BJBR,IDR,2010,Q4,0,0,0
2011-03-31,BJBR,IDR,2011,Q1,1418565000000,752520000000,260005000000
2011-06-30,BJBR,IDR,2011,Q2,1506871000000,820831000000,283995000000
2011-09-30,BJBR,IDR,2011,Q3,1601125000000,831200000000,250703000000
2011-12-31,BJBR,IDR,2011,Q4,1503785000000,709954000000,167992000000
2012-03-31,BJBR,IDR,2012,Q1,1609506000000,919635000000,270280000000
2012-06-30,BJBR,IDR,2012,Q2,1843880000000,1042607000000,329716000000
2012-09-30,BJBR,IDR,2012,Q3,1786342000000,1054272000000,345388000000
2012-12-31,BJBR,IDR,2012,Q4,1636090000000,1111170000000,247300000000
2013-03-31,BJBR,IDR,2013,Q1,1900818000000,1264813000000,370928000000
2013-06-30,BJBR,IDR,2013,Q2,2094637000000,1402347000000,374458000000
2013-09-30,BJBR,IDR,2013,Q3,2177439000000,1410645000000,348577000000
2013-12-31,BJBR,IDR,2013,Q4,1988063000000,1172770000000,278950000000
2014-03-31,BJBR,IDR,2014,Q1,2177289000000,1269795000000,325320000000
2014-06-30,BJBR,IDR,2014,Q2,2199001000000,1147451000000,150960000000
2014-09-30,BJBR,IDR,2014,Q3,2197942000000,1305256000000,237593000000
2014-12-31,BJBR,IDR,2014,Q4,2315536000000,1414145000000,402222000000
2015-03-31,BJBR,IDR,2015,Q1,2275000000000,1362303000000,385348000000
2015-06-30,BJBR,IDR,2015,Q2,2543046000000,1317844000000,194973000000
2015-09-30,BJBR,IDR,2015,Q3,2568490000000,1417550000000,281009000000
2015-12-31,BJBR,IDR,2015,Q4,2788184000000,1617725000000,515779000000
2016-03-31,BJBR,IDR,2016,Q1,2626669000000,1621067000000,446011000000
2016-06-30,BJBR,IDR,2016,Q2,2668098000000,1726699000000,408614000000
2016-09-30,BJBR,IDR,2016,Q3,2827870000000,1810073000000,308688000000
2016-12-31,BJBR,IDR,2016,Q4,2752336000000,1799953000000,-8892000000
2017-03-31,BJBR,IDR,2017,Q1,2817320000000,1692588000000,448621000000
2017-06-30,BJBR,IDR,2017,Q2,2852241000000,1787897000000,377910000000
2017-09-30,BJBR,IDR,2017,Q3,2975516000000,1800674000000,244672000000
2017-12-31,BJBR,IDR,2017,Q4,3046393000000,1877082000000,140833000000
2018-03-31,BJBR,IDR,2018,Q1,2980496000000,1770515000000,459986000000
2018-06-30,BJBR,IDR,2018,Q2,2965670000000,1840255000000,441104000000
2018-09-30,BJBR,IDR,2018,Q3,3051520000000,1937267000000,438906000000
2018-12-31,BJBR,IDR,2018,Q4,3274801000000,1918305000000,208253000000
2019-03-31,BJBR,IDR,2019,Q1,3107544000000,1800862000000,419537000000
2019-06-30,BJBR,IDR,2019,Q2,3033669000000,1690123000000,380449000000
2019-09-30,BJBR,IDR,2019,Q3,3128208000000,1764726000000,330890000000
2019-12-31,BJBR,IDR,2019,Q4,3261011000000,1900527000000,427775000000
2020-03-31,BJBR,IDR,2020,Q1,3115856000000,1818697000000,416618000000
2020-06-30,BJBR,IDR,2020,Q2,3283503000000,1934821000000,390860000000
2020-09-30,BJBR,IDR,2020,Q3,3324965000000,1978400000000,392765000000
2020-12-31,BJBR,IDR,2020,Q4,3794037000000,2172306000000,486975000000
2021-03-31,BJBR,IDR,2021,Q1,3310810000000,2094102000000,479321000000
2021-06-30,BJBR,IDR,2021,Q2,3575201000000,2341996000000,442520000000
2021-09-30,BJBR,IDR,2021,Q3,3496130000000,2350057000000,497069000000
2021-12-31,BJBR,IDR,2021,Q4,3863876000000,2797610000000,612948000000
2022-03-31,BJBR,IDR,2022,Q1,3431160000000,2383961000000,596227000000
2022-06-30,BJBR,IDR,2022,Q2,3475567000000,2400472000000,634515000000
2022-09-30,BJBR,IDR,2022,Q3,3745862000000,2674423000000,602566000000
2022-12-31,BJBR,IDR,2022,Q4,3937484000000,2605658000000,471068000000
2023-03-31,BJBR,IDR,2023,Q1,3730804000000,2151167000000,371644000000
2023-06-30,BJBR,IDR,2023,Q2,3780381000000,2194766000000,548498000000
2023-09-30,BJBR,IDR,2023,Q3,3896910000000,2240318000000,514756000000
2023-12-31,BJBR,IDR,2023,Q4,4062358000000,2693926000000,343497000000
2024-03-31,BJBR,IDR,2024,Q1,4171480000000,2132046000000,364260000000
2024-06-30,BJBR,IDR,2024,Q2,4258677000000,2173233000000,361602000000
2024-09-30,BJBR,IDR,2024,Q3,4307182000000,2191681000000,437120000000
2024-12-31,BJBR,IDR,2024,Q4,4676064000000,2900809000000,206481000000
2025-03-31,BJBR,IDR,2025,Q1,2264196000000,597950000000,398419000000
2025-06-30,BJBR,IDR,2025,Q2,2238895000000,262418000000,94520000000
2025-09-30,BJBR,IDR,2025,Q3,2343186000000,520554000000,297736000000
2025-12-31,BJBR,IDR,2025,Q4,2827146000000,602720000000,362141000000
2026-03-31,BJBR,IDR,2026,Q1,2520948000000,662598000000,410149000000
2026-06-30,BJBR,IDR,2026,Q2,2381705000000,1108968000000,372679000000
