date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,BKDP,IDR,2012,Q1,1771145726,-974701146,-6890564076
2012-06-30,BKDP,IDR,2012,Q2,1883462868,-515759937,-7913731082
2012-09-30,BKDP,IDR,2012,Q3,5451413254,1811609049,-3232715447
2012-12-31,BKDP,IDR,2012,Q4,4293142774,-20875864381,-40320341019
2013-03-31,BKDP,IDR,2013,Q1,1922823710,-2842342212,-11626767660
2013-06-30,BKDP,IDR,2013,Q2,5046718902,-3768086320,-13961493197
2013-09-30,BKDP,IDR,2013,Q3,1717923851,-5255340204,-15847671571
2013-12-31,BKDP,IDR,2013,Q4,2697629950,-9983296932,-17683684418
2014-03-31,BKDP,IDR,2014,Q1,25347881154,12672351026,1537865601
2014-06-30,BKDP,IDR,2014,Q2,24707741379,10824145347,719390729
2014-09-30,BKDP,IDR,2014,Q3,39672778686,25851759152,11111103182
2014-12-31,BKDP,IDR,2014,Q4,17662971090,3850990449,-6153005170
2015-03-31,BKDP,IDR,2015,Q1,15919726659,7152133971,-3037940474
2015-06-30,BKDP,IDR,2015,Q2,15345095752,5802047943,-5499201088
2015-09-30,BKDP,IDR,2015,Q3,21569560745,6990872616,-4226774228
2015-12-31,BKDP,IDR,2015,Q4,7267055109,-4503499233,-15449299917
2016-03-31,BKDP,IDR,2016,Q1,22172617665,12889572475,2243341849
2016-06-30,BKDP,IDR,2016,Q2,7796865396,-494832472,-11497236468
2016-09-30,BKDP,IDR,2016,Q3,9340302938,-2886986394,-14463312327
2016-12-31,BKDP,IDR,2016,Q4,13103985235,1570101060,-5261766546
2017-03-31,BKDP,IDR,2017,Q1,17740530720,6656988075,-5493256605
2017-06-30,BKDP,IDR,2017,Q2,9584787576,-918958612,-13038121976
2017-09-30,BKDP,IDR,2017,Q3,10978537917,131044365,-10452614187
2017-12-31,BKDP,IDR,2017,Q4,4884652521,-3557834464,-14178394924
2018-03-31,BKDP,IDR,2018,Q1,15842173140,3647166323,-6491847332
2018-06-30,BKDP,IDR,2018,Q2,11396778889,330240227,-9359780256
2018-09-30,BKDP,IDR,2018,Q3,11841292462,1424808299,-10841100611
2018-12-31,BKDP,IDR,2018,Q4,-3009925119,-8141704363,-9949523746
2019-03-31,BKDP,IDR,2019,Q1,11986182709,474017670,-5789338539
2019-06-30,BKDP,IDR,2019,Q2,10273981067,789914072,-9448767323
2019-09-30,BKDP,IDR,2019,Q3,11218531945,1006869151,-11545669023
2019-12-31,BKDP,IDR,2019,Q4,1695440273,-2972766236,-4136116108
2020-03-31,BKDP,IDR,2020,Q1,10412150708,-639462821,-6931487093
2020-06-30,BKDP,IDR,2020,Q2,6202934538,-2242462495,-6505998687
2020-09-30,BKDP,IDR,2020,Q3,5283074343,-2703177497,-7437459522
2020-12-31,BKDP,IDR,2020,Q4,-2339420938,-6522686883,-10157408197
2021-03-31,BKDP,IDR,2021,Q1,4635562804,-1512915055,-11408081074
2021-06-30,BKDP,IDR,2021,Q2,4493560168,-2268648830,-7971682977
2021-09-30,BKDP,IDR,2021,Q3,3270473296,-2242075717,-11627694595
2021-12-31,BKDP,IDR,2021,Q4,11002246281,-4554409528,-5243263305
2022-03-31,BKDP,IDR,2022,Q1,10991115149,1660958849,-4775040434
2022-06-30,BKDP,IDR,2022,Q2,8099433515,-2689707951,-17765437196
2022-09-30,BKDP,IDR,2022,Q3,7628224045,930833830,-5077605401
2022-12-31,BKDP,IDR,2022,Q4,-682915751,-7609111788,-5857053925
2023-03-31,BKDP,IDR,2023,Q1,10633689795,-335555866,-6531356758
2023-06-30,BKDP,IDR,2023,Q2,5646491340,-987054555,-14040928360
2023-09-30,BKDP,IDR,2023,Q3,9312287692,-638268679,-92425350
2023-12-31,BKDP,IDR,2023,Q4,5618888000,-5010123000,-13927415000
2024-03-31,BKDP,IDR,2024,Q1,5370650000,-3742690000,-10351081000
2024-06-30,BKDP,IDR,2024,Q2,8230238000,492997000,-8651452000
2024-09-30,BKDP,IDR,2024,Q3,6916281557,-1201484005,-7630323517
2024-12-31,BKDP,IDR,2024,Q4,10021622489,-4291885383,-9280693678
2025-03-31,BKDP,IDR,2025,Q1,8542146000,-1352579000,-8608582000
2025-06-30,BKDP,IDR,2025,Q2,9438194000,-1501206000,-7968981000
2025-09-30,BKDP,IDR,2025,Q3,9336894000,-2205220000,-10640152000
2025-12-31,BKDP,IDR,2025,Q4,9357467000,-4757896000,-8338840000
2026-03-31,BKDP,IDR,2026,Q1,9221152430,-2966808385,-9394374421
