date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,BLTZ,IDR,2012,Q4,60304216706,34529808805,309681778853
2013-03-31,BLTZ,IDR,2013,Q1,61732543198,38301248718,-5633356093
2013-06-30,BLTZ,IDR,2013,Q2,86527159666,47996216220,-4223717087
2013-09-30,BLTZ,IDR,2013,Q3,80389751166,47321193068,6119391912
2013-12-31,BLTZ,IDR,2013,Q4,72298692514,41240940095,-8481881108
2014-03-31,BLTZ,IDR,2014,Q1,57430522537,30529833960,-18095817183
2014-06-30,BLTZ,IDR,2014,Q2,95872696649,50250022952,-10759489337
2014-09-30,BLTZ,IDR,2014,Q3,73886692349,43051799048,-4503919952
2014-12-31,BLTZ,IDR,2014,Q4,105387115698,62196315346,1605910701
2015-03-31,BLTZ,IDR,2015,Q1,69462510613,43358998989,-12171798074
2015-06-30,BLTZ,IDR,2015,Q2,122531928861,70254085403,629872398
2015-09-30,BLTZ,IDR,2015,Q3,94522960200,57245021391,-19795167000
2015-12-31,BLTZ,IDR,2015,Q4,112856170349,70753247634,-4761857191
2016-03-31,BLTZ,IDR,2016,Q1,113178810335,68665328958,-16454328433
2016-06-30,BLTZ,IDR,2016,Q2,161429809507,95731062345,4759334282
2016-09-30,BLTZ,IDR,2016,Q3,156368448958,93032013852,5863387084
2016-12-31,BLTZ,IDR,2016,Q4,143999651108,83534771350,-9669946186
2017-03-31,BLTZ,IDR,2017,Q1,163696071238,96599303266,-6952058321
2017-06-30,BLTZ,IDR,2017,Q2,217554650678,126419035880,18618122002
2017-09-30,BLTZ,IDR,2017,Q3,211315126038,119342464187,-7405471533
2017-12-31,BLTZ,IDR,2017,Q4,256677053046,22242756667,8178269852
2018-03-31,BLTZ,IDR,2018,Q1,243667043000,97459125000,-12062240000
2018-06-30,BLTZ,IDR,2018,Q2,299952042000,129689983000,17756549000
2018-09-30,BLTZ,IDR,2018,Q3,302877496000,135623690000,15515574000
2018-12-31,BLTZ,IDR,2018,Q4,337826483000,159119602000,14016790000
2019-03-31,BLTZ,IDR,2019,Q1,292256501000,127229723000,-3636669000
2019-06-30,BLTZ,IDR,2019,Q2,390143496000,194045456000,44738303000
2019-09-30,BLTZ,IDR,2019,Q3,345068872000,171739972000,13511257000
2019-12-31,BLTZ,IDR,2019,Q4,387124471000,48840335000,28728826000
2020-03-31,BLTZ,IDR,2020,Q1,254519725000,68701963000,-54305924000
2020-06-30,BLTZ,IDR,2020,Q2,-20681895000,-67241795000,-131157400000
2020-09-30,BLTZ,IDR,2020,Q3,650258000,-66799450000,-117578831000
2020-12-31,BLTZ,IDR,2020,Q4,21349570000,-2013173000,-142788588000
2021-03-31,BLTZ,IDR,2021,Q1,27336261000,-28636994000,-83337096000
2021-06-30,BLTZ,IDR,2021,Q2,70838385000,921424000,-84703694000
2021-09-30,BLTZ,IDR,2021,Q3,6385346000,-27372046000,-65799507000
2021-12-31,BLTZ,IDR,2021,Q4,180344947000,58881078000,-31271929000
2022-03-31,BLTZ,IDR,2022,Q1,133848142000,35699830000,-50532535000
2022-06-30,BLTZ,IDR,2022,Q2,355405481000,152118993000,31318108000
2022-09-30,BLTZ,IDR,2022,Q3,304788444000,126767883000,4380601000
2022-12-31,BLTZ,IDR,2022,Q4,264326024000,96777155000,-44039424000
2023-03-31,BLTZ,IDR,2023,Q1,205865081000,67246166000,-20688797000
2023-06-30,BLTZ,IDR,2023,Q2,329918116000,145658274000,14605329000
2023-09-30,BLTZ,IDR,2023,Q3,260996945000,104355777000,-31411126000
2023-12-31,BLTZ,IDR,2023,Q4,264699072000,128244373000,23846671000
2024-03-31,BLTZ,IDR,2024,Q1,265101338000,108626009000,-8848443000
2024-06-30,BLTZ,IDR,2024,Q2,352505883000,157604085000,18718375000
2024-09-30,BLTZ,IDR,2024,Q3,276370114000,118443566000,1630594000
2024-12-31,BLTZ,IDR,2024,Q4,279259170000,117655768000,-82773815000
2025-03-31,BLTZ,IDR,2025,Q1,192894630000,69272878000,-32607671000
2025-06-30,BLTZ,IDR,2025,Q2,421870962000,200298620000,57822288000
2025-09-30,BLTZ,IDR,2025,Q3,307492102000,135916954000,3521230000
2025-12-31,BLTZ,IDR,2025,Q4,335659574000,154974588000,32101869000
2026-03-31,BLTZ,IDR,2026,Q1,214046327000,79778623000,-24893914000
