date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-12-31,BLUE,IDR,2018,Q4,24850433079,8437863676,-3958290179
2019-03-31,BLUE,IDR,2019,Q1,33442322117,18494289368,7620166433
2019-06-30,BLUE,IDR,2019,Q2,13012280891,5052029351,3290718662
2019-09-30,BLUE,IDR,2019,Q3,37656836522,18782295092,8056713381
2019-12-31,BLUE,IDR,2019,Q4,15981923142,5295996539,-5877994977
2020-03-31,BLUE,IDR,2020,Q1,26734867188,15301798488,7460243908
2020-06-30,BLUE,IDR,2020,Q2,5917013382,2985306613,-1325635834
2020-09-30,BLUE,IDR,2020,Q3,16799588035,6072134600,-446683522
2020-12-31,BLUE,IDR,2020,Q4,24728406146,11408781353,4810944305
2021-03-31,BLUE,IDR,2021,Q1,23322939268,9827305635,4947266735
2021-06-30,BLUE,IDR,2021,Q2,17353717790,4147727908,-956384760
2021-09-30,BLUE,IDR,2021,Q3,35587242088,13676847204,5437916880
2021-12-31,BLUE,IDR,2021,Q4,32754193488,8743020754,2597335578
2022-03-31,BLUE,IDR,2022,Q1,29416964080,9645473203,4789600853
2022-06-30,BLUE,IDR,2022,Q2,27612401785,7812416327,3284825337
2022-09-30,BLUE,IDR,2022,Q3,41666736926,15316651802,6623848290
2022-12-31,BLUE,IDR,2022,Q4,32624416615,9758327569,-319208739
2023-03-31,BLUE,IDR,2023,Q1,40044254052,14306530891,8101054345
2023-06-30,BLUE,IDR,2023,Q2,27906455873,8228413512,3271665275
2023-09-30,BLUE,IDR,2023,Q3,43264361514,17341278197,5181407631
2023-12-31,BLUE,IDR,2023,Q4,31868190196,7057788395,179278501
2024-03-31,BLUE,IDR,2024,Q1,35432682588,10943423677,5606417596
2024-06-30,BLUE,IDR,2024,Q2,36745771806,12875670309,2708341057
2024-09-30,BLUE,IDR,2024,Q3,49226942295,16339469760,5778508444
2024-12-31,BLUE,IDR,2024,Q4,38812792369,13003510117,2284698113
2025-03-31,BLUE,IDR,2025,Q1,27774019675,9213193229,3540108910
2025-06-30,BLUE,IDR,2025,Q2,38649634930,12940109915,3137094545
2025-09-30,BLUE,IDR,2025,Q3,43569805159,15370447704,5810233140
2025-12-31,BLUE,IDR,2025,Q4,31133038826,9683890620,2003377633
2026-03-31,BLUE,IDR,2026,Q1,35319996777,11676941568,4544407115
