date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,BMSR,IDR,2012,Q3,463484362415,17493559377,-10468243344
2012-12-31,BMSR,IDR,2012,Q4,592115696743,28816275401,-6266226568
2013-03-31,BMSR,IDR,2013,Q1,589612231075,29929720768,-4281247808
2013-06-30,BMSR,IDR,2013,Q2,551051058017,20547286087,-7303475570
2013-09-30,BMSR,IDR,2013,Q3,488430573820,14219644911,-10894463108
2013-12-31,BMSR,IDR,2013,Q4,563559086961,29632795965,-5441922201
2014-03-31,BMSR,IDR,2014,Q1,591179979000,31717207872,-26827023666
2014-06-30,BMSR,IDR,2014,Q2,576189549763,32702018069,553690494
2014-09-30,BMSR,IDR,2014,Q3,556183357449,26075630737,3586477068
2014-12-31,BMSR,IDR,2014,Q4,575445914018,34027515776,-140138106807
2015-03-31,BMSR,IDR,2015,Q1,550647116560,26469690704,-3302070786
2015-06-30,BMSR,IDR,2015,Q2,549865350716,25495789675,-5491471228
2015-09-30,BMSR,IDR,2015,Q3,538279791550,30968984953,-913245280
2015-12-31,BMSR,IDR,2015,Q4,568860766331,47496287721,2896467215
2016-03-31,BMSR,IDR,2016,Q1,578589882339,30757735689,-11325013002
2016-06-30,BMSR,IDR,2016,Q2,574291790267,21154110715,-23139342113
2016-09-30,BMSR,IDR,2016,Q3,557777355373,31413324315,-6879547839
2016-12-31,BMSR,IDR,2016,Q4,543133391541,50458723516,21775281752
2017-03-31,BMSR,IDR,2017,Q1,613196899955,43760233080,-1171503857
2017-06-30,BMSR,IDR,2017,Q2,596702815391,40235663086,-302459611
2017-09-30,BMSR,IDR,2017,Q3,715047842756,44370446456,1076313802
2017-12-31,BMSR,IDR,2017,Q4,702971005905,37364985905,-2700253981
2018-03-31,BMSR,IDR,2018,Q1,806019231163,42432487793,1716491525
2018-06-30,BMSR,IDR,2018,Q2,738269882061,31891440801,1078678467
2018-09-30,BMSR,IDR,2018,Q3,868318388476,43558550351,1090134088
2018-12-31,BMSR,IDR,2018,Q4,820399480984,57558422874,1672909243
2019-03-31,BMSR,IDR,2019,Q1,791356985200,51293182505,4531748694
2019-06-30,BMSR,IDR,2019,Q2,637438966874,31150182209,-1783143577
2019-09-30,BMSR,IDR,2019,Q3,788903869882,38751810566,748163414
2019-12-31,BMSR,IDR,2019,Q4,692264634372,48169987147,1696591096
2020-03-31,BMSR,IDR,2020,Q1,705356670792,42806177566,1645656826
2020-06-30,BMSR,IDR,2020,Q2,496648110701,24898766079,-12864867854
2020-09-30,BMSR,IDR,2020,Q3,622633322804,55586969892,14275007800
2020-12-31,BMSR,IDR,2020,Q4,772794320050,81184701463,-4332018329
2021-03-31,BMSR,IDR,2021,Q1,762402045734,51031723606,4041772372
2021-06-30,BMSR,IDR,2021,Q2,759909909556,68119388000,17099143922
2021-09-30,BMSR,IDR,2021,Q3,715073734890,72022204905,23603039491
2021-12-31,BMSR,IDR,2021,Q4,1072164503851,106310054444,134675591780
2022-03-31,BMSR,IDR,2022,Q1,1326827476670,163900265636,91837634894
2022-06-30,BMSR,IDR,2022,Q2,1138574488246,165374418708,100215908162
2022-09-30,BMSR,IDR,2022,Q3,1237648551971,179225680257,156773289595
2022-12-31,BMSR,IDR,2022,Q4,1127237001904,88706324315,26659897587
2023-03-31,BMSR,IDR,2023,Q1,1221631238183,77153362123,22071668559
2023-06-30,BMSR,IDR,2023,Q2,929130579511,67363996110,7877015729
2023-09-30,BMSR,IDR,2023,Q3,876764359475,88669299210,48776826197
2023-12-31,BMSR,IDR,2023,Q4,832353090772,80180689821,96072469911
2024-03-31,BMSR,IDR,2024,Q1,766635028039,74571202229,23161153572
2024-06-30,BMSR,IDR,2024,Q2,753861108958,75779969055,20517402777
2024-09-30,BMSR,IDR,2024,Q3,708224448000,74657302000,26758201000
2024-12-31,BMSR,IDR,2024,Q4,784335736000,-35682818000,-60671207000
2025-03-31,BMSR,IDR,2025,Q1,848240408000,28597512000,-38821044000
2025-06-30,BMSR,IDR,2025,Q2,860456794000,67466033000,-7096525000
2025-09-30,BMSR,IDR,2025,Q3,923758431000,86573800000,24239716000
2025-12-31,BMSR,IDR,2025,Q4,989095407000,72947772000,68347348000
2026-03-31,BMSR,IDR,2026,Q1,734065561164,67830944463,12970529970
2026-06-30,BMSR,IDR,2026,Q2,789622136640,70946961291,9257883968
