date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,BNBA,IDR,2012,Q3,54341985535,54341985535,14948524655
2012-12-31,BNBA,IDR,2012,Q4,58406560175,58406560175,13120412025
2013-03-31,BNBA,IDR,2013,Q1,53912107433,53912107433,14550796140
2013-06-30,BNBA,IDR,2013,Q2,59627663153,59627663153,15363669910
2013-09-30,BNBA,IDR,2013,Q3,63898130781,63898130781,17461945051
2013-12-31,BNBA,IDR,2013,Q4,70565212604,70565212604,8821013357
2014-03-31,BNBA,IDR,2014,Q1,61406455562,61406455562,11952791139
2014-06-30,BNBA,IDR,2014,Q2,60275010917,60275010917,8245807370
2014-09-30,BNBA,IDR,2014,Q3,58493249938,58493249938,3019028497
2014-12-31,BNBA,IDR,2014,Q4,74301549410,74301549410,28610209323
2015-03-31,BNBA,IDR,2015,Q1,64692454075,64692454075,12803221640
2015-06-30,BNBA,IDR,2015,Q2,67885407939,67885407939,12014501103
2015-09-30,BNBA,IDR,2015,Q3,74060736353,74060736353,16615042245
2015-12-31,BNBA,IDR,2015,Q4,82903702931,82903702931,15517652932
2016-03-31,BNBA,IDR,2016,Q1,83244710460,83244710460,23428899977
2016-06-30,BNBA,IDR,2016,Q2,78796807524,78796807524,10529711256
2016-09-30,BNBA,IDR,2016,Q3,87092180027,87092180027,14263908512
2016-12-31,BNBA,IDR,2016,Q4,80123982652,80123982652,30537217424
2017-03-31,BNBA,IDR,2017,Q1,184260399782,99401085735,19804972728
2017-06-30,BNBA,IDR,2017,Q2,175506135655,91394328916,6590558537
2017-09-30,BNBA,IDR,2017,Q3,173453688603,96429760552,20131730359
2017-12-31,BNBA,IDR,2017,Q4,170370273580,95368241497,43020833846
2018-03-31,BNBA,IDR,2018,Q1,165857950848,94497784319,22255333650
2018-06-30,BNBA,IDR,2018,Q2,166915776274,92330552030,20362602037
2018-09-30,BNBA,IDR,2018,Q3,172407927482,94828016411,18380127533
2018-12-31,BNBA,IDR,2018,Q4,171752048844,95135350374,31899801268
2019-03-31,BNBA,IDR,2019,Q1,172570305056,86080022029,13661406201
2019-06-30,BNBA,IDR,2019,Q2,169993798019,81089341282,11559081759
2019-09-30,BNBA,IDR,2019,Q3,165609338052,80926807902,12019824082
2019-12-31,BNBA,IDR,2019,Q4,167651957734,82691426223,13927589073
2020-03-31,BNBA,IDR,2020,Q1,167240178303,77622052160,9298983136
2020-06-30,BNBA,IDR,2020,Q2,156974318912,72083774315,15406467597
2020-09-30,BNBA,IDR,2020,Q3,160123962335,70471492326,5744420161
2020-12-31,BNBA,IDR,2020,Q4,167363473814,84695591210,4603462258
2021-03-31,BNBA,IDR,2021,Q1,145202338435,75608594455,15611316183
2021-06-30,BNBA,IDR,2021,Q2,141252965485,81796866307,26531105888
2021-09-30,BNBA,IDR,2021,Q3,126940863601,73450555152,-7154525469
2021-12-31,BNBA,IDR,2021,Q4,122391893079,74853139251,9461504321
2022-03-31,BNBA,IDR,2022,Q1,142374052877,97460083294,18097063468
2022-06-30,BNBA,IDR,2022,Q2,136463573591,92907059822,8303762000
2022-09-30,BNBA,IDR,2022,Q3,128948117745,81850284712,17994213394
2022-12-31,BNBA,IDR,2022,Q4,137476852539,93160967125,-5455996137
2023-03-31,BNBA,IDR,2023,Q1,138369905147,98268769388,8008330290
2023-06-30,BNBA,IDR,2023,Q2,138817910750,96354079414,4488630833
2023-09-30,BNBA,IDR,2023,Q3,131763021387,83755805944,18814653902
2023-12-31,BNBA,IDR,2023,Q4,139144074905,91742631054,13054296921
2024-03-31,BNBA,IDR,2024,Q1,137033732770,86533687456,29158691022
2024-06-30,BNBA,IDR,2024,Q2,141293704689,87876002433,14184866140
2024-09-30,BNBA,IDR,2024,Q3,140635811260,85423049308,16511209074
2024-12-31,BNBA,IDR,2024,Q4,155390751851,101424412273,1545249609
2025-03-31,BNBA,IDR,2025,Q1,88275916424,87915556000,20026732000
2025-06-30,BNBA,IDR,2025,Q2,83080077775,82905303000,-673176537
2025-09-30,BNBA,IDR,2025,Q3,84272495958,83817534000,-1511614000
2025-12-31,BNBA,IDR,2025,Q4,81784522433,49423400000,-8372884000
2026-03-31,BNBA,IDR,2026,Q1,85654753180,16795795769,12821064868
2026-06-30,BNBA,IDR,2026,Q2,78336644946,6925082176,15454749637
