date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,BNLI,IDR,2011,Q1,1934802000000,1093734000000,321123000000
2011-06-30,BNLI,IDR,2011,Q2,2144979000000,1278790000000,382371000000
2011-09-30,BNLI,IDR,2011,Q3,2264681000000,1116847000000,242137000000
2011-12-31,BNLI,IDR,2011,Q4,2398021000000,1286437000000,211245000000
2012-03-31,BNLI,IDR,2012,Q1,2434403000000,1409299000000,331419000000
2012-06-30,BNLI,IDR,2012,Q2,2536415000000,1643908000000,380368000000
2012-09-30,BNLI,IDR,2012,Q3,2507094000000,1358254000000,381270000000
2012-12-31,BNLI,IDR,2012,Q4,2897888000000,1860870000000,275076000000
2013-03-31,BNLI,IDR,2013,Q1,2931674000000,1614826000000,355739000000
2013-06-30,BNLI,IDR,2013,Q2,2970608000000,1653092000000,461974000000
2013-09-30,BNLI,IDR,2013,Q3,3756759000000,1851976000000,504023000000
2013-12-31,BNLI,IDR,2013,Q4,3102515000000,1659278000000,404137000000
2014-03-31,BNLI,IDR,2014,Q1,3795658000000,1660962000000,367029000000
2014-06-30,BNLI,IDR,2014,Q2,4074956000000,1801273000000,433528000000
2014-09-30,BNLI,IDR,2014,Q3,4155771000000,1768407000000,437781000000
2014-12-31,BNLI,IDR,2014,Q4,4426729000000,2129076000000,348834000000
2015-03-31,BNLI,IDR,2015,Q1,4445489000000,2030514000000,567488000000
2015-06-30,BNLI,IDR,2015,Q2,4364319000000,2077608000000,269818000000
2015-09-30,BNLI,IDR,2015,Q3,4210180000000,2047658000000,100887000000
2015-12-31,BNLI,IDR,2015,Q4,4258218000000,2135856000000,-691081000000
2016-03-31,BNLI,IDR,2016,Q1,4194323000000,2108620000000,-376251000000
2016-06-30,BNLI,IDR,2016,Q2,3993569000000,2027172000000,-459421000000
2016-09-30,BNLI,IDR,2016,Q3,3996850000000,2103424000000,-397613000000
2016-12-31,BNLI,IDR,2016,Q4,3516004000000,1823043000000,-5249799000000
2017-03-31,BNLI,IDR,2017,Q1,3918756000000,2325146000000,452648000000
2017-06-30,BNLI,IDR,2017,Q2,3121128000000,1826222000000,167917000000
2017-09-30,BNLI,IDR,2017,Q3,3022734000000,1889076000000,86942000000
2017-12-31,BNLI,IDR,2017,Q4,3497318000000,2304983000000,40926000000
2018-03-31,BNLI,IDR,2018,Q1,2883841000000,1726480000000,163641000000
2018-06-30,BNLI,IDR,2018,Q2,3105944000000,1894443000000,125200000000
2018-09-30,BNLI,IDR,2018,Q3,3014231000000,1820544000000,205310000000
2018-12-31,BNLI,IDR,2018,Q4,3171555000000,1916688000000,407100000000
2019-03-31,BNLI,IDR,2019,Q1,3173548000000,1793103000000,377363000000
2019-06-30,BNLI,IDR,2019,Q2,3220566000000,1923764000000,334027000000
2019-09-30,BNLI,IDR,2019,Q3,3204198000000,1946119000000,381228000000
2019-12-31,BNLI,IDR,2019,Q4,3508732000000,2278305000000,407802000000
2020-03-31,BNLI,IDR,2020,Q1,3282280000000,2105708000000,1736000000
2020-06-30,BNLI,IDR,2020,Q2,3187705000000,2091224000000,364742000000
2020-09-30,BNLI,IDR,2020,Q3,3109388000000,2050665000000,63282000000
2020-12-31,BNLI,IDR,2020,Q4,3870539000000,2662661000000,291827000000
2021-03-31,BNLI,IDR,2021,Q1,3202398000000,2291523000000,493726000000
2021-06-30,BNLI,IDR,2021,Q2,3415216000000,2624924000000,145057000000
2021-09-30,BNLI,IDR,2021,Q3,3257202000000,2329964000000,192593000000
2021-12-31,BNLI,IDR,2021,Q4,3387415000000,2577081000000,399751000000
2022-03-31,BNLI,IDR,2022,Q1,3300567000000,2488651000000,750367000000
2022-06-30,BNLI,IDR,2022,Q2,3295371000000,2530466000000,678824000000
2022-09-30,BNLI,IDR,2022,Q3,3577228000000,2877829000000,813946000000
2022-12-31,BNLI,IDR,2022,Q4,3786036000000,2851204000000,-229724000000
2023-03-31,BNLI,IDR,2023,Q1,4375867000000,3013972000000,755945000000
2023-06-30,BNLI,IDR,2023,Q2,4229272000000,2894401000000,650667000000
2023-09-30,BNLI,IDR,2023,Q3,4306863000000,2949213000000,733907000000
2023-12-31,BNLI,IDR,2023,Q4,5149483000000,2979238000000,444699000000
2024-03-31,BNLI,IDR,2024,Q1,4575731000000,2921853000000,807314000000
2024-06-30,BNLI,IDR,2024,Q2,4544891000000,2663918000000,722271000000
2024-09-30,BNLI,IDR,2024,Q3,5054740000000,3201826000000,1256037000000
2024-12-31,BNLI,IDR,2024,Q4,4749570000000,2904267000000,780897000000
2025-03-31,BNLI,IDR,2025,Q1,4822029000000,3092890000000,788974000000
2025-06-30,BNLI,IDR,2025,Q2,4806013000000,2991073000000,856309000000
2025-09-30,BNLI,IDR,2025,Q3,5218797000000,2983845000000,1237678000000
2025-12-31,BNLI,IDR,2025,Q4,4833075000000,2717025000000,704574000000
2026-03-31,BNLI,IDR,2026,Q1,4471591000000,3019489000000,920104000000
