date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,BOLA,IDR,2018,Q1,25846914963,6633489266,2285524161
2018-06-30,BOLA,IDR,2018,Q2,25846914963,6633489267,2285524161
2018-09-30,BOLA,IDR,2018,Q3,36240060812,-2186790581,6593582922
2018-12-31,BOLA,IDR,2018,Q4,27268757005,16537234060,-8671359852
2019-03-31,BOLA,IDR,2019,Q1,27850446167,24886031464,2144015093
2019-06-30,BOLA,IDR,2019,Q2,44796056181,12124733364,4279500770
2019-09-30,BOLA,IDR,2019,Q3,70626185309,13907931253,3635632402
2019-12-31,BOLA,IDR,2019,Q4,71935999855,5314146077,-2982912028
2020-03-31,BOLA,IDR,2020,Q1,41894518787,37096196948,6985343507
2020-06-30,BOLA,IDR,2020,Q2,3952903299,-22968567441,-19496099333
2020-09-30,BOLA,IDR,2020,Q3,17305407782,-8738270406,-9892642260
2020-12-31,BOLA,IDR,2020,Q4,13265695038,10695309916,27628974032
2021-03-31,BOLA,IDR,2021,Q1,18896048091,14776873533,48116187618
2021-06-30,BOLA,IDR,2021,Q2,16538913497,-2813136198,23981218893
2021-09-30,BOLA,IDR,2021,Q3,51786601535,19019382496,42275856452
2021-12-31,BOLA,IDR,2021,Q4,111395836051,107601208059,77270613800
2022-03-31,BOLA,IDR,2022,Q1,77003172483,67552102055,43753935401
2022-06-30,BOLA,IDR,2022,Q2,97890225322,31352103104,-21421692521
2022-09-30,BOLA,IDR,2022,Q3,84201220566,37780359675,7642814094
2022-12-31,BOLA,IDR,2022,Q4,94041155413,200003947084,-15494905123
2023-03-31,BOLA,IDR,2023,Q1,83017520813,71664359571,36652361956
2023-06-30,BOLA,IDR,2023,Q2,57897452132,35033463159,-23033197965
2023-09-30,BOLA,IDR,2023,Q3,98450222884,96201287730,-11544510114
2023-12-31,BOLA,IDR,2023,Q4,123973063000,-13195993000,-5788120000
2024-03-31,BOLA,IDR,2024,Q1,56552209655,-18369870026,16595953
2024-06-30,BOLA,IDR,2024,Q2,48875366000,38917113000,-69836348000
2024-09-30,BOLA,IDR,2024,Q3,73877868000,95639523000,21315283000
2024-12-31,BOLA,IDR,2024,Q4,155699549000,106327266000,7644917000
2025-03-31,BOLA,IDR,2025,Q1,60440580000,42089372000,-27699783000
2025-06-30,BOLA,IDR,2025,Q2,73135189000,56863365000,28889467000
2025-09-30,BOLA,IDR,2025,Q3,71869534000,94780347000,77615398000
2025-12-31,BOLA,IDR,2025,Q4,151382016000,69118792000,37559618000
2026-03-31,BOLA,IDR,2026,Q1,77862120000,54527044000,-101079911000
