date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,BPII,IDR,2013,Q1,48904480109,48904480109,10980383480
2013-06-30,BPII,IDR,2013,Q2,48904480108,48904480108,10980383480
2013-09-30,BPII,IDR,2013,Q3,22363249978,22363249978,-2192313223
2013-12-31,BPII,IDR,2013,Q4,41912777548,24429064247,7338604789
2014-03-31,BPII,IDR,2014,Q1,27330649169,22102619963,6675686265
2014-06-30,BPII,IDR,2014,Q2,38146622826,32715282546,9333563437
2014-09-30,BPII,IDR,2014,Q3,34720157515,28968798342,11050372258
2014-12-31,BPII,IDR,2014,Q4,34116217555,28413783932,19865508526
2015-03-31,BPII,IDR,2015,Q1,44829775320,38837384543,10884089298
2015-06-30,BPII,IDR,2015,Q2,69284703978,62626193639,14837748693
2015-09-30,BPII,IDR,2015,Q3,51294002218,45119595621,11990884821
2015-12-31,BPII,IDR,2015,Q4,57119252053,51617184348,12154467401
2016-03-31,BPII,IDR,2016,Q1,46246554070,40677426313,13452395843
2016-06-30,BPII,IDR,2016,Q2,64274685290,58514926131,15170636038
2016-09-30,BPII,IDR,2016,Q3,56112073910,50107028807,15454855086
2016-12-31,BPII,IDR,2016,Q4,80490536661,75427721629,14892133211
2017-03-31,BPII,IDR,2017,Q1,54152476244,48509688150,19138352957
2017-06-30,BPII,IDR,2017,Q2,71040758424,48049299154,18025507128
2017-09-30,BPII,IDR,2017,Q3,88882786103,100459410926,24168124991
2017-12-31,BPII,IDR,2017,Q4,85494114669,48788066825,18573414403
2018-03-31,BPII,IDR,2018,Q1,59486454522,53359375652,19710758217
2018-06-30,BPII,IDR,2018,Q2,72616147100,65816302348,19719791263
2018-09-30,BPII,IDR,2018,Q3,93447332521,90730583316,24847350290
2018-12-31,BPII,IDR,2018,Q4,68297017752,58636292030,23904622287
2019-03-31,BPII,IDR,2019,Q1,215347714639,172396084084,28844289207
2019-06-30,BPII,IDR,2019,Q2,122293395494,78928256931,24343026384
2019-09-30,BPII,IDR,2019,Q3,253872743169,214465176313,32764600474
2019-12-31,BPII,IDR,2019,Q4,461891290490,264080896400,47370133732
2020-03-31,BPII,IDR,2020,Q1,264662508480,161568849112,22987446127
2020-06-30,BPII,IDR,2020,Q2,202181855833,155486663017,14551974641
2020-09-30,BPII,IDR,2020,Q3,201285289223,163019278745,24397368427
2020-12-31,BPII,IDR,2020,Q4,295552676279,233194308003,30105428850
2021-03-31,BPII,IDR,2021,Q1,209535631350,183175188669,23363248213
2021-06-30,BPII,IDR,2021,Q2,215614302223,186257728508,24881823599
2021-09-30,BPII,IDR,2021,Q3,220972826928,295650451440,26458054100
2021-12-31,BPII,IDR,2021,Q4,252378630697,214182787412,52250133541
2022-03-31,BPII,IDR,2022,Q1,259007818354,199970569091,35238466239
2022-06-30,BPII,IDR,2022,Q2,291775433831,157082322566,34090152046
2022-09-30,BPII,IDR,2022,Q3,270972383816,76829668660,523363395484
2022-12-31,BPII,IDR,2022,Q4,55926509484,93443969382,-512666444993
2023-03-31,BPII,IDR,2023,Q1,274988047121,151850458571,22060175299
2023-06-30,BPII,IDR,2023,Q2,285257700196,132269222936,28013453366
2023-09-30,BPII,IDR,2023,Q3,170945072082,111282021978,23700428952
2023-12-31,BPII,IDR,2023,Q4,310846514558,143145641014,39989219622
2024-03-31,BPII,IDR,2024,Q1,275383270056,139211214096,32629787680
2024-06-30,BPII,IDR,2024,Q2,284014289887,142480231831,40106426034
2024-09-30,BPII,IDR,2024,Q3,350192470000,168893644000,48563449000
2024-12-31,BPII,IDR,2024,Q4,318053500000,170558665000,28973537000
2025-03-31,BPII,IDR,2025,Q1,349135905000,147165910000,36576434000
2025-06-30,BPII,IDR,2025,Q2,372806563000,180708012000,42877328000
2025-09-30,BPII,IDR,2025,Q3,304639774000,173236372000,18207773000
2025-12-31,BPII,IDR,2025,Q4,335782999000,208895520000,37142638000
2026-03-31,BPII,IDR,2026,Q1,312542927630,312542927630,17965310441
2026-06-30,BPII,IDR,2026,Q2,1223248089698,1223248089698,24860873441
