date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,BRAM,USD,2012,Q3,42845950,500818,3882333
2012-12-31,BRAM,USD,2012,Q4,43661394,1953484,4668477
2013-03-31,BRAM,USD,2013,Q1,42247415,3082459,588494
2013-06-30,BRAM,USD,2013,Q2,49245593,4465795,137723
2013-09-30,BRAM,USD,2013,Q3,50903672,4702239,2478446
2013-12-31,BRAM,USD,2013,Q4,57771148,9960370,1622995
2014-03-31,BRAM,USD,2014,Q1,48270990,8909236,4707218
2014-06-30,BRAM,USD,2014,Q2,54900119,9825994,3380378
2014-09-30,BRAM,USD,2014,Q3,53590620,9151818,3859347
2014-12-31,BRAM,USD,2014,Q4,50955316,6441940,1849630
2015-03-31,BRAM,USD,2015,Q1,50023049,7991509,2617671
2015-06-30,BRAM,USD,2015,Q2,54326777,8533624,1875682
2015-09-30,BRAM,USD,2015,Q3,51715781,6601303,-389988.46
2015-12-31,BRAM,USD,2015,Q4,51800939,12168336,6309203
2016-03-31,BRAM,USD,2016,Q1,52119053,10332771,4390317
2016-06-30,BRAM,USD,2016,Q2,58715366,11922569,4498773
2016-09-30,BRAM,USD,2016,Q3,53155389,10724357,4742843
2016-12-31,BRAM,USD,2016,Q4,56309149,12172654,5634565
2017-03-31,BRAM,USD,2017,Q1,57611307,13430792,6646234
2017-06-30,BRAM,USD,2017,Q2,59974016,12709215,5818959
2017-09-30,BRAM,USD,2017,Q3,60510004,11589729,3687705
2017-12-31,BRAM,USD,2017,Q4,63687428,9022947,6171426
2018-03-31,BRAM,USD,2018,Q1,62146136,12194569,5694679
2018-06-30,BRAM,USD,2018,Q2,64496471,10059251,2950521
2018-09-30,BRAM,USD,2018,Q3,68967905,9544847,3598315
2018-12-31,BRAM,USD,2018,Q4,68829745,9308894,4727899
2019-03-31,BRAM,USD,2019,Q1,66262203,12297748,6290656
2019-06-30,BRAM,USD,2019,Q2,62190538,8895200,3184674
2019-09-30,BRAM,USD,2019,Q3,61044783,5216437,1259469
2019-12-31,BRAM,USD,2019,Q4,56121777,4727714,2768169
2020-03-31,BRAM,USD,2020,Q1,47546855,4025014,424113
2020-06-30,BRAM,USD,2020,Q2,28031583,1265078,-12308
2020-09-30,BRAM,USD,2020,Q3,39194735,1477519,-1032538
2020-12-31,BRAM,USD,2020,Q4,53719121,5130824,-3274804
2021-03-31,BRAM,USD,2021,Q1,61565340,10526909,4571611
2021-06-30,BRAM,USD,2021,Q2,60543236,11799565,6219656
2021-09-30,BRAM,USD,2021,Q3,66009361,14296027,8100018
2021-12-31,BRAM,USD,2021,Q4,71648759,11463256,6081851
2022-03-31,BRAM,USD,2022,Q1,86564300,18338878,9089321
2022-06-30,BRAM,USD,2022,Q2,87674019,14597470,5572210
2022-09-30,BRAM,USD,2022,Q3,82469863,16554144,8095394
2022-12-31,BRAM,USD,2022,Q4,78526062,17496295,9285887
2023-03-31,BRAM,USD,2023,Q1,65386786,8751009,4563408
2023-06-30,BRAM,USD,2023,Q2,66475525,10112660,4349337
2023-09-30,BRAM,USD,2023,Q3,60673626,7517237,662812
2023-12-31,BRAM,USD,2023,Q4,59426192,11203732,5739852
2024-03-31,BRAM,USD,2024,Q1,56397964,9806344,3359761
2024-06-30,BRAM,USD,2024,Q2,63339442,9465700,3103574
2024-09-30,BRAM,USD,2024,Q3,60514169,10150000,4841934
2024-12-31,BRAM,USD,2024,Q4,50663638,6730107,661916
2025-03-31,BRAM,USD,2025,Q1,42147525,6800624,2522964
2025-06-30,BRAM,USD,2025,Q2,19648432,-1547140,-2799283
2025-09-30,BRAM,USD,2025,Q3,31654000,-2265493,-1035313
2025-12-31,BRAM,USD,2025,Q4,30248358,7292554,-989967
2026-03-31,BRAM,USD,2026,Q1,37146621,5277297,5710736
2026-06-30,BRAM,USD,2026,Q2,45898706,8426702,2282716
