date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-03-31,BREN,USD,2023,Q1,147083000,147083000,29245000
2023-06-30,BREN,USD,2023,Q2,149901000,149901000,28401000
2023-09-30,BREN,USD,2023,Q3,148294000,148294000,26824000
2023-12-31,BREN,USD,2023,Q4,149659000,149659000,22947000
2024-03-31,BREN,USD,2024,Q1,145410000,145410000,28837000
2024-06-30,BREN,USD,2024,Q2,144662000,144662000,29116000
2024-09-30,BREN,USD,2024,Q3,151223000,151223000,28106000
2024-12-31,BREN,USD,2024,Q4,155528000,155528000,36049000
2025-03-31,BREN,USD,2025,Q1,150478000,150478000,34241000
2025-06-30,BREN,USD,2025,Q2,149595000,149595000,31225000
2025-09-30,BREN,USD,2025,Q3,154606000,115017000,40377000
2025-12-31,BREN,USD,2025,Q4,147669562,101546180,25624101
2026-03-31,BREN,USD,2026,Q1,163886163,120504211,42675474
