date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,BSML,IDR,2021,Q1,15289691490,4531113729,1094053617
2021-06-30,BSML,IDR,2021,Q2,15289691490,4531113730,1094053617
2021-09-30,BSML,IDR,2021,Q3,15289691490,4141687821,876322954
2021-12-31,BSML,IDR,2021,Q4,15289691490,4141687817,1311955901
2022-03-31,BSML,IDR,2022,Q1,36084171156,8448100878,3248875500
2022-06-30,BSML,IDR,2022,Q2,74468345547,10462385609,4424266630
2022-09-30,BSML,IDR,2022,Q3,103660848286,10375830731,3125518069
2022-12-31,BSML,IDR,2022,Q4,132552173340,10788902135,5221724086
2023-03-31,BSML,IDR,2023,Q1,95303259593,12464478902,4529754250
2023-06-30,BSML,IDR,2023,Q2,69873583454,13788840096,4608758102
2023-09-30,BSML,IDR,2023,Q3,67598340540,8577984832,3054925807
2023-12-31,BSML,IDR,2023,Q4,84280737000,10718846000,4878771000
2024-03-31,BSML,IDR,2024,Q1,58143190000,12396303000,4186086000
2024-06-30,BSML,IDR,2024,Q2,64824856485,8777656758,986772911
2024-09-30,BSML,IDR,2024,Q3,68511169000,11681364000,1752750000
2024-12-31,BSML,IDR,2024,Q4,53131827000,10304628000,1413989000
2025-03-31,BSML,IDR,2025,Q1,31052541000,8618458000,1302807000
2025-06-30,BSML,IDR,2025,Q2,14002013611,5694577966,733760409
2025-09-30,BSML,IDR,2025,Q3,15314968784,3266580749,217377854
2025-12-31,BSML,IDR,2025,Q4,3030970651,1370382419,264619165
2026-03-31,BSML,IDR,2026,Q1,10606164328,4521342809,964329474
