date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2014-03-31,BTPS,IDR,2014,Q1,18969000000,18969000000,3464000000
2014-06-30,BTPS,IDR,2014,Q2,23077000000,23077000000,3323000000
2014-09-30,BTPS,IDR,2014,Q3,176872000000,176872000000,27794000000
2014-12-31,BTPS,IDR,2014,Q4,637647000000,637647000000,56463000000
2015-03-31,BTPS,IDR,2015,Q1,226201000000,226201000000,22482000000
2015-06-30,BTPS,IDR,2015,Q2,287639000000,287639000000,38190000000
2015-09-30,BTPS,IDR,2015,Q3,329375000000,329375000000,51640000000
2015-12-31,BTPS,IDR,2015,Q4,417534000000,417534000000,76043000000
2016-03-31,BTPS,IDR,2016,Q1,388025000000,388025000000,69288000000
2016-06-30,BTPS,IDR,2016,Q2,442501000000,442501000000,92857000000
2016-09-30,BTPS,IDR,2016,Q3,479487000000,479487000000,114729000000
2016-12-31,BTPS,IDR,2016,Q4,512495000000,512495000000,135621000000
2017-03-31,BTPS,IDR,2017,Q1,531184000000,531184000000,136153000000
2017-06-30,BTPS,IDR,2017,Q2,560216000000,560216000000,156412000000
2017-09-30,BTPS,IDR,2017,Q3,664622000000,664622000000,176441000000
2017-12-31,BTPS,IDR,2017,Q4,699873000000,699873000000,201176000000
2018-03-31,BTPS,IDR,2018,Q1,699109000000,699109000000,211968000000
2018-06-30,BTPS,IDR,2018,Q2,755264000000,755264000000,236800000000
2018-09-30,BTPS,IDR,2018,Q3,795663000000,795663000000,249626000000
2018-12-31,BTPS,IDR,2018,Q4,835823000000,835823000000,266917000000
2019-03-31,BTPS,IDR,2019,Q1,858914000000,858914000000,288406000000
2019-06-30,BTPS,IDR,2019,Q2,951353000000,951353000000,321368000000
2019-09-30,BTPS,IDR,2019,Q3,1039492000000,1039492000000,366557000000
2019-12-31,BTPS,IDR,2019,Q4,1091456000000,1091456000000,423303000000
2020-03-31,BTPS,IDR,2020,Q1,1051713000000,1051713000000,402297000000
2020-06-30,BTPS,IDR,2020,Q2,627639000000,627639000000,4395000000
2020-09-30,BTPS,IDR,2020,Q3,882912000000,882912000000,99849000000
2020-12-31,BTPS,IDR,2020,Q4,987858000000,987858000000,348073000000
2021-03-31,BTPS,IDR,2021,Q1,1004764000000,1004764000000,375145000000
2021-06-30,BTPS,IDR,2021,Q2,1069293000000,1069293000000,394795000000
2021-09-30,BTPS,IDR,2021,Q3,1049727000000,1049727000000,326346000000
2021-12-31,BTPS,IDR,2021,Q4,1160427000000,1160427000000,368719000000
2022-03-31,BTPS,IDR,2022,Q1,1176163000000,1176163000000,410998000000
2022-06-30,BTPS,IDR,2022,Q2,1229641000000,1229641000000,445289000000
2022-09-30,BTPS,IDR,2022,Q3,1306808000000,1306808000000,471403000000
2022-12-31,BTPS,IDR,2022,Q4,1382384000000,1382384000000,451890000000
2023-03-31,BTPS,IDR,2023,Q1,1274905000000,1274905000000,424722000000
2023-06-30,BTPS,IDR,2023,Q2,1324557000000,1324557000000,327810000000
2023-09-30,BTPS,IDR,2023,Q3,1350025000000,1350025000000,251133000000
2023-12-31,BTPS,IDR,2023,Q4,1315251000000,1315251000000,76834000000
2024-03-31,BTPS,IDR,2024,Q1,1251288000000,1251288000000,263987000000
2024-06-30,BTPS,IDR,2024,Q2,1238554000000,1238554000000,288132000000
2024-09-30,BTPS,IDR,2024,Q3,1200918000000,1200918000000,218443000000
2024-12-31,BTPS,IDR,2024,Q4,1184305000000,1184305000000,290714000000
2025-03-31,BTPS,IDR,2025,Q1,1189124000000,1174130000000,310790000000
2025-06-30,BTPS,IDR,2025,Q2,1198068000000,1184815000000,333043000000
2025-09-30,BTPS,IDR,2025,Q3,1205290000000,972841000000,301833000000
2025-12-31,BTPS,IDR,2025,Q4,1179373000000,955203000000,255565000000
2026-03-31,BTPS,IDR,2026,Q1,1366209000000,543152000000,319433000000
2026-06-30,BTPS,IDR,2026,Q2,1419007000000,568971000000,336005000000
