date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-12-31,BYAN,USD,2010,Q4,0,0,0
2011-03-31,BYAN,USD,2011,Q1,355956996,121509905,73572901
2011-06-30,BYAN,USD,2011,Q2,372573316,106072861,36843222
2011-09-30,BYAN,USD,2011,Q3,335645392,94928380,52992425
2011-12-31,BYAN,USD,2011,Q4,397065117,102445944,43393836
2012-03-31,BYAN,USD,2012,Q1,399229389,88600186,34522759
2012-06-30,BYAN,USD,2012,Q2,387485597,70985906,17508937
2012-09-30,BYAN,USD,2012,Q3,296709299,40776094,8603906
2012-12-31,BYAN,USD,2012,Q4,339455996,58686227,-2395761
2013-03-31,BYAN,USD,2013,Q1,325261588,47578731,5913173
2013-06-30,BYAN,USD,2013,Q2,299286358,45974164,948918
2013-09-30,BYAN,USD,2013,Q3,225431541,4086873,-42480016
2013-12-31,BYAN,USD,2013,Q4,297488441,56918378,-9324142
2014-03-31,BYAN,USD,2014,Q1,239409808,42013639,-995841
2014-06-30,BYAN,USD,2014,Q2,209856901,24944722,-7168559
2014-09-30,BYAN,USD,2014,Q3,207868094,26723965,-15173989
2014-12-31,BYAN,USD,2014,Q4,171125139,3342781,-115038167
2015-03-31,BYAN,USD,2015,Q1,113605981,20267284,-18532510
2015-06-30,BYAN,USD,2015,Q2,125892153,27545795,5193256
2015-09-30,BYAN,USD,2015,Q3,87398548,13823813,-13793009
2015-12-31,BYAN,USD,2015,Q4,143110741,66136425,-37270219
2016-03-31,BYAN,USD,2016,Q1,93923428,25526590,-802304
2016-06-30,BYAN,USD,2016,Q2,127743920,39857901,-16679741
2016-09-30,BYAN,USD,2016,Q3,155060643,65980692,8808756
2016-12-31,BYAN,USD,2016,Q4,178755930,79043301,37428501
2017-03-31,BYAN,USD,2017,Q1,187464826,98720631,52955749
2017-06-30,BYAN,USD,2017,Q2,235607231,115391000,68523831
2017-09-30,BYAN,USD,2017,Q3,294549703,161304013,93954507
2017-12-31,BYAN,USD,2017,Q4,349754277,178164318,104377704
2018-03-31,BYAN,USD,2018,Q1,408000111,207160834,121819292
2018-06-30,BYAN,USD,2018,Q2,429090181,249741777,149962754
2018-09-30,BYAN,USD,2018,Q3,405278386,199002443,116265979
2018-12-31,BYAN,USD,2018,Q4,434348614,191816501,112388528
2019-03-31,BYAN,USD,2019,Q1,365415879,153452118,84233155
2019-06-30,BYAN,USD,2019,Q2,493160204,194494089,94479142
2019-09-30,BYAN,USD,2019,Q3,283368241,88382291,30860427
2019-12-31,BYAN,USD,2019,Q4,249645510,53033041,13821660
2020-03-31,BYAN,USD,2020,Q1,326280419,90331007,35545944
2020-06-30,BYAN,USD,2020,Q2,369442059,100379584,33684407
2020-09-30,BYAN,USD,2020,Q3,307509787,109813117,38997176
2020-12-31,BYAN,USD,2020,Q4,391881003,162342066,220511340
2021-03-31,BYAN,USD,2021,Q1,501039203,283054210,165863908
2021-06-30,BYAN,USD,2021,Q2,522629695,308637475,171184652
2021-09-30,BYAN,USD,2021,Q3,725412980,484755386,313276537
2021-12-31,BYAN,USD,2021,Q4,1103138050,824634711,562438711
2022-03-31,BYAN,USD,2022,Q1,783831612,508337849,368564461
2022-06-30,BYAN,USD,2022,Q2,1221185735,908412167,602194754
2022-09-30,BYAN,USD,2022,Q3,1343134694,970409417,656706950
2022-12-31,BYAN,USD,2022,Q4,1355469997,739471077,551008456
2023-03-31,BYAN,USD,2023,Q1,1049023573,592347457,418914997
2023-06-30,BYAN,USD,2023,Q2,990220905,471134168,304938987
2023-09-30,BYAN,USD,2023,Q3,717870774,260635129,186655271
2023-12-31,BYAN,USD,2023,Q4,824260151,340106509,328073831
2024-03-31,BYAN,USD,2024,Q1,769126484,312155058,210642038
2024-06-30,BYAN,USD,2024,Q2,764857232,270186980,166127838
2024-09-30,BYAN,USD,2024,Q3,935590171,332386601,244038380
2024-12-31,BYAN,USD,2024,Q4,976641067,418056859,301834613
2025-03-31,BYAN,USD,2025,Q1,890149510,315247041,217910269
2025-06-30,BYAN,USD,2025,Q2,731706108,211061006,131338427
2025-09-30,BYAN,USD,2025,Q3,803934029,242259289,169919000
2025-12-31,BYAN,USD,2025,Q4,986850576,332154985,245560323
2026-03-31,BYAN,USD,2026,Q1,821650453,267062153,190790895
2026-06-30,BYAN,USD,2026,Q2,918466700,348521503,219468140
