date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-12-31,CBMF,IDR,2018,Q4,22175219719,5841094052,870089353
2019-03-31,CBMF,IDR,2019,Q1,24877307766,8171456663,2158367575
2019-06-30,CBMF,IDR,2019,Q2,51764717169,21235861079,11232762041
2019-09-30,CBMF,IDR,2019,Q3,35198686135,11962272192,4862971619
2019-12-31,CBMF,IDR,2019,Q4,41496783966,14616305368,8077344231
2020-03-31,CBMF,IDR,2020,Q1,33329787512,10199849641,4943140028
2020-06-30,CBMF,IDR,2020,Q2,16925351454,5881965790,835855847
2020-09-30,CBMF,IDR,2020,Q3,15851893704,7895709384,-65313288
2020-12-31,CBMF,IDR,2020,Q4,13362642564,1052825229,-427530218
2021-03-31,CBMF,IDR,2021,Q1,9156960753,2532859485,409512201
2021-06-30,CBMF,IDR,2021,Q2,6045735643,5716325695,715835555
2021-09-30,CBMF,IDR,2021,Q3,6009341024,3702997950,439410245
2021-12-31,CBMF,IDR,2021,Q4,6012544795,2968713306,-94266919
2022-03-31,CBMF,IDR,2022,Q1,6025864424,3692317868,202157105
2022-06-30,CBMF,IDR,2022,Q2,6028117939,3452837718,191440317
2022-09-30,CBMF,IDR,2022,Q3,6008332775,3354884765,194111960
2022-12-31,CBMF,IDR,2022,Q4,5562451882,76367159,-2175144491
2023-03-31,CBMF,IDR,2023,Q1,1818366344,49545827,-4075835811
2023-09-30,CBMF,IDR,2023,Q3,380115612,-3350083199,-8241644246
