date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-09-30,CMNP,IDR,2010,Q3,0,0,0
2010-12-31,CMNP,IDR,2010,Q4,0,0,0
2011-03-31,CMNP,IDR,2011,Q1,190917993972,129862412939,76877841874
2011-06-30,CMNP,IDR,2011,Q2,194866461526,143418349771,88666801815
2011-09-30,CMNP,IDR,2011,Q3,194679018056,141802808209,75167469970
2011-12-31,CMNP,IDR,2011,Q4,222982017140,137403465116,116332715038
2012-03-31,CMNP,IDR,2012,Q1,218321744110,149596192045,79663629986
2012-06-30,CMNP,IDR,2012,Q2,224902256917,186840753429,134407409071
2012-09-30,CMNP,IDR,2012,Q3,223270528119,167545870041,89645000000
2012-12-31,CMNP,IDR,2012,Q4,236974184536,179783079367,85545695069
2013-03-31,CMNP,IDR,2013,Q1,224415882314,160410285000,109023527052
2013-06-30,CMNP,IDR,2013,Q2,247933641363,175249620928,95440410338
2013-09-30,CMNP,IDR,2013,Q3,228493000000,157567000000,113122000000
2013-12-31,CMNP,IDR,2013,Q4,261721070641,171592529627,89263100690
2014-03-31,CMNP,IDR,2014,Q1,262850169181,180692524261,130432055643
2014-06-30,CMNP,IDR,2014,Q2,292931249070,175528261921,87285760374
2014-09-30,CMNP,IDR,2014,Q3,271248919501,162073141932,116021501164
2014-12-31,CMNP,IDR,2014,Q4,473543120997,184939753791,90310294082
2015-03-31,CMNP,IDR,2015,Q1,427813324427,166268078585,138430589356
2015-06-30,CMNP,IDR,2015,Q2,419974097577,202584536983,147742896228
2015-09-30,CMNP,IDR,2015,Q3,238381244216,163758052273,48839761587
2015-12-31,CMNP,IDR,2015,Q4,437422072795,244277573305,119114321092
2016-03-31,CMNP,IDR,2016,Q1,511304112054,216836263213,148423345808
2016-06-30,CMNP,IDR,2016,Q2,903335332590,221850709971,122654619385
2016-09-30,CMNP,IDR,2016,Q3,665107293615,257480033324,143631943605
2016-12-31,CMNP,IDR,2016,Q4,230292372398,269629974819,75470143908
2017-03-31,CMNP,IDR,2017,Q1,564722311696,222661782721,146349150350
2017-06-30,CMNP,IDR,2017,Q2,554502649232,182031130148,83170930605
2017-09-30,CMNP,IDR,2017,Q3,690150426916,349275069090,219103411498
2017-12-31,CMNP,IDR,2017,Q4,1097287851757,223695691283,234011890416
2018-03-31,CMNP,IDR,2018,Q1,641525291526,260541909025,176561744208
2018-06-30,CMNP,IDR,2018,Q2,804484272083,224440708545,84837096372
2018-09-30,CMNP,IDR,2018,Q3,763887439023,316070500106,248839477062
2018-12-31,CMNP,IDR,2018,Q4,1611225527010,394191386417,245620988400
2019-03-31,CMNP,IDR,2019,Q1,772794214592,324073077781,217118198047
2019-06-30,CMNP,IDR,2019,Q2,787121702022,177571330177,88775101673
2019-09-30,CMNP,IDR,2019,Q3,835806375605,337004831659,206079671978
2019-12-31,CMNP,IDR,2019,Q4,1132191652152,452642966553,246696026274
2020-03-31,CMNP,IDR,2020,Q1,788436339973,276076971679,181482537000
2020-06-30,CMNP,IDR,2020,Q2,425605777027,160228791321,86538363255
2020-09-30,CMNP,IDR,2020,Q3,480801083843,236293453506,117564776850
2020-12-31,CMNP,IDR,2020,Q4,893685211157,238369546494,62543682150
2021-03-31,CMNP,IDR,2021,Q1,493818265000,221455219000,144107114000
2021-06-30,CMNP,IDR,2021,Q2,738973660000,285248746000,184057035000
2021-09-30,CMNP,IDR,2021,Q3,691847867000,345931867000,159610185000
2021-12-31,CMNP,IDR,2021,Q4,2512949627000,274644401000,249813509000
2022-03-31,CMNP,IDR,2022,Q1,1222518784000,306634338000,205566919000
2022-06-30,CMNP,IDR,2022,Q2,511969606000,336436857000,260270760000
2022-09-30,CMNP,IDR,2022,Q3,1453197269000,350104174000,263800186000
2022-12-31,CMNP,IDR,2022,Q4,1275911739000,412352256000,184823780000
2023-03-31,CMNP,IDR,2023,Q1,1600820117000,414812975000,253338898000
2023-06-30,CMNP,IDR,2023,Q2,1558493837000,427796210000,240238094000
2023-09-30,CMNP,IDR,2023,Q3,17832529000,588020499000,430964258000
2023-12-31,CMNP,IDR,2023,Q4,4472565609000,455458672000,98423260000
2024-03-31,CMNP,IDR,2024,Q1,890462799000,456089831000,270094085000
2024-06-30,CMNP,IDR,2024,Q2,795179347000,478910018000,306197153000
2024-09-30,CMNP,IDR,2024,Q3,1038257438000,531479250000,324970337000
2024-12-31,CMNP,IDR,2024,Q4,1384194380000,403549609000,149406725000
2025-03-31,CMNP,IDR,2025,Q1,1080196238000,459354728000,303147906000
2025-06-30,CMNP,IDR,2025,Q2,1111894527000,474354204000,225435344000
2025-09-30,CMNP,IDR,2025,Q3,1212439335000,485460683000,194344725000
2025-12-31,CMNP,IDR,2025,Q4,2398678172000,459936157000,314563266000
2026-03-31,CMNP,IDR,2026,Q1,1017562580000,502731260000,348958065000
