date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-03-31,CMRY,IDR,2020,Q1,367691000000,133925000000,20281000000
2020-06-30,CMRY,IDR,2020,Q2,367691000000,133925000000,20281000000
2020-09-30,CMRY,IDR,2020,Q3,499270000000,206285000000,52511000000
2020-12-31,CMRY,IDR,2020,Q4,627311000000,284886000000,83926000000
2021-03-31,CMRY,IDR,2021,Q1,712596000000,337945000000,142925000000
2021-06-30,CMRY,IDR,2021,Q2,869154000000,419477000000,221558000000
2021-09-30,CMRY,IDR,2021,Q3,1122384000000,553451000000,240989000000
2021-12-31,CMRY,IDR,2021,Q4,1391555000000,662167000000,184723000000
2022-03-31,CMRY,IDR,2022,Q1,1469985000000,650474000000,269811000000
2022-06-30,CMRY,IDR,2022,Q2,1663213000000,705887000000,311303000000
2022-09-30,CMRY,IDR,2022,Q3,1623602000000,664108000000,297455000000
2022-12-31,CMRY,IDR,2022,Q4,1621548000000,648024000000,181964000000
2023-03-31,CMRY,IDR,2023,Q1,1830666000000,731058000000,297179000000
2023-06-30,CMRY,IDR,2023,Q2,1946665000000,811503000000,324826000000
2023-09-30,CMRY,IDR,2023,Q3,1964345000000,832839000000,344595000000
2023-12-31,CMRY,IDR,2023,Q4,2031234000000,847962000000,275115000000
2024-03-31,CMRY,IDR,2024,Q1,2168138000000,959756000000,386331000000
2024-06-30,CMRY,IDR,2024,Q2,2247292000000,993715000000,416060000000
2024-09-30,CMRY,IDR,2024,Q3,2221228000000,998315000000,353435000000
2024-12-31,CMRY,IDR,2024,Q4,2389000000000,1097853000000,363511000000
2025-03-31,CMRY,IDR,2025,Q1,2437143000000,1069743000000,479862000000
2025-06-30,CMRY,IDR,2025,Q2,2711073000000,1228103000000,513946000000
2025-09-30,CMRY,IDR,2025,Q3,2725038000000,1247058000000,607239000000
2025-12-31,CMRY,IDR,2025,Q4,2850749000000,1262748000000,431793000000
2026-03-31,CMRY,IDR,2026,Q1,3116600000000,1328942000000,555002000000
