date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-12-31,COWL,IDR,2011,Q4,61360862840,20932325141,-6671553884
2012-03-31,COWL,IDR,2012,Q1,64271798392,25830927423,9634040778
2012-06-30,COWL,IDR,2012,Q2,83906718374,39315088841,23112200860
2012-09-30,COWL,IDR,2012,Q3,61883468393,28001860462,11026958369
2012-12-31,COWL,IDR,2012,Q4,101417214507,48167727602,25894167456
2013-03-31,COWL,IDR,2013,Q1,69119459171,39372211966,11253265299
2013-06-30,COWL,IDR,2013,Q2,109678148266,64496282228,16033010595
2013-09-30,COWL,IDR,2013,Q3,71317246711,43273597847,7589339443
2013-12-31,COWL,IDR,2013,Q4,80722573248,48815036369,13826804737
2014-03-31,COWL,IDR,2014,Q1,64709780133,40630753252,7766333870
2014-06-30,COWL,IDR,2014,Q2,106531066842,62067839872,5312603257
2014-09-30,COWL,IDR,2014,Q3,133333484973,84160871606,1943486006
2014-12-31,COWL,IDR,2014,Q4,261811369406,146612770172,150368166644
2015-03-31,COWL,IDR,2015,Q1,175358399613,98017406580,-63354508868
2015-06-30,COWL,IDR,2015,Q2,115443565284,67993119072,-56451022002
2015-09-30,COWL,IDR,2015,Q3,113832045041,80375227335,-139904611816
2015-12-31,COWL,IDR,2015,Q4,178695679489,135412535778,80995960953
2016-03-31,COWL,IDR,2016,Q1,135196669939,77310398398,42149074021
2016-06-30,COWL,IDR,2016,Q2,135198135959,90822870283,9311305940
2016-09-30,COWL,IDR,2016,Q3,100233420175,61651111150,-14431498920
2016-12-31,COWL,IDR,2016,Q4,199443829632,120978863398,-60518976258
2017-03-31,COWL,IDR,2017,Q1,128802549308,72366010462,1568243834
2017-06-30,COWL,IDR,2017,Q2,148549500255,94033000632,-89382718
2017-09-30,COWL,IDR,2017,Q3,129812481841,92775258636,-25361808785
2017-12-31,COWL,IDR,2017,Q4,118159986714,75665802554,-45177161654
2018-03-31,COWL,IDR,2018,Q1,125889073497,76392904497,-35954747100
2018-06-30,COWL,IDR,2018,Q2,141768332222,94824476766,-74128463394
2018-09-30,COWL,IDR,2018,Q3,74079668145,52171251157,-95186217873
2018-12-31,COWL,IDR,2018,Q4,76431839299,51162200739,-19283291057
2019-09-30,COWL,IDR,2019,Q3,75797307757,56258142457,-16189144108
2019-12-31,COWL,IDR,2019,Q4,224146518372,-215244176384,-933962847620
