date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,CPRO,IDR,2011,Q1,1736539000000,184349000000,-45528000000
2011-06-30,CPRO,IDR,2011,Q2,1892278000000,166251000000,-156169000000
2011-09-30,CPRO,IDR,2011,Q3,1891232000000,208481000000,-195445000000
2011-12-31,CPRO,IDR,2011,Q4,2009390000000,134597000000,-1638983000000
2012-03-31,CPRO,IDR,2012,Q1,1794636000000,242095000000,-161696000000
2012-06-30,CPRO,IDR,2012,Q2,1735178000000,207026000000,-323857000000
2012-09-30,CPRO,IDR,2012,Q3,1662108000000,265871000000,-4601000000
2012-12-31,CPRO,IDR,2012,Q4,1643891000000,250781000000,54260000000
2013-03-31,CPRO,IDR,2013,Q1,1629924000000,216299000000,-51284000000
2013-06-30,CPRO,IDR,2013,Q2,1851000000000,262941000000,-142021000000
2013-09-30,CPRO,IDR,2013,Q3,2060363000000,334648000000,-552038000000
2013-12-31,CPRO,IDR,2013,Q4,2136536000000,330982000000,1945658000000
2014-03-31,CPRO,IDR,2014,Q1,1966296000000,305663000000,103080000000
2014-06-30,CPRO,IDR,2014,Q2,2219808000000,329697000000,-210747000000
2014-09-30,CPRO,IDR,2014,Q3,2588774000000,406305000000,-92132000000
2014-12-31,CPRO,IDR,2014,Q4,2679783000000,416102000000,-189611000000
2015-03-31,CPRO,IDR,2015,Q1,2271450000000,378469000000,-209239000000
2015-06-30,CPRO,IDR,2015,Q2,2366297000000,401815000000,-98538000000
2015-09-30,CPRO,IDR,2015,Q3,2087779000000,333571000000,-493302000000
2015-12-31,CPRO,IDR,2015,Q4,2249538000000,347373000000,-399304000000
2016-03-31,CPRO,IDR,2016,Q1,2329525000000,333205000000,47843000000
2016-06-30,CPRO,IDR,2016,Q2,2501977000000,465035000000,11852000000
2016-09-30,CPRO,IDR,2016,Q3,1957400000000,289041000000,-1327222000000
2016-12-31,CPRO,IDR,2016,Q4,1808306000000,335673000000,-720357000000
2017-03-31,CPRO,IDR,2017,Q1,1573045000000,264861000000,-113605000000
2017-06-30,CPRO,IDR,2017,Q2,1606692000000,265409000000,-2136188000000
2017-09-30,CPRO,IDR,2017,Q3,1605906000000,293339000000,-85932000000
2017-12-31,CPRO,IDR,2017,Q4,1789927000000,337282000000,-300553000000
2018-03-31,CPRO,IDR,2018,Q1,1873189000000,323267000000,-67721000000
2018-06-30,CPRO,IDR,2018,Q2,2002031000000,324415000000,2006622000000
2018-09-30,CPRO,IDR,2018,Q3,1707924000000,264824000000,-193410000000
2018-12-31,CPRO,IDR,2018,Q4,1807436000000,322126000000,-22909000000
2019-03-31,CPRO,IDR,2019,Q1,1821716000000,308980000000,19734000000
2019-06-30,CPRO,IDR,2019,Q2,1901754000000,344836000000,-342380000000
2019-09-30,CPRO,IDR,2019,Q3,1786674000000,353100000000,22340000000
2019-12-31,CPRO,IDR,2019,Q4,1665620000000,334784000000,-48761000000
2020-03-31,CPRO,IDR,2020,Q1,1809835000000,382597000000,-413475000000
2020-06-30,CPRO,IDR,2020,Q2,1770449000000,286820000000,442089000000
2020-09-30,CPRO,IDR,2020,Q3,2019523000000,326542000000,-97205000000
2020-12-31,CPRO,IDR,2020,Q4,1973699000000,349544000000,449493000000
2021-03-31,CPRO,IDR,2021,Q1,1877971000000,357980000000,-39310000000
2021-06-30,CPRO,IDR,2021,Q2,2079632000000,403721000000,92349000000
2021-09-30,CPRO,IDR,2021,Q3,2042843000000,385836000000,2065224000000
2021-12-31,CPRO,IDR,2021,Q4,2027632000000,347368000000,93437000000
2022-03-31,CPRO,IDR,2022,Q1,1987255000000,397671000000,103698000000
2022-06-30,CPRO,IDR,2022,Q2,2071692000000,433090000000,87381000000
2022-09-30,CPRO,IDR,2022,Q3,2116900000000,431273000000,94400000000
2022-12-31,CPRO,IDR,2022,Q4,2066496000000,382669000000,88189000000
2023-03-31,CPRO,IDR,2023,Q1,2138155000000,384234000000,115181000000
2023-06-30,CPRO,IDR,2023,Q2,2299791000000,430303000000,112187000000
2023-09-30,CPRO,IDR,2023,Q3,2326692000000,456341000000,94064000000
2023-12-31,CPRO,IDR,2023,Q4,2262638000000,401533000000,80036000000
2024-03-31,CPRO,IDR,2024,Q1,2289408000000,404755000000,98885000000
2024-06-30,CPRO,IDR,2024,Q2,2209252000000,411963000000,79338000000
2024-09-30,CPRO,IDR,2024,Q3,2388449000000,497983000000,164262000000
2024-12-31,CPRO,IDR,2024,Q4,2393133000000,502261000000,-22509000000
2025-03-31,CPRO,IDR,2025,Q1,2395307000000,505353000000,159975000000
2025-06-30,CPRO,IDR,2025,Q2,2359685000000,472539000000,133251000000
2025-09-30,CPRO,IDR,2025,Q3,2581315000000,498408000000,133505000000
2025-12-31,CPRO,IDR,2025,Q4,2610815000000,490000000000,-3076000000
2026-03-31,CPRO,IDR,2026,Q1,2469646000000,458327000000,99991000000
2026-06-30,CPRO,IDR,2026,Q2,2591542000000,492199000000,92402000000
