date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,CRAB,IDR,2021,Q1,111414676149,11058272487,1178885382
2021-06-30,CRAB,IDR,2021,Q2,134657681075,9965576385,2128257529
2021-09-30,CRAB,IDR,2021,Q3,212057832646,17191115765,1782993067
2021-12-31,CRAB,IDR,2021,Q4,200636742065,22382821445,2190235512
2022-03-31,CRAB,IDR,2022,Q1,135592898735,17387464787,2926421615
2022-06-30,CRAB,IDR,2022,Q2,187472768114,20862320746,4381235250
2022-09-30,CRAB,IDR,2022,Q3,130813845038,16986109574,3012015911
2022-12-31,CRAB,IDR,2022,Q4,117279701979,9978912052,78058504
2023-03-31,CRAB,IDR,2023,Q1,152893918632,15013716787,3013316435
2023-06-30,CRAB,IDR,2023,Q2,129103610832,10248677582,2645003436
2023-09-30,CRAB,IDR,2023,Q3,152130532108,16320573387,3237496049
2023-12-31,CRAB,IDR,2023,Q4,163988001000,25677488000,8684809000
2024-03-31,CRAB,IDR,2024,Q1,136432403000,11998498000,1620815000
2024-06-30,CRAB,IDR,2024,Q2,145476448000,21037903000,6209151000
2024-09-30,CRAB,IDR,2024,Q3,154729894000,25564114000,5741174000
2024-12-31,CRAB,IDR,2024,Q4,153180899000,29382364000,15443295000
2025-03-31,CRAB,IDR,2025,Q1,169898225327,16529837996,2529707046
2025-06-30,CRAB,IDR,2025,Q2,128394325000,19805035000,5898272000
2025-09-30,CRAB,IDR,2025,Q3,157037295000,14393705000,5836110000
