date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,CSIS,IDR,2016,Q1,1122874126,517348469,-530839655
2016-06-30,CSIS,IDR,2016,Q2,1122874125,517348468,-530839655
2016-12-31,CSIS,IDR,2016,Q4,54681898341,10278062536,2470483738
2017-03-31,CSIS,IDR,2017,Q1,9451487017,875382062,-4094742566
2017-06-30,CSIS,IDR,2017,Q2,18109789935,3560853022,2002864074
2017-09-30,CSIS,IDR,2017,Q3,6810376253,612358197,-3726235140
2017-12-31,CSIS,IDR,2017,Q4,16760500460,8842646493,6527143267
2018-03-31,CSIS,IDR,2018,Q1,1293333355,71455160,-3041772126
2018-06-30,CSIS,IDR,2018,Q2,12454217859,1807019437,-6025987760
2018-09-30,CSIS,IDR,2018,Q3,3507556572,517102707,-5129943822
2018-12-31,CSIS,IDR,2018,Q4,14060339604,2482906966,-15494435919
2019-03-31,CSIS,IDR,2019,Q1,14779128367,1750261814,-3340815236
2019-06-30,CSIS,IDR,2019,Q2,5122821856,-680554713,-3601142366
2019-09-30,CSIS,IDR,2019,Q3,6323213445,543296079,-2643701966
2019-12-31,CSIS,IDR,2019,Q4,41653464374,8978426031,2204021053
2020-03-31,CSIS,IDR,2020,Q1,24581195820,10554610243,3755860506
2020-06-30,CSIS,IDR,2020,Q2,22120898434,5234742390,-2450506817
2020-09-30,CSIS,IDR,2020,Q3,33487236506,14906744878,4744263539
2020-12-31,CSIS,IDR,2020,Q4,5348272534,1849892164,-3042062821
2021-03-31,CSIS,IDR,2021,Q1,30709111877,12665282993,3268349755
2021-06-30,CSIS,IDR,2021,Q2,13316141408,4696244543,283425494
2021-09-30,CSIS,IDR,2021,Q3,12855356587,4146535836,-502926272
2021-12-31,CSIS,IDR,2021,Q4,26640551833,9275653407,6864206035
2022-03-31,CSIS,IDR,2022,Q1,20218292275,8628881736,2396935607
2022-06-30,CSIS,IDR,2022,Q2,10960354926,4643068058,380562944
2022-09-30,CSIS,IDR,2022,Q3,27919529130,10101346370,3999882684
2022-12-31,CSIS,IDR,2022,Q4,21706586600,8626206142,5328737061
2023-03-31,CSIS,IDR,2023,Q1,9387644168,4055573992,1035089704
2023-06-30,CSIS,IDR,2023,Q2,10057170177,3532330970,-345388102
2023-09-30,CSIS,IDR,2023,Q3,11992494861,5094883406,240601818
2023-12-31,CSIS,IDR,2023,Q4,24547828580,7980475736,365296871
2024-03-31,CSIS,IDR,2024,Q1,8537802079,3369883484,-267246271
2024-06-30,CSIS,IDR,2024,Q2,48076276000,25912690000,11012063000
2024-09-30,CSIS,IDR,2024,Q3,9254424859,4238533389,12596608
2024-12-31,CSIS,IDR,2024,Q4,17527277000,9396530000,-4093421000
2025-03-31,CSIS,IDR,2025,Q1,10574819809,5582835509,193125661
2025-06-30,CSIS,IDR,2025,Q2,49938387000,29484374000,12064219000
2025-09-30,CSIS,IDR,2025,Q3,8899487386,3806685711,180364868
2025-12-31,CSIS,IDR,2025,Q4,36094326000,15613227000,4928315000
2026-03-31,CSIS,IDR,2026,Q1,38379987000,30153312000,10925552000
