date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,CTBN,USD,2012,Q3,48607221,16784553,10943821
2012-12-31,CTBN,USD,2012,Q4,68758281,28225242,8311992
2013-03-31,CTBN,USD,2013,Q1,45698308,18074456,9191985
2013-06-30,CTBN,USD,2013,Q2,47171614,15973295,4532500
2013-09-30,CTBN,USD,2013,Q3,62246973,22551372,9870437
2013-12-31,CTBN,USD,2013,Q4,89052966,26232127,14661148
2014-03-31,CTBN,USD,2014,Q1,45775022,16996351,7733957
2014-06-30,CTBN,USD,2014,Q2,32840098,10984300,3444026
2014-09-30,CTBN,USD,2014,Q3,36787168,11812710,4113730
2014-12-31,CTBN,USD,2014,Q4,92040841,19106094,10184095
2015-03-31,CTBN,USD,2015,Q1,32845365,8524210,1879097
2015-06-30,CTBN,USD,2015,Q2,27172136,8590340,2218409
2015-09-30,CTBN,USD,2015,Q3,22255750,1405677,-705039
2015-12-31,CTBN,USD,2015,Q4,31382942,7941679,4737370
2016-03-31,CTBN,USD,2016,Q1,60539684,13448916,7900798
2016-06-30,CTBN,USD,2016,Q2,25148429,6254409,312260
2016-09-30,CTBN,USD,2016,Q3,5257628,-667099,-3404878
2016-12-31,CTBN,USD,2016,Q4,7539330,-794659,-5727006
2017-03-31,CTBN,USD,2017,Q1,7715074,-1165316,-5433168
2017-06-30,CTBN,USD,2017,Q2,12051729,76528,-4936288
2017-09-30,CTBN,USD,2017,Q3,17179680,4062890,-429965
2017-12-31,CTBN,USD,2017,Q4,12734911,-333108,-1289959
2018-03-31,CTBN,USD,2018,Q1,17626680,2299481,-1641557
2018-06-30,CTBN,USD,2018,Q2,19008342,4561004,1817536
2018-09-30,CTBN,USD,2018,Q3,14521709,501050,-9132992
2018-12-31,CTBN,USD,2018,Q4,34436568,5377462,3172594
2019-03-31,CTBN,USD,2019,Q1,32644349,6241300,1251340
2019-06-30,CTBN,USD,2019,Q2,27210824,6201540,988266
2019-09-30,CTBN,USD,2019,Q3,32155008,7204702,1906762
2019-12-31,CTBN,USD,2019,Q4,51548932,6541402,-2493453
2020-03-31,CTBN,USD,2020,Q1,25808201,6682952,1338066
2020-06-30,CTBN,USD,2020,Q2,38398132,6270591,1400287
2020-09-30,CTBN,USD,2020,Q3,31929714,4702314,-1087079
2020-12-31,CTBN,USD,2020,Q4,30058790,2633579,-4715018
2021-03-31,CTBN,USD,2021,Q1,17257092,1848419,-1321616
2021-06-30,CTBN,USD,2021,Q2,28796846,4118917,-939993
2021-09-30,CTBN,USD,2021,Q3,15916655,2047426,-2175874
2021-12-31,CTBN,USD,2021,Q4,31809926,2287392,-11579533
2022-03-31,CTBN,USD,2022,Q1,15291498,1447303,-1602083
2022-06-30,CTBN,USD,2022,Q2,45558311,3889596,139182
2022-09-30,CTBN,USD,2022,Q3,28331737,1047756,-1423200
2022-12-31,CTBN,USD,2022,Q4,40034408,1751178,-3762831
2023-03-31,CTBN,USD,2023,Q1,48294864,8240957,3597173
2023-06-30,CTBN,USD,2023,Q2,38845628,5729856,650264
2023-09-30,CTBN,USD,2023,Q3,62082078,13191950,7359307
2023-12-31,CTBN,USD,2023,Q4,59443189,15653031,7038766
2024-03-31,CTBN,USD,2024,Q1,46470026,9249514,2877472
2024-06-30,CTBN,USD,2024,Q2,68861583,17902257,8229670
2024-09-30,CTBN,USD,2024,Q3,53329519,17150350,7357225
2024-12-31,CTBN,USD,2024,Q4,85256032,18433752,7745175
2025-03-31,CTBN,USD,2025,Q1,96769318,27888148,15611780
2025-06-30,CTBN,USD,2025,Q2,28709083,6813326,807079
2025-09-30,CTBN,USD,2025,Q3,91611000,15230000,4830000
2025-12-31,CTBN,USD,2025,Q4,48140098,7588473,444869
2026-03-31,CTBN,USD,2026,Q1,19224718,3597346,-664362
