date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-03-31,CTRA,IDR,2010,Q1,263012958056,67202784054,33346909176
2010-06-30,CTRA,IDR,2010,Q2,268089675419,57642590625,56725751899
2010-09-30,CTRA,IDR,2010,Q3,242324091166,50989469467,29602641314
2010-12-31,CTRA,IDR,2010,Q4,919260645446,558867326461,269575280535
2011-03-31,CTRA,IDR,2011,Q1,285126547097,81238257794,31773451950
2011-06-30,CTRA,IDR,2011,Q2,452894321135,165805609562,98906441515
2011-09-30,CTRA,IDR,2011,Q3,497105077642,171491927030,99264727661
2011-12-31,CTRA,IDR,2011,Q4,943205057415,624456400756,264045322682
2012-03-31,CTRA,IDR,2012,Q1,551835644072,280022173356,83282371791
2012-06-30,CTRA,IDR,2012,Q2,767010175045,368196406625,91323788164
2012-09-30,CTRA,IDR,2012,Q3,918496147020,453667785685,186762342529
2012-12-31,CTRA,IDR,2012,Q4,1085327157044,564676467226,227731702996
2013-03-31,CTRA,IDR,2013,Q1,1341055911565,640925050251,215899651361
2013-06-30,CTRA,IDR,2013,Q2,1134985246862,571536121621,212531098985
2013-09-30,CTRA,IDR,2013,Q3,1386348487915,636325950853,274531775147
2013-12-31,CTRA,IDR,2013,Q4,1214672418442,697685770797,273752429073
2014-03-31,CTRA,IDR,2014,Q1,1202303514072,637401256566,227656527068
2014-06-30,CTRA,IDR,2014,Q2,1605550704715,826625545614,372910979362
2014-09-30,CTRA,IDR,2014,Q3,1419067026801,728259523695,281681388911
2014-12-31,CTRA,IDR,2014,Q4,2117314656728,1141398108299,442673759326
2015-03-31,CTRA,IDR,2015,Q1,1424132437495,671820650733,227832639378
2015-06-30,CTRA,IDR,2015,Q2,1665812296244,797638040579,250981070227
2015-09-30,CTRA,IDR,2015,Q3,2284183077650,978639683200,456297164252
2015-12-31,CTRA,IDR,2015,Q4,2140158827540,1280610912108,348582461962
2016-03-31,CTRA,IDR,2016,Q1,1304639807190,654089238334,143837832699
2016-06-30,CTRA,IDR,2016,Q2,1574003192810,756370761666,94143167301
2016-09-30,CTRA,IDR,2016,Q3,1540352077067,728127849711,241008987510
2016-12-31,CTRA,IDR,2016,Q4,2320319922933,1151116150289,382771012490
2017-03-31,CTRA,IDR,2017,Q1,1270827000000,603835000000,216423000000
2017-06-30,CTRA,IDR,2017,Q2,1555405000000,799377000000,123121000000
2017-09-30,CTRA,IDR,2017,Q3,1522124000000,678027000000,226703000000
2017-12-31,CTRA,IDR,2017,Q4,2094441000000,938231000000,328107000000
2018-03-31,CTRA,IDR,2018,Q1,1357634000000,629227000000,125252000000
2018-06-30,CTRA,IDR,2018,Q2,1447214000000,696640000000,50950000000
2018-09-30,CTRA,IDR,2018,Q3,1885684000000,963509000000,403612000000
2018-12-31,CTRA,IDR,2018,Q4,2979873000000,1338891000000,605664000000
2019-03-31,CTRA,IDR,2019,Q1,1646732000000,854201000000,283103000000
2019-06-30,CTRA,IDR,2019,Q2,1498686000000,634742000000,13337000000
2019-09-30,CTRA,IDR,2019,Q3,1509975000000,769263000000,112794000000
2019-12-31,CTRA,IDR,2019,Q4,2952844000000,1533536000000,748725000000
2020-03-31,CTRA,IDR,2020,Q1,1509845000000,708324000000,177506000000
2020-06-30,CTRA,IDR,2020,Q2,1294625000000,588507000000,-7998000000
2020-09-30,CTRA,IDR,2020,Q3,1435595000000,617402000000,62673000000
2020-12-31,CTRA,IDR,2020,Q4,3830672000000,2207102000000,1088573000000
2021-03-31,CTRA,IDR,2021,Q1,1850743000000,929808000000,243371000000
2021-06-30,CTRA,IDR,2021,Q2,2169535000000,1031253000000,240100000000
2021-09-30,CTRA,IDR,2021,Q3,2628413000000,1337036000000,531057000000
2021-12-31,CTRA,IDR,2021,Q4,3080960000000,1541721000000,720801000000
2022-03-31,CTRA,IDR,2022,Q1,2234183000000,1091377000000,420742000000
2022-06-30,CTRA,IDR,2022,Q2,2431006000000,1277961000000,584070000000
2022-09-30,CTRA,IDR,2022,Q3,2561731000000,1254893000000,520053000000
2022-12-31,CTRA,IDR,2022,Q4,1899879000000,943350000000,338490000000
2023-03-31,CTRA,IDR,2023,Q1,2130796000000,1033082000000,412861000000
2023-06-30,CTRA,IDR,2023,Q2,2338700000000,1074602000000,366131000000
2023-09-30,CTRA,IDR,2023,Q3,2119647000000,1012871000000,402251000000
2023-12-31,CTRA,IDR,2023,Q4,2622791000000,1366530000000,664844000000
2024-03-31,CTRA,IDR,2024,Q1,2368446000000,1191507000000,483397000000
2024-06-30,CTRA,IDR,2024,Q2,2732456000000,1243245000000,545843000000
2024-09-30,CTRA,IDR,2024,Q3,2080027000000,973689000000,247929000000
2024-12-31,CTRA,IDR,2024,Q4,4070188000000,1840705000000,849119000000
2025-03-31,CTRA,IDR,2025,Q1,2731726000000,1401029000000,660408000000
2025-06-30,CTRA,IDR,2025,Q2,3150144000000,1395424000000,574823000000
2025-09-30,CTRA,IDR,2025,Q3,2530014000000,1111375000000,386699000000
2025-12-31,CTRA,IDR,2025,Q4,4183686000000,1739746000000,1041170000000
2026-03-31,CTRA,IDR,2026,Q1,2557503000000,1190186000000,518309000000
2026-06-30,CTRA,IDR,2026,Q2,2636559000000,1308405000000,578655000000
