date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,DADA,IDR,2019,Q1,142345408,-3658372865,-6356382991
2019-06-30,DADA,IDR,2019,Q2,198545409,-2681736535,-8720453528
2019-09-30,DADA,IDR,2019,Q3,86145408,-4701233269,6481697279
2019-12-31,DADA,IDR,2019,Q4,112055920963,22307148639,13919895104
2020-03-31,DADA,IDR,2020,Q1,7319030373,2618263002,-4577905352
2020-06-30,DADA,IDR,2020,Q2,8030809009,2933179997,191675331
2020-09-30,DADA,IDR,2020,Q3,26154084740,7675523345,-5246960673
2020-12-31,DADA,IDR,2020,Q4,51288499361,29389545407,20797620489
2021-03-31,DADA,IDR,2021,Q1,17970208487,9431960785,3497303937
2021-06-30,DADA,IDR,2021,Q2,7071277424,3719075409,-669017860
2021-09-30,DADA,IDR,2021,Q3,32848467544,7622341212,-220721143
2021-12-31,DADA,IDR,2021,Q4,22579853044,4404366062,2479213781
2022-03-31,DADA,IDR,2022,Q1,15446570583,8752761037,9470544365
2022-06-30,DADA,IDR,2022,Q2,3552606543,3536987633,-3621676674
2022-09-30,DADA,IDR,2022,Q3,3605134075,827254340,-5167249081
2022-12-31,DADA,IDR,2022,Q4,7402859002,4747967087,208231480
2023-03-31,DADA,IDR,2023,Q1,2817001859,988324245,-3647417152
2023-06-30,DADA,IDR,2023,Q2,19783506005,14352012347,4301140292
2023-09-30,DADA,IDR,2023,Q3,60841010,60841010,192718677
2023-12-31,DADA,IDR,2023,Q4,928517393,395962178,403952093
2024-03-31,DADA,IDR,2024,Q1,3435282600,2388791421,243619202
2024-06-30,DADA,IDR,2024,Q2,381143955,288357966,-174465590
2024-09-30,DADA,IDR,2024,Q3,3385324694,1795800055,96602195
2024-12-31,DADA,IDR,2024,Q4,29825194913,17887732365,940228721
2025-03-31,DADA,IDR,2025,Q1,2264843750,1497917406,202067000
2025-06-30,DADA,IDR,2025,Q2,3129894025,1913819065,9943567
2025-09-30,DADA,IDR,2025,Q3,3655849144,2924679315,642995394
2025-12-31,DADA,IDR,2025,Q4,34076327000,16581515000,2648190000
2026-03-31,DADA,IDR,2026,Q1,6764661439,3065216673,2043471931
