date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-12-31,DEWA,USD,2010,Q4,79041000,79041000,124049759000
2011-03-31,DEWA,USD,2011,Q1,69320231,50126441,67655810075
2011-06-30,DEWA,USD,2011,Q2,78304033,97497823,-44902634102
2011-09-30,DEWA,USD,2011,Q3,68370000,68370000,-19186315000
2011-12-31,DEWA,USD,2011,Q4,67372000,67372000,-221070022000
2012-03-31,DEWA,USD,2012,Q1,75673573,41544440,-26830174147
2012-06-30,DEWA,USD,2012,Q2,88669226,122798359,-73800550932
2012-09-30,DEWA,USD,2012,Q3,8975,3101.1,-2984777307
2012-12-31,DEWA,USD,2012,Q4,75733874,-91236372,-292794681236
2013-03-31,DEWA,USD,2013,Q1,575544865660,-317,-51208288486
2013-06-30,DEWA,USD,2013,Q2,59719502,605094387956,-16418364883
2013-09-30,DEWA,USD,2013,Q3,56081628,-11159547,-10395470
2013-12-31,DEWA,USD,2013,Q4,46370851,-9460724,-34504084
2014-03-31,DEWA,USD,2014,Q1,55357112,4463973,-1000854
2014-06-30,DEWA,USD,2014,Q2,61762136,3028496,-1247437
2014-09-30,DEWA,USD,2014,Q3,60984578,3005663,-440937
2014-12-31,DEWA,USD,2014,Q4,56560296,2360882,2856335
2015-03-31,DEWA,USD,2015,Q1,56011348,1347468,-325404
2015-06-30,DEWA,USD,2015,Q2,55643188,2732145,-2411140
2015-09-30,DEWA,USD,2015,Q3,63446359,8697556,2830875
2015-12-31,DEWA,USD,2015,Q4,65023078,11124630,381824
2016-03-31,DEWA,USD,2016,Q1,58959094,5999147,1022480
2016-06-30,DEWA,USD,2016,Q2,63932082,6949792,18543
2016-09-30,DEWA,USD,2016,Q3,64733122,-1123740,-956532
2016-12-31,DEWA,USD,2016,Q4,71471192,4039400,439926
2017-03-31,DEWA,USD,2017,Q1,69852192,5639140,17602
2017-06-30,DEWA,USD,2017,Q2,61273699,3639901,25795
2017-09-30,DEWA,USD,2017,Q3,58790080,1960179,214622
2017-12-31,DEWA,USD,2017,Q4,52874903,23144535,2502389
2018-03-31,DEWA,USD,2018,Q1,57329034,3615031,805568
2018-06-30,DEWA,USD,2018,Q2,58695790,-2694552,-2934523
2018-09-30,DEWA,USD,2018,Q3,72843243,5686410,2955147
2018-12-31,DEWA,USD,2018,Q4,87229032,17204680,1729459
2019-03-31,DEWA,USD,2019,Q1,66119859,3108824,266246
2019-06-30,DEWA,USD,2019,Q2,63456011,5733227,-1844568
2019-09-30,DEWA,USD,2019,Q3,108351336,8477929,2770686
2019-12-31,DEWA,USD,2019,Q4,106720253,3399749,2572710
2020-03-31,DEWA,USD,2020,Q1,81980914,78747,688563
2020-06-30,DEWA,USD,2020,Q2,87130000,843560,38885
2020-09-30,DEWA,USD,2020,Q3,70203385,580607,167807
2020-12-31,DEWA,USD,2020,Q4,63880842,5961232,744730
2021-03-31,DEWA,USD,2021,Q1,73778912,8152761,876338
2021-06-30,DEWA,USD,2021,Q2,79134697,7606053,634322
2021-09-30,DEWA,USD,2021,Q3,83308358,8190076,202996
2021-12-31,DEWA,USD,2021,Q4,86516773,10870610,-627010
2022-03-31,DEWA,USD,2022,Q1,96742078,4522063,-3146278
2022-06-30,DEWA,USD,2022,Q2,95124877,171000,-5001005
2022-09-30,DEWA,USD,2022,Q3,101892207,-2087282,-550483
2022-12-31,DEWA,USD,2022,Q4,111047214,-2015954,-8026880
2023-03-31,DEWA,INR,2023,Q1,9621907034,673977503,43153711
2023-06-30,DEWA,INR,2023,Q2,9852552237,706923998,26513037
2023-09-30,DEWA,INR,2023,Q3,9952856756,288935287,3741533
2023-12-31,DEWA,INR,2023,Q4,10472545146,1058980073,117307554
2024-03-31,DEWA,INR,2024,Q1,7614908772,728242811,41849463
2024-06-30,DEWA,INR,2024,Q2,7458741115,388629601,31779499
2024-09-30,DEWA,INR,2024,Q3,8690582018,429385709,-25959391
2024-12-31,DEWA,INR,2024,Q4,8016000397,552569583,36587750
2025-03-31,DEWA,INR,2025,Q1,8093056979,1260175627,351902859
2025-06-30,DEWA,INR,2025,Q2,8065813511,1215470536,524376826
2025-09-30,DEWA,INR,2025,Q3,8237991507,1051283287,380196245
2025-12-31,DEWA,INR,2025,Q4,9391340000,1520836000,21923988000
2026-03-31,DEWA,IDR,2026,Q1,1549301627000,268761338000,92717138000
2026-06-30,DEWA,IDR,2026,Q2,1656814827000,343398950000,261566260000
