date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,DEWI,IDR,2021,Q1,23328697384,3053353541,2370900764
2021-06-30,DEWI,IDR,2021,Q2,17628552792,4580639683,1699854303
2021-09-30,DEWI,IDR,2021,Q3,14713617777,1510704670,945616276
2021-12-31,DEWI,IDR,2021,Q4,26462392318,3466175299,1398572214
2022-03-31,DEWI,IDR,2022,Q1,23399285941,2729776090,1415737946
2022-06-30,DEWI,IDR,2022,Q2,32184483162,5078521123,3637614746
2022-09-30,DEWI,IDR,2022,Q3,51070286871,4285324164,936342886
2022-12-31,DEWI,IDR,2022,Q4,30682624308,4709903367,1639893086
2023-03-31,DEWI,IDR,2023,Q1,20488572978,3060559030,1242232752
2023-06-30,DEWI,IDR,2023,Q2,10770296609,3337409029,1091359188
2023-09-30,DEWI,IDR,2023,Q3,28934976000,5612663194,4203612535
2023-12-31,DEWI,IDR,2023,Q4,44827979100,2378997762,-391531317
2024-03-31,DEWI,IDR,2024,Q1,10117294590,2061720654,672900394
2024-06-30,DEWI,IDR,2024,Q2,12668482575,2706883495,893251578
2024-09-30,DEWI,IDR,2024,Q3,14589782705,769684298,-54180097
2024-12-31,DEWI,IDR,2024,Q4,40842088000,2282545000,3383078000
2025-03-31,DEWI,IDR,2025,Q1,12068038255,2904318315,1071850000
2025-06-30,DEWI,IDR,2025,Q2,13541340350,2772445215,965181099
2025-09-30,DEWI,IDR,2025,Q3,21087563059,3573183585,1424075024
2025-12-31,DEWI,IDR,2025,Q4,35509706000,6086378000,3621469000
2026-03-31,DEWI,IDR,2026,Q1,24419581959,4422106990,2424480537
