date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,DGIK,IDR,2012,Q3,279411652465,40012345056,19145713167
2012-12-31,DGIK,IDR,2012,Q4,377793643101,36935458679,10238779290
2013-03-31,DGIK,IDR,2013,Q1,314797139162,36764808550,18038876855
2013-06-30,DGIK,IDR,2013,Q2,348254925752,44330287415,19361016299
2013-09-30,DGIK,IDR,2013,Q3,339389731442,46671716952,9152151597
2013-12-31,DGIK,IDR,2013,Q4,450468639448,57837943268,19553790266
2014-03-31,DGIK,IDR,2014,Q1,480924215810,57818360746,10025693623
2014-06-30,DGIK,IDR,2014,Q2,561410406629,65323090902,35130337073
2014-09-30,DGIK,IDR,2014,Q3,487804485752,54572104024,9468025418
2014-12-31,DGIK,IDR,2014,Q4,501808262407,66267040626,6443845641
2015-03-31,DGIK,IDR,2015,Q1,430095186586,48707748219,11069426994
2015-06-30,DGIK,IDR,2015,Q2,402625180273,42047250908,-601609371
2015-09-30,DGIK,IDR,2015,Q3,452591859375,51955781302,1649707407
2015-12-31,DGIK,IDR,2015,Q4,262480193498,26116465582,-7437040996
2016-03-31,DGIK,IDR,2016,Q1,268797818893,30507060676,1061417953
2016-06-30,DGIK,IDR,2016,Q2,274375424127,22611050683,2090647677
2016-09-30,DGIK,IDR,2016,Q3,179608477168,-5519687323,4083623418
2016-12-31,DGIK,IDR,2016,Q4,385782008331,37134808143,-394079803991
2017-03-31,DGIK,IDR,2017,Q1,265941384658,24744744009,6616110543
2017-06-30,DGIK,IDR,2017,Q2,260585105339,9446706368,9130730097
2017-09-30,DGIK,IDR,2017,Q3,458774291407,63840673682,4564325397
2017-12-31,DGIK,IDR,2017,Q4,220933219805,69456250600,-4818241309
2018-03-31,DGIK,IDR,2018,Q1,236170113794,25128938012,3455435340
2018-06-30,DGIK,IDR,2018,Q2,205340565591,17855239039,1028244670
2018-09-30,DGIK,IDR,2018,Q3,218632394332,-2269999627,-82309905909
2018-12-31,DGIK,IDR,2018,Q4,363847470092,34899331040,-68481804799
2019-03-31,DGIK,IDR,2019,Q1,255833241201,12307945302,-13234413178
2019-06-30,DGIK,IDR,2019,Q2,199918365481,7781377845,-11392874837
2019-09-30,DGIK,IDR,2019,Q3,293441280286,33867132702,14460359443
2019-12-31,DGIK,IDR,2019,Q4,172512974692,51590126838,11392938666
2020-03-31,DGIK,IDR,2020,Q1,127904899738,15060995338,-8989885633
2020-06-30,DGIK,IDR,2020,Q2,88426182812,9158251542,-7742977337
2020-09-30,DGIK,IDR,2020,Q3,103521505515,-10505633114,-10499643033
2020-12-31,DGIK,IDR,2020,Q4,159080797793,33566396966,12266415458
2021-03-31,DGIK,IDR,2021,Q1,82477194133,6355168498,1220983143
2021-06-30,DGIK,IDR,2021,Q2,80549562889,7009857204,-1040521027
2021-09-30,DGIK,IDR,2021,Q3,69765365812,5297006768,1353847767
2021-12-31,DGIK,IDR,2021,Q4,133659684302,32245518268,6303209570
2022-03-31,DGIK,IDR,2022,Q1,97555084281,9555366731,-6858812989
2022-06-30,DGIK,IDR,2022,Q2,83539017297,16309054775,-448899797
2022-09-30,DGIK,IDR,2022,Q3,94377913267,15166276826,-2342903436
2022-12-31,DGIK,IDR,2022,Q4,97571752100,16021591365,17906735091
2023-03-31,DGIK,IDR,2023,Q1,88153980251,13168590374,-5225579473
2023-06-30,DGIK,IDR,2023,Q2,84305189916,28671798957,14461235468
2023-09-30,DGIK,IDR,2023,Q3,126081168030,20929543954,8182103389
2023-12-31,DGIK,IDR,2023,Q4,164238037629,19580570188,7736033902
2024-03-31,DGIK,IDR,2024,Q1,102182722682,18445245853,6384026738
2024-06-30,DGIK,IDR,2024,Q2,104826668821,16430119713,4209777268
2024-09-30,DGIK,IDR,2024,Q3,179918783000,22118185000,9254494000
2024-12-31,DGIK,IDR,2024,Q4,257628559000,29051227000,28540795000
2025-03-31,DGIK,IDR,2025,Q1,160377047000,23325973000,8283930000
2025-06-30,DGIK,IDR,2025,Q2,261451267000,35869644000,14335267000
2025-09-30,DGIK,IDR,2025,Q3,205734622000,29374397000,9717406000
2025-12-31,DGIK,IDR,2025,Q4,233508065000,39286647000,21910262000
2026-03-31,DGIK,IDR,2026,Q1,230463891514,29589213755,7398379239
2026-06-30,DGIK,IDR,2026,Q2,249143141808,43485176632,16991867184
