date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-03-31,DIVA,IDR,2018,Q1,196382423578,10623087654,1940351433
2018-06-30,DIVA,IDR,2018,Q2,314966809410,17102646299,2744610089
2018-09-30,DIVA,IDR,2018,Q3,450465219439,16196050425,1487530060
2018-12-31,DIVA,IDR,2018,Q4,525483668932,18998664070,3677284293
2019-03-31,DIVA,IDR,2019,Q1,846106971305,18478976209,20947258946
2019-06-30,DIVA,IDR,2019,Q2,851080722081,28669025641,19105706979
2019-09-30,DIVA,IDR,2019,Q3,1028477999339,31765606994,45646943654
2019-12-31,DIVA,IDR,2019,Q4,824375317342,23757148659,7938886483
2020-03-31,DIVA,IDR,2020,Q1,860715020590,21276935905,7315907161
2020-06-30,DIVA,IDR,2020,Q2,919861310866,27233588488,9599830599
2020-09-30,DIVA,IDR,2020,Q3,702343581914,24339165646,9146435338
2020-12-31,DIVA,IDR,2020,Q4,1204941936672,16585133521,39744271070
2021-03-31,DIVA,IDR,2021,Q1,942690075007,15908647541,184421879716
2021-06-30,DIVA,IDR,2021,Q2,1455199659205,28662367035,497688955599
2021-09-30,DIVA,IDR,2021,Q3,1215768307036,26015551796,567192363437
2021-12-31,DIVA,IDR,2021,Q4,1238459359947,46500717113,10734504792
2022-03-31,DIVA,IDR,2022,Q1,1044432556074,24653092316,74255177474
2022-06-30,DIVA,IDR,2022,Q2,1275476528175,26517077622,17813232151
2022-09-30,DIVA,IDR,2022,Q3,1277807993970,28602376396,-49622360984
2022-12-31,DIVA,IDR,2022,Q4,1270663317116,29670079075,-38391459206
2023-03-31,DIVA,IDR,2023,Q1,958011460634,39572532594,6882351230
2023-06-30,DIVA,IDR,2023,Q2,917668931565,14730646100,-525843523032
2023-09-30,DIVA,IDR,2023,Q3,964038863705,22393924561,-241544936601
2023-12-31,DIVA,IDR,2023,Q4,1013718191669,23533361031,-514822111552
2024-03-31,DIVA,IDR,2024,Q1,1001654380425,29546683382,-168246832996
2024-06-30,DIVA,IDR,2024,Q2,1181887837779,36751610838,-78858331260
2024-09-30,DIVA,IDR,2024,Q3,1024151466000,49832594000,24334831000
2024-12-31,DIVA,IDR,2024,Q4,965767905000,39401707000,-14777557000
2025-03-31,DIVA,IDR,2025,Q1,883340428000,43020237000,20122170000
2025-06-30,DIVA,IDR,2025,Q2,868032448000,39195302000,-3068057000
2025-09-30,DIVA,IDR,2025,Q3,855730363000,37427778000,-809722000
2025-12-31,DIVA,IDR,2025,Q4,897759367000,39294833000,30208147000
2026-03-31,DIVA,IDR,2026,Q1,716469046201,25793611171,-24940622766
2026-06-30,DIVA,IDR,2026,Q2,685540724096,39174876116,-8834064776
