date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,DLTA,IDR,2012,Q3,160536102000,116670300000,44600492000
2012-12-31,DLTA,IDR,2012,Q4,210021545000,148523424000,60881810000
2013-03-31,DLTA,IDR,2013,Q1,214167697000,150011902000,67556960000
2013-06-30,DLTA,IDR,2013,Q2,197561419000,140815918000,59927442000
2013-09-30,DLTA,IDR,2013,Q3,197796735000,138463881000,60695229000
2013-12-31,DLTA,IDR,2013,Q4,257540691000,175972747000,76271031000
2014-03-31,DLTA,IDR,2014,Q1,236943862000,166599498000,79316737000
2014-06-30,DLTA,IDR,2014,Q2,202195360000,143372966000,58190863000
2014-09-30,DLTA,IDR,2014,Q3,174120044000,125335681000,52081818000
2014-12-31,DLTA,IDR,2014,Q4,265994117000,182198103000,92584909000
2015-03-31,DLTA,IDR,2015,Q1,140965806000,94381132000,33025707000
2015-06-30,DLTA,IDR,2015,Q2,153827391000,101601888000,36353086000
2015-09-30,DLTA,IDR,2015,Q3,170751159000,111536065000,50682093000
2015-12-31,DLTA,IDR,2015,Q4,233962463000,158834466000,70417598000
2016-03-31,DLTA,IDR,2016,Q1,197118224000,129209050000,57023242000
2016-06-30,DLTA,IDR,2016,Q2,171430491000,114722417000,49531185000
2016-09-30,DLTA,IDR,2016,Q3,171057163000,124790872000,63445706000
2016-12-31,DLTA,IDR,2016,Q4,235362390000,172159641000,83725303000
2017-03-31,DLTA,IDR,2017,Q1,217787477000,160768712000,77571516000
2017-06-30,DLTA,IDR,2017,Q2,144929919000,104980351000,47365382000
2017-09-30,DLTA,IDR,2017,Q3,183003798000,134199849000,64080921000
2017-12-31,DLTA,IDR,2017,Q4,231587134000,174322449000,90727473000
2018-03-31,DLTA,IDR,2018,Q1,224504067000,164649783000,86822839000
2018-06-30,DLTA,IDR,2018,Q2,164990581000,115469306000,55832106000
2018-09-30,DLTA,IDR,2018,Q3,238290891000,174431094000,90234930000
2018-12-31,DLTA,IDR,2018,Q4,265220811000,196735056000,105176876000
2019-03-31,DLTA,IDR,2019,Q1,226760593000,161084534000,85662866000
2019-06-30,DLTA,IDR,2019,Q2,161798907000,112911722000,55888488000
2019-09-30,DLTA,IDR,2019,Q3,217016833000,158766495000,79371212000
2019-12-31,DLTA,IDR,2019,Q4,221560394000,163933279000,96977238000
2020-03-31,DLTA,IDR,2020,Q1,153058100000,105972974000,42427300000
2020-06-30,DLTA,IDR,2020,Q2,49983406000,28113158000,-7715815000
2020-09-30,DLTA,IDR,2020,Q3,146028787000,101619541000,35969492000
2020-12-31,DLTA,IDR,2020,Q4,197266118000,131473835000,53357418000
2021-03-31,DLTA,IDR,2021,Q1,175187394000,121576904000,56671136000
2021-06-30,DLTA,IDR,2021,Q2,134853206000,94319733000,37387952000
2021-09-30,DLTA,IDR,2021,Q3,172813680000,122436380000,47508222000
2021-12-31,DLTA,IDR,2021,Q4,198351505000,138257918000,46482320000
2022-03-31,DLTA,IDR,2022,Q1,198820034000,140840196000,61692295000
2022-06-30,DLTA,IDR,2022,Q2,185702780000,129657569000,56699122000
2022-09-30,DLTA,IDR,2022,Q3,203051187000,141035229000,63368263000
2022-12-31,DLTA,IDR,2022,Q4,191170314000,131447793000,48449981000
2023-03-31,DLTA,IDR,2023,Q1,196457283000,132397625000,58856993000
2023-06-30,DLTA,IDR,2023,Q2,165049959000,118255406000,48182171000
2023-09-30,DLTA,IDR,2023,Q3,181405365000,131236192000,49811016000
2023-12-31,DLTA,IDR,2023,Q4,193926006000,130090742000,42243908000
2024-03-31,DLTA,IDR,2024,Q1,171010227000,118922094000,43071756000
2024-06-30,DLTA,IDR,2024,Q2,145276356000,94047283000,30172395000
2024-09-30,DLTA,IDR,2024,Q3,166414111000,116666114000,28522353000
2024-12-31,DLTA,IDR,2024,Q4,164062882000,118546310000,40508265000
2025-03-31,DLTA,IDR,2025,Q1,156198745000,106421450000,32960101000
2025-06-30,DLTA,IDR,2025,Q2,154360104000,108209999000,33944169000
2025-09-30,DLTA,IDR,2025,Q3,173633812000,121016291000,34329516000
2025-12-31,DLTA,IDR,2025,Q4,190335153000,122840998000,48681741000
2026-03-31,DLTA,IDR,2026,Q1,168963106000,118406527000,35022026000
