date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,DMAS,IDR,2013,Q1,182019000000,108974000000,103542000000
2014-03-31,DMAS,IDR,2014,Q1,611628482570,441684830015,398758121389
2014-06-30,DMAS,IDR,2014,Q2,611628482570,441684830015,398758121389
2014-09-30,DMAS,IDR,2014,Q3,79593360903,27597296956,21114577958
2014-12-31,DMAS,IDR,2014,Q4,235403359948,164726832990,145482068262
2015-03-31,DMAS,IDR,2015,Q1,739530663993,472327318661,493779307865
2015-06-30,DMAS,IDR,2015,Q2,539406281560,336325828000,278409925615
2015-09-30,DMAS,IDR,2015,Q3,425404980240,306992310540,451290661514
2015-12-31,DMAS,IDR,2015,Q4,581511891485,333404356075,144448559829
2016-03-31,DMAS,IDR,2016,Q1,588390926984,337990976478,271422716325
2016-06-30,DMAS,IDR,2016,Q2,388193317355,249709708279,214747096039
2016-09-30,DMAS,IDR,2016,Q3,35781401241,26674513222,8311879233
2016-12-31,DMAS,IDR,2016,Q4,581428037386,281476833549,262756530085
2017-03-31,DMAS,IDR,2017,Q1,222307696214,152381032338,123226726158
2017-06-30,DMAS,IDR,2017,Q2,10176430958,9248730880,-2329918978
2017-09-30,DMAS,IDR,2017,Q3,261202967451,151021579566,133519207589
2017-12-31,DMAS,IDR,2017,Q4,842703586061,502201195371,402302009857
2018-03-31,DMAS,IDR,2018,Q1,12241278277,10543431900,2853154340
2018-06-30,DMAS,IDR,2018,Q2,234522118085,122912169546,90931395103
2018-09-30,DMAS,IDR,2018,Q3,149327737341,107294167868,80831424971
2018-12-31,DMAS,IDR,2018,Q4,640138388091,340070304937,321634229679
2019-03-31,DMAS,IDR,2019,Q1,6369178799,4011606146,8185775157
2019-06-30,DMAS,IDR,2019,Q2,978815330946,652110419581,617571363494
2019-09-30,DMAS,IDR,2019,Q3,284625402534,169142360991,133346884275
2019-12-31,DMAS,IDR,2019,Q4,1380445241098,657836269107,575831768847
2020-03-31,DMAS,IDR,2020,Q1,107639757469,73059882330,53369876015
2020-06-30,DMAS,IDR,2020,Q2,144950439148,95842067949,25569584446
2020-09-30,DMAS,IDR,2020,Q3,402402972516,258078003955,223506999671
2020-12-31,DMAS,IDR,2020,Q4,1974307131056,1188230403845,1045204016161
2021-03-31,DMAS,IDR,2021,Q1,533604763462,306091991229,270734170951
2021-06-30,DMAS,IDR,2021,Q2,46184683114,28613388079,17843759285
2021-09-30,DMAS,IDR,2021,Q3,727425022980,404961042361,346063901096
2021-12-31,DMAS,IDR,2021,Q4,133522349960,106867487298,80098693983
2022-03-31,DMAS,IDR,2022,Q1,620680272545,446636656026,389170172978
2022-06-30,DMAS,IDR,2022,Q2,446388330918,308390399087,270871577102
2022-09-30,DMAS,IDR,2022,Q3,189151325549,126852749478,107547065842
2022-12-31,DMAS,IDR,2022,Q4,676205834127,493265108682,449703567318
2023-03-31,DMAS,IDR,2023,Q1,223623427319,155734557857,155444040184
2023-06-30,DMAS,IDR,2023,Q2,745024853814,510933708570,444443882355
2023-09-30,DMAS,IDR,2023,Q3,14953768271,10657441082,8215350391
2023-12-31,DMAS,IDR,2023,Q4,937819625842,648492308430,601694313428
2024-03-31,DMAS,IDR,2024,Q1,549052319469,373161856317,366122546361
2024-06-30,DMAS,IDR,2024,Q2,655444896703,464562534038,437155730413
2024-09-30,DMAS,IDR,2024,Q3,485255477000,340083192000,319888918000
2024-12-31,DMAS,IDR,2024,Q4,342925190000,234512939000,210490291000
2025-03-31,DMAS,IDR,2025,Q1,507885096000,362350237000,355452714000
2025-06-30,DMAS,IDR,2025,Q2,105472692000,67296556000,77563373000
2025-09-30,DMAS,IDR,2025,Q3,166225071000,104292709000,92125397000
2025-12-31,DMAS,IDR,2025,Q4,529508076000,312278510000,275166938000
2026-03-31,DMAS,IDR,2026,Q1,1053230360920,864924549491,818266564302
2026-06-30,DMAS,IDR,2026,Q2,750216406794,412083868984,373986015787
