date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,DMMX,IDR,2019,Q1,14726035711,4614537220,1486457292
2019-06-30,DMMX,IDR,2019,Q2,29057996578,5962857402,1715224430
2019-09-30,DMMX,IDR,2019,Q3,50074563367,7712847936,4142814830
2019-12-31,DMMX,IDR,2019,Q4,117143147583,7447471253,9219113097
2020-03-31,DMMX,IDR,2020,Q1,85237480179,10969811100,8810178220
2020-06-30,DMMX,IDR,2020,Q2,134827722677,12569465638,9244388433
2020-09-30,DMMX,IDR,2020,Q3,127561503932,12637657074,6748610892
2020-12-31,DMMX,IDR,2020,Q4,169571290951,11922492436,7115413732
2021-03-31,DMMX,IDR,2021,Q1,180679847154,13591635138,10264835063
2021-06-30,DMMX,IDR,2021,Q2,182896664353,14847922593,105544615105
2021-09-30,DMMX,IDR,2021,Q3,352275904937,15048920075,110379007000
2021-12-31,DMMX,IDR,2021,Q4,434588796488,24092897992,13167162808
2022-03-31,DMMX,IDR,2022,Q1,559589743084,21954014194,6612456357
2022-06-30,DMMX,IDR,2022,Q2,364708379121,17042305915,3512634972
2022-09-30,DMMX,IDR,2022,Q3,403136161000,17874163913,1531637267
2022-12-31,DMMX,IDR,2022,Q4,610719153005,14614052958,-7539907589
2023-03-31,DMMX,IDR,2023,Q1,532559247733,19615842441,10012470172
2023-06-30,DMMX,IDR,2023,Q2,521368850710,22105152070,994819119
2023-09-30,DMMX,IDR,2023,Q3,481743330298,21702922906,-87715544700
2023-12-31,DMMX,IDR,2023,Q4,409384301972,14300874637,-187061534153
2024-03-31,DMMX,IDR,2024,Q1,336337933562,18683242026,-35428770808
2024-06-30,DMMX,IDR,2024,Q2,325110424842,15917432492,-24989017925
2024-09-30,DMMX,IDR,2024,Q3,251020939000,19263339000,14020885000
2024-12-31,DMMX,IDR,2024,Q4,263600528000,22261632000,-5004022000
2025-03-31,DMMX,IDR,2025,Q1,190753362000,24831514000,9674329000
2025-06-30,DMMX,IDR,2025,Q2,155001606000,21822303000,8518767000
2025-09-30,DMMX,IDR,2025,Q3,146256772000,20152427000,10465096000
2025-12-31,DMMX,IDR,2025,Q4,201796741000,42689643000,40414876000
2026-03-31,DMMX,IDR,2026,Q1,75158987000,24298311000,624087000
