date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,DPNS,IDR,2012,Q4,36834531437,9734933929,11024925906
2013-03-31,DPNS,IDR,2013,Q1,29280648393,5999595560,17297069678
2013-06-30,DPNS,IDR,2013,Q2,33498108895,6204620283,2189053790
2013-09-30,DPNS,IDR,2013,Q3,34632192220,7491348086,4227387915
2013-12-31,DPNS,IDR,2013,Q4,33922246679,7774257247,34173027808
2014-03-31,DPNS,IDR,2014,Q1,29733233223,9421621176,3804649206
2014-06-30,DPNS,IDR,2014,Q2,39025999519,8640568607,5144612164
2014-09-30,DPNS,IDR,2014,Q3,30749275519,7257104586,3652892116
2014-12-31,DPNS,IDR,2014,Q4,33267416976,8268549849,2833634269
2015-03-31,DPNS,IDR,2015,Q1,37182659739,10634971916,7097708675
2015-06-30,DPNS,IDR,2015,Q2,27972661431,5844331150,2144268533
2015-09-30,DPNS,IDR,2015,Q3,28264467250,6523881753,3702590446
2015-12-31,DPNS,IDR,2015,Q4,25055530700,3578658194,-1984304329
2016-03-31,DPNS,IDR,2016,Q1,34887626500,9836579113,3725490913
2016-06-30,DPNS,IDR,2016,Q2,28128849450,5656585254,2395728048
2016-09-30,DPNS,IDR,2016,Q3,29262667200,7458857955,2518878031
2016-12-31,DPNS,IDR,2016,Q4,23661567900,6212334379,2645660175
2017-03-31,DPNS,IDR,2017,Q1,26296290650,6270449583,572758344
2017-06-30,DPNS,IDR,2017,Q2,25541120600,4742079751,1671928125
2017-09-30,DPNS,IDR,2017,Q3,29690186205,6587150572,2554965707
2017-12-31,DPNS,IDR,2017,Q4,29767252300,6850566232,2257789507
2018-03-31,DPNS,IDR,2018,Q1,32312300550,8347230806,2689349745
2018-06-30,DPNS,IDR,2018,Q2,33800995000,6190490450,2454503085
2018-09-30,DPNS,IDR,2018,Q3,42601818900,8176175085,4223854674
2018-12-31,DPNS,IDR,2018,Q4,34666967400,5726280290,1048793672
2019-03-31,DPNS,IDR,2019,Q1,37949389300,9569991013,2873928110
2019-06-30,DPNS,IDR,2019,Q2,27324959000,5414195450,3165871
2019-09-30,DPNS,IDR,2019,Q3,25932787900,5011465760,-110979249
2019-12-31,DPNS,IDR,2019,Q4,27710267600,5876066451,2396473841
2020-03-31,DPNS,IDR,2020,Q1,25560002500,5218720620,2522882431
2020-06-30,DPNS,IDR,2020,Q2,23411873300,5193424401,-1421000064
2020-09-30,DPNS,IDR,2020,Q3,22546781250,4862970760,2890714956
2020-12-31,DPNS,IDR,2020,Q4,25126253593,4999128504,-177418769
2021-03-31,DPNS,IDR,2021,Q1,24505316336,7200282536,3467002653
2021-06-30,DPNS,IDR,2021,Q2,35977694367,13750517536,8344287539
2021-09-30,DPNS,IDR,2021,Q3,43689885894,13378405815,6807405134
2021-12-31,DPNS,IDR,2021,Q4,43037553034,11381476218,5261845455
2022-03-31,DPNS,IDR,2022,Q1,46564977438,12882431060,6066275496
2022-06-30,DPNS,IDR,2022,Q2,51924286596,15173354489,8541075156
2022-09-30,DPNS,IDR,2022,Q3,62443604105,18491875122,10731569753
2022-12-31,DPNS,IDR,2022,Q4,39979717868,9739954252,3277265945
2023-03-31,DPNS,IDR,2023,Q1,39664425373,13096107976,4913881565
2023-06-30,DPNS,IDR,2023,Q2,22515828854,3237359136,1962528598
2023-09-30,DPNS,IDR,2023,Q3,25749704524,8454752460,6177021559
2023-12-31,DPNS,IDR,2023,Q4,28270577000,9393383000,4114207000
2024-03-31,DPNS,IDR,2024,Q1,17842665000,4472935000,2666125000
2024-06-30,DPNS,IDR,2024,Q2,17225025279,4253951157,4324060906
2024-09-30,DPNS,IDR,2024,Q3,23931827698,7608521662,507101436
2024-12-31,DPNS,IDR,2024,Q4,20446104000,5288549000,6817282000
2025-03-31,DPNS,IDR,2025,Q1,6864058000,839663000,2359674000
2025-06-30,DPNS,IDR,2025,Q2,865398100,-733705365,-2075930034
2025-09-30,DPNS,IDR,2025,Q3,1726601000,208326000,1213496000
2025-12-31,DPNS,IDR,2025,Q4,3439661711,-1645069791,-902046611
