date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,ECII,IDR,2012,Q3,391466543598,51545187963,15405312143
2012-12-31,ECII,IDR,2012,Q4,453914896578,114789975154,62116507536
2013-03-31,ECII,IDR,2013,Q1,384405156509,71905734403,30174950195
2013-06-30,ECII,IDR,2013,Q2,491087344620,98676790219,47358614532
2013-09-30,ECII,IDR,2013,Q3,481753000076,90399899984,18052578265
2013-12-31,ECII,IDR,2013,Q4,655364969745,144728336334,111194087315
2014-03-31,ECII,IDR,2014,Q1,461289164314,87879998568,26033077332
2014-06-30,ECII,IDR,2014,Q2,545527211984,108895532465,34336909641
2014-09-30,ECII,IDR,2014,Q3,514261526902,96954548865,33108229046
2014-12-31,ECII,IDR,2014,Q4,705691696721,134902330190,35992013036
2015-03-31,ECII,IDR,2015,Q1,486215547156,92466691310,18674343767
2015-06-30,ECII,IDR,2015,Q2,424098717085,82149286133,8361311000
2015-09-30,ECII,IDR,2015,Q3,331345908794,53849494395,-17978861505
2015-12-31,ECII,IDR,2015,Q4,538942122102,104407240628,23991741739
2016-03-31,ECII,IDR,2016,Q1,403336494224,61510003016,-6679919811
2016-06-30,ECII,IDR,2016,Q2,387502403732,63452079381,-3454276298
2016-09-30,ECII,IDR,2016,Q3,404595423364,57296470865,-4283684226
2016-12-31,ECII,IDR,2016,Q4,464415262492,66725900154,-17850198982
2017-03-31,ECII,IDR,2017,Q1,413868032799,61575615953,-4278690329
2017-06-30,ECII,IDR,2017,Q2,449224475315,59288357165,-7628224183
2017-09-30,ECII,IDR,2017,Q3,433925065254,66612636368,-2112175008
2017-12-31,ECII,IDR,2017,Q4,521453636542,82027853062,4219622958
2018-03-31,ECII,IDR,2018,Q1,445839038104,62601483864,3606053399
2018-06-30,ECII,IDR,2018,Q2,535446157831,70506063540,4488814958
2018-09-30,ECII,IDR,2018,Q3,472612251585,69007513017,5423386416
2018-12-31,ECII,IDR,2018,Q4,549311058912,82834589319,8312209618
2019-03-31,ECII,IDR,2019,Q1,507133572683,76403459628,5231758584
2019-06-30,ECII,IDR,2019,Q2,565680404491,82538370747,7437797625
2019-09-30,ECII,IDR,2019,Q3,490788792525,86664721048,13843253951
2019-12-31,ECII,IDR,2019,Q4,415029198009,101084199895,6759223742
2020-03-31,ECII,IDR,2020,Q1,389712530684,68775255919,-4173929425
2020-06-30,ECII,IDR,2020,Q2,301254063456,54323868047,-24361351374
2020-09-30,ECII,IDR,2020,Q3,406316116552,74140244666,4164872490
2020-12-31,ECII,IDR,2020,Q4,521207794707,80812916414,3865461680
2021-03-31,ECII,IDR,2021,Q1,461466998531,83758172772,6999610032
2021-06-30,ECII,IDR,2021,Q2,505272778539,83595932233,7065551205
2021-09-30,ECII,IDR,2021,Q3,307862231048,50137772136,-22325211495
2021-12-31,ECII,IDR,2021,Q4,536756504851,85390757224,16988127325
2022-03-31,ECII,IDR,2022,Q1,520268523063,86676498815,4240059256
2022-06-30,ECII,IDR,2022,Q2,508971882089,100115286971,5979013256
2022-09-30,ECII,IDR,2022,Q3,515970271551,87598201066,-9752815272
2022-12-31,ECII,IDR,2022,Q4,647106360269,115478609078,11060964120
2023-03-31,ECII,IDR,2023,Q1,611426264728,110988866716,9994395504
2023-06-30,ECII,IDR,2023,Q2,608048601159,95965933892,-3450367204
2023-09-30,ECII,IDR,2023,Q3,560781583675,90714278731,-2281337526
2023-12-31,ECII,IDR,2023,Q4,689021065000,103409127000,8798960000
2024-03-31,ECII,IDR,2024,Q1,609684164000,96565531000,2125453000
2024-06-30,ECII,IDR,2024,Q2,618820018000,89745918000,-5052658000
2024-09-30,ECII,IDR,2024,Q3,523152063000,98281338000,-12372893000
2024-12-31,ECII,IDR,2024,Q4,677467388000,121172151000,23794807000
2025-03-31,ECII,IDR,2025,Q1,585078219000,98856576000,-5205989000
2025-06-30,ECII,IDR,2025,Q2,551990107000,85350576000,-14700300000
2025-09-30,ECII,IDR,2025,Q3,526639611000,61133870000,-28757347000
2025-12-31,ECII,IDR,2025,Q4,524634439000,-17247017000,-101544207000
2026-03-31,ECII,IDR,2026,Q1,600290961136,99822310919,195088266
2026-06-30,ECII,IDR,2026,Q2,541350076796,83547235656,-9917312870
