date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-03-31,EDGE,IDR,2020,Q1,122424299038,45429627626,30869962634
2020-06-30,EDGE,IDR,2020,Q2,103786688283,33919635051,21978224698
2020-09-30,EDGE,IDR,2020,Q3,105694804492,36434995116,20996828957
2020-12-31,EDGE,IDR,2020,Q4,143767208187,60768742207,47931983711
2021-03-31,EDGE,IDR,2021,Q1,126440221235,33639636463,21831000000
2021-06-30,EDGE,IDR,2021,Q2,163914592284,53840932283,32029789697
2021-09-30,EDGE,IDR,2021,Q3,160538957271,52109838941,31858021748
2021-12-31,EDGE,IDR,2021,Q4,169048229210,61951592313,36325022573
2022-03-31,EDGE,IDR,2022,Q1,180362000000,53776000000,34219000000
2022-06-30,EDGE,IDR,2022,Q2,202239000000,59700000000,34931000000
2022-09-30,EDGE,IDR,2022,Q3,226564000000,78540000000,50372000000
2022-12-31,EDGE,IDR,2022,Q4,213057000000,122244000000,66532000000
2023-03-31,EDGE,IDR,2023,Q1,225447000000,96660000000,57412000000
2023-06-30,EDGE,IDR,2023,Q2,233846000000,99455000000,61018000000
2023-09-30,EDGE,IDR,2023,Q3,239179000000,103526000000,60117000000
2023-12-31,EDGE,IDR,2023,Q4,251937000000,124399000000,74553000000
2024-03-31,EDGE,IDR,2024,Q1,250972000000,112995000000,68025000000
2024-06-30,EDGE,IDR,2024,Q2,259631000000,116709000000,68781000000
2024-09-30,EDGE,IDR,2024,Q3,259173000000,87218000000,39074000000
2024-12-31,EDGE,IDR,2024,Q4,247050000000,105220000000,56199000000
2025-03-31,EDGE,IDR,2025,Q1,185179000000,89882000000,35604000000
2025-06-30,EDGE,IDR,2025,Q2,189884000000,83259000000,18873000000
2025-09-30,EDGE,IDR,2025,Q3,220050000000,103838000000,26838000000
2025-12-31,EDGE,IDR,2025,Q4,247004000000,122373000000,39549000000
2026-03-31,EDGE,IDR,2026,Q1,243024000000,117204000000,34404000000
2026-06-30,EDGE,IDR,2026,Q2,248820000000,119990000000,-40075000000
