date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-03-31,ELIT,IDR,2022,Q1,34133016625,9172902440,2913181760
2022-06-30,ELIT,IDR,2022,Q2,37124192257,10452019239,1382294392
2022-09-30,ELIT,IDR,2022,Q3,46205072190,8838061098,-523806702
2023-03-31,ELIT,IDR,2023,Q1,65241753694,19356312053,3851974746
2023-06-30,ELIT,IDR,2023,Q2,80163396234,15046452489,3275908031
2023-09-30,ELIT,IDR,2023,Q3,83832941200,12514279635,1021395497
2023-12-31,ELIT,IDR,2023,Q4,90345101000,17064175000,8894618000
2024-03-31,ELIT,IDR,2024,Q1,105473867000,23067820000,8637334000
2024-06-30,ELIT,IDR,2024,Q2,115404903000,27962609000,5865928000
2024-09-30,ELIT,IDR,2024,Q3,117817115000,21649318000,7691062000
2024-12-31,ELIT,IDR,2024,Q4,139621024000,20513260000,3683266000
2025-03-31,ELIT,IDR,2025,Q1,135741203000,26280283000,7292036000
2025-06-30,ELIT,IDR,2025,Q2,113491833000,30060468000,10373209000
2025-09-30,ELIT,IDR,2025,Q3,103452209000,26426529000,8339898000
2025-12-31,ELIT,IDR,2025,Q4,110172685000,19271210000,7710637000
2026-03-31,ELIT,IDR,2026,Q1,84985278882,26158166638,8032346619
2026-06-30,ELIT,IDR,2026,Q2,92135007319,34131675050,9651960180
