date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,ELPI,IDR,2021,Q1,124356000000,37830000000,30639000000
2021-12-31,ELPI,IDR,2021,Q4,123882722050,15247052716,-6295750477
2022-03-31,ELPI,IDR,2022,Q1,126398000000,36363000000,26617000000
2022-06-30,ELPI,IDR,2022,Q2,154107000000,45102000000,27192000000
2022-09-30,ELPI,IDR,2022,Q3,176886000000,50113000000,29184000000
2022-12-31,ELPI,IDR,2022,Q4,175440000000,39282000000,20081000000
2023-03-31,ELPI,IDR,2023,Q1,212552000000,54062000000,42375000000
2023-06-30,ELPI,IDR,2023,Q2,212615000000,28794000000,12085000000
2023-09-30,ELPI,IDR,2023,Q3,380884000000,107053000000,92092000000
2023-12-31,ELPI,IDR,2023,Q4,272591000000,47699000000,9302000000
2024-03-31,ELPI,IDR,2024,Q1,300629000000,89065000000,66418000000
2024-06-30,ELPI,IDR,2024,Q2,284648000000,38958000000,28914000000
2024-09-30,ELPI,IDR,2024,Q3,308557000000,69408000000,83854000000
2024-12-31,ELPI,IDR,2024,Q4,311385000000,117588000000,73187000000
2025-03-31,ELPI,IDR,2025,Q1,212601000000,46046000000,45985000000
2025-06-30,ELPI,IDR,2025,Q2,331056000000,94603000000,90621000000
2025-09-30,ELPI,IDR,2025,Q3,217294000000,51439000000,52580000000
2025-12-31,ELPI,IDR,2025,Q4,252799000000,50342000000,24118000000
2026-03-31,ELPI,IDR,2026,Q1,196049000000,39976000000,23738000000
