date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,EMDE,IDR,2011,Q1,11409543242,8540544386,-2834278571
2011-06-30,EMDE,IDR,2011,Q2,42945773847,22587937672,7386670127
2011-09-30,EMDE,IDR,2011,Q3,11862852366,7340491331,-8185292376
2011-12-31,EMDE,IDR,2011,Q4,33367260374,20197235023,6395907876
2012-03-31,EMDE,IDR,2012,Q1,14148644220,10658107829,89234116
2012-06-30,EMDE,IDR,2012,Q2,29269842778,18768952644,4353458225
2012-09-30,EMDE,IDR,2012,Q3,22827675016,13685032595,251617154
2012-12-31,EMDE,IDR,2012,Q4,42775887492,20444592399,-1376519036
2013-03-31,EMDE,IDR,2013,Q1,22862890245,14098271616,1610809658
2013-06-30,EMDE,IDR,2013,Q2,45303639617,25178013069,9233194494
2013-09-30,EMDE,IDR,2013,Q3,46648885560,15054800518,636087094
2013-12-31,EMDE,IDR,2013,Q4,110319230078,60924953963,22205682559
2014-03-31,EMDE,IDR,2014,Q1,91653674741,49189016780,23469626787
2014-06-30,EMDE,IDR,2014,Q2,61583871080,34337174887,4498791503
2014-09-30,EMDE,IDR,2014,Q3,53562308426,27232921731,632854302
2014-12-31,EMDE,IDR,2014,Q4,104479922249,59494010084,16200639021
2015-03-31,EMDE,IDR,2015,Q1,102106515808,58855989175,26306809893
2015-06-30,EMDE,IDR,2015,Q2,66881934252,39724369556,7988057089
2015-09-30,EMDE,IDR,2015,Q3,56490665173,28765971978,-1856625615
2015-12-31,EMDE,IDR,2015,Q4,99834571221,71623395159,27422546704
2016-03-31,EMDE,IDR,2016,Q1,70132112562,45348693124,14966192317
2016-06-30,EMDE,IDR,2016,Q2,62260065824,39272540914,11282604132
2016-09-30,EMDE,IDR,2016,Q3,58947630590,31591335506,6081933366
2016-12-31,EMDE,IDR,2016,Q4,139105116731,76523209318,33046880946
2017-03-31,EMDE,IDR,2017,Q1,79962344975,47006175570,15898544057
2017-06-30,EMDE,IDR,2017,Q2,68396440040,41778933471,11879693094
2017-09-30,EMDE,IDR,2017,Q3,65272863911,36193690144,4957110534
2017-12-31,EMDE,IDR,2017,Q4,183053261004,145180607872,72548394245
2018-03-31,EMDE,IDR,2018,Q1,62371987823,37082466094,13506134065
2018-06-30,EMDE,IDR,2018,Q2,88017482018,38479108552,5911305341
2018-09-30,EMDE,IDR,2018,Q3,32264597805,13992519922,-14700476463
2018-12-31,EMDE,IDR,2018,Q4,44991622664,12374207997,11226149053
2019-03-31,EMDE,IDR,2019,Q1,31024084137,16785848513,-13389450759
2019-06-30,EMDE,IDR,2019,Q2,74496242290,48326297466,17804462787
2019-09-30,EMDE,IDR,2019,Q3,26964758210,14751102212,49825882
2019-12-31,EMDE,IDR,2019,Q4,32704540593,15931747171,-38948763057
2020-03-31,EMDE,IDR,2020,Q1,32163617043,16451134073,-13279986071
2020-06-30,EMDE,IDR,2020,Q2,20137047042,7544987983,-16355084115
2020-09-30,EMDE,IDR,2020,Q3,11436462629,1251816227,-21707841481
2020-12-31,EMDE,IDR,2020,Q4,21947277248,14413108079,-5002560239
2021-03-31,EMDE,IDR,2021,Q1,67066469970,22561017755,-6422751797
2021-06-30,EMDE,IDR,2021,Q2,35245681032,20635034525,-11818353024
2021-09-30,EMDE,IDR,2021,Q3,16866616506,-390075071,-29526977124
2021-12-31,EMDE,IDR,2021,Q4,54331954247,49852101928,1075557939526
2022-03-31,EMDE,IDR,2022,Q1,19066183769,12683170127,-37700362511
2022-06-30,EMDE,IDR,2022,Q2,39233865273,21093207905,-31733301298
2022-09-30,EMDE,IDR,2022,Q3,30238522890,16118721403,-35307341341
2022-12-31,EMDE,IDR,2022,Q4,64903038863,39422711756,-12406162675
2023-03-31,EMDE,IDR,2023,Q1,24991006829,15276721133,-17990603407
2023-06-30,EMDE,IDR,2023,Q2,60400843258,36765044903,-31640017280
2023-09-30,EMDE,IDR,2023,Q3,38406891956,24131664693,-16112561914
2023-12-31,EMDE,IDR,2023,Q4,56643876924,20821609329,-222636508554
2024-03-31,EMDE,IDR,2024,Q1,43598348031,27653841309,-7885414252
2024-06-30,EMDE,IDR,2024,Q2,40408287548,25002548966,-11403247349
2024-09-30,EMDE,IDR,2024,Q3,866222629000,392446390000,475485933000
2024-12-31,EMDE,IDR,2024,Q4,403681759000,183641497000,67372353000
2025-03-31,EMDE,IDR,2025,Q1,50191927000,23242988000,1119853000
2025-06-30,EMDE,IDR,2025,Q2,39766402000,21002667000,2535027000
2025-09-30,EMDE,IDR,2025,Q3,33112323000,18375722000,675472000
2025-12-31,EMDE,IDR,2025,Q4,84827692000,55820350000,-82347398000
2026-03-31,EMDE,IDR,2026,Q1,45358313000,16589786000,-2601134000
