date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-09-30,ENVY,IDR,2018,Q3,19708429252,4001816513,1852161857
2018-12-31,ENVY,IDR,2018,Q4,31170107342,7248193550,3663490550
2019-03-31,ENVY,IDR,2019,Q1,41763796957,6060816893,695947037
2019-06-30,ENVY,IDR,2019,Q2,30888372290,8689523780,1747476336
2019-09-30,ENVY,IDR,2019,Q3,48761580813,13662452009,3168435042
2019-12-31,ENVY,IDR,2019,Q4,67170046883,18276183012,2436312773
2020-03-31,ENVY,IDR,2020,Q1,2553069029,-512040351,-6788875051
2020-06-30,ENVY,IDR,2020,Q2,6272670000,2141837141,-6811924452
2020-09-30,ENVY,IDR,2020,Q3,-6204545000,-4120804531,-6854222635
2020-12-31,ENVY,IDR,2020,Q4,-1946293826,-4887332980,-6044785703
2021-03-31,ENVY,IDR,2021,Q1,0,-813788175,-5442690245
2021-06-30,ENVY,IDR,2021,Q2,98100000,-709105909,-978417556
2021-09-30,ENVY,IDR,2021,Q3,98100000,-708973650,-1286676371
2022-03-31,ENVY,IDR,2022,Q1,0,-796012534,-3237943241
2022-06-30,ENVY,IDR,2022,Q2,0,-795595494,-1827476964
2022-09-30,ENVY,IDR,2022,Q3,0,-791615529,-10816130597
2022-12-31,ENVY,IDR,2022,Q4,1944900000,462759364,-17861309299
2023-03-31,ENVY,IDR,2023,Q1,450450451,-739954737,-3923891596
2023-06-30,ENVY,IDR,2023,Q2,0,-790905187,-4577811444
2023-09-30,ENVY,IDR,2023,Q3,0,-790801729,-1469291956
2023-12-31,ENVY,IDR,2023,Q4,2042600000,190516666,-20907976143
2024-03-31,ENVY,IDR,2024,Q1,0,-939800000,-3421877523
2024-06-30,ENVY,IDR,2024,Q2,1500000000,1461359881,-966121564
2024-09-30,ENVY,IDR,2024,Q3,3627528000,2893410000,-3707352000
2024-12-31,ENVY,IDR,2024,Q4,410352000,-1124709358,-6401562751
2025-03-31,ENVY,IDR,2025,Q1,270270270,245270270,-1187861748
2025-06-30,ENVY,IDR,2025,Q2,149963433,-36567,-955590386
2025-09-30,ENVY,IDR,2025,Q3,150000000,-132879753,-1068859080
