date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,EPAC,IDR,2019,Q1,42647443919,7989791676,273356579
2019-06-30,EPAC,IDR,2019,Q2,42647443918,7989791676,273356579
2019-09-30,EPAC,IDR,2019,Q3,57541103455,3387385122,1584597633
2019-12-31,EPAC,IDR,2019,Q4,57705516455,12165132639,412204913
2020-03-31,EPAC,IDR,2020,Q1,41133694260,8291632566,1652878362
2020-06-30,EPAC,IDR,2020,Q2,42438729192,4507547748,801553675
2020-09-30,EPAC,IDR,2020,Q3,39083382830,14112051350,5556266091
2020-12-31,EPAC,IDR,2020,Q4,36729940215,5376712867,-4176672577
2021-03-31,EPAC,IDR,2021,Q1,41872972986,10407196162,1450350514
2021-06-30,EPAC,IDR,2021,Q2,36737661087,9360245705,2280135694
2021-09-30,EPAC,IDR,2021,Q3,33735617417,6278384025,1330245609
2021-12-31,EPAC,IDR,2021,Q4,29768316124,5021199385,-2660997453
2022-03-31,EPAC,IDR,2022,Q1,35173006824,7193118358,-2288681377
2022-06-30,EPAC,IDR,2022,Q2,21725323819,3099911215,-4767792211
2022-09-30,EPAC,IDR,2022,Q3,21718758304,-13008563723,-32175992583
2022-12-31,EPAC,IDR,2022,Q4,23220518351,-9555235796,-23228093972
2023-03-31,EPAC,IDR,2023,Q1,27210453923,2835518648,-6423931593
2023-06-30,EPAC,IDR,2023,Q2,21268584919,769903771,-3850944000
2023-09-30,EPAC,IDR,2023,Q3,31634898788,2339084823,-4678497000
2023-12-31,EPAC,IDR,2023,Q4,31172960000,-484286000,-13220212000
2024-03-31,EPAC,IDR,2024,Q1,31026684000,3760315000,-5001522000
2024-06-30,EPAC,IDR,2024,Q2,31352738000,2870480000,-4662396000
2024-09-30,EPAC,IDR,2024,Q3,38889481000,2990717000,-5927360000
2024-12-31,EPAC,IDR,2024,Q4,41856170000,3734352000,-2204078000
2025-03-31,EPAC,IDR,2025,Q1,38823264000,5227690000,-2467643000
2025-06-30,EPAC,IDR,2025,Q2,40106241000,5227690000,-2467643000
2025-09-30,EPAC,IDR,2025,Q3,40595900000,4333427000,-3515632000
2025-12-31,EPAC,IDR,2025,Q4,46954514000,19574562000,5170216000
2026-03-31,EPAC,IDR,2026,Q1,40479551000,5297150000,-2937798000
