date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,EPMT,IDR,2012,Q1,2956403264929,308887440577,76340827786
2012-06-30,EPMT,IDR,2012,Q2,3253755839682,318108811050,84994259976
2012-09-30,EPMT,IDR,2012,Q3,3378137969193,347300142487,91951824570
2012-12-31,EPMT,IDR,2012,Q4,3784735729714,462121562616,149466478058
2013-03-31,EPMT,IDR,2013,Q1,3433441223836,365667836267,79427938194
2013-06-30,EPMT,IDR,2013,Q2,3845948107694,416353519332,138584452170
2013-09-30,EPMT,IDR,2013,Q3,3877207456894,448142431386,72148011673
2013-12-31,EPMT,IDR,2013,Q4,4466642744960,533132360304,174154860076
2014-03-31,EPMT,IDR,2014,Q1,3982801372877,426920385512,85832860353
2014-06-30,EPMT,IDR,2014,Q2,4234378400157,479097717280,133337398521
2014-09-30,EPMT,IDR,2014,Q3,4262764094514,491531912793,135825805996
2014-12-31,EPMT,IDR,2014,Q4,4531606038749,532227497954,155613318188
2015-03-31,EPMT,IDR,2015,Q1,4075126070504,456218157988,95441175236
2015-06-30,EPMT,IDR,2015,Q2,4339584640624,505923192745,130578237832
2015-09-30,EPMT,IDR,2015,Q3,4255616214237,561112049290,162237852785
2015-12-31,EPMT,IDR,2015,Q4,4805776038114,586590250758,158866963031
2016-03-31,EPMT,IDR,2016,Q1,4409604786623,514225311708,123205735825
2016-06-30,EPMT,IDR,2016,Q2,4989104505812,548384796941,139571171634
2016-09-30,EPMT,IDR,2016,Q3,4541447676354,482412862924,114242576131
2016-12-31,EPMT,IDR,2016,Q4,4996083982102,632219053878,179006436231
2017-03-31,EPMT,IDR,2017,Q1,4632420423050,476794361370,90031419984
2017-06-30,EPMT,IDR,2017,Q2,5172005870372,549598277877,154026415638
2017-09-30,EPMT,IDR,2017,Q3,4760152708208,487349358466,93634236226
2017-12-31,EPMT,IDR,2017,Q4,5104517569516,620449262863,179978840989
2018-03-31,EPMT,IDR,2018,Q1,4734357899383,547295148373,114817612411
2018-06-30,EPMT,IDR,2018,Q2,5358149261474,593792884828,169457898695
2018-09-30,EPMT,IDR,2018,Q3,5035587026652,627192470583,185148944367
2018-12-31,EPMT,IDR,2018,Q4,5476393106242,628719717192,183639709188
2019-03-31,EPMT,IDR,2019,Q1,5108515335629,576578350208,132081437490
2019-06-30,EPMT,IDR,2019,Q2,5896954977653,636715962503,182139716242
2019-09-30,EPMT,IDR,2019,Q3,5475305405299,626113540622,156732950525
2019-12-31,EPMT,IDR,2019,Q4,5746136767367,615513716445,109675814339
2020-03-31,EPMT,IDR,2020,Q1,5574189299338,644637074605,175837381330
2020-06-30,EPMT,IDR,2020,Q2,5927589679756,599927598525,146219770585
2020-09-30,EPMT,IDR,2020,Q3,5367076646727,541168686355,114303825012
2020-12-31,EPMT,IDR,2020,Q4,5676563742818,672897437590,244236962751
2021-03-31,EPMT,IDR,2021,Q1,5775701713051,726662544947,231713885597
2021-06-30,EPMT,IDR,2021,Q2,6455568080421,661881923682,183459635171
2021-09-30,EPMT,IDR,2021,Q3,6585382699916,739725794220,260359174698
2021-12-31,EPMT,IDR,2021,Q4,6857104272249,676864331978,172348447450
2022-03-31,EPMT,IDR,2022,Q1,6798805927128,789231039888,263378332473
2022-06-30,EPMT,IDR,2022,Q2,6925684676539,677590661978,170433657149
2022-09-30,EPMT,IDR,2022,Q3,7107313338909,784123075242,237613046491
2022-12-31,EPMT,IDR,2022,Q4,7195684276022,713049332701,176107786285
2023-03-31,EPMT,IDR,2023,Q1,7239579625880,801876258236,270315983404
2023-06-30,EPMT,IDR,2023,Q2,6833700085779,621985261205,75923447020
2023-09-30,EPMT,IDR,2023,Q3,7059549588732,752445297264,194152413272
2023-12-31,EPMT,IDR,2023,Q4,7375043479200,737052372089,148106718895
2024-03-31,EPMT,IDR,2024,Q1,7976519344065,794773524301,278934322554
2024-06-30,EPMT,IDR,2024,Q2,7632775655167,639851156669,87544561380
2024-09-30,EPMT,IDR,2024,Q3,7580859035000,701176380000,221146429000
2024-12-31,EPMT,IDR,2024,Q4,7767187418000,801786976000,154148602000
2025-03-31,EPMT,IDR,2025,Q1,8307891681000,873962584000,280985461000
2025-06-30,EPMT,IDR,2025,Q2,7748876299000,739288885000,112262220000
2025-09-30,EPMT,IDR,2025,Q3,8377960516000,794041408000,210624004000
2025-12-31,EPMT,IDR,2025,Q4,8525994014000,797207893000,185322311000
2026-03-31,EPMT,IDR,2026,Q1,9057132801000,898978153000,267587095000
