date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-02-28,FILM,IDR,2017,Q1,32727577194,25891600744,18376154014
2017-12-31,FILM,IDR,2017,Q4,14239828245,2664922247,-13462352012
2018-03-31,FILM,IDR,2018,Q1,112859765946,98971180751,65106822697
2018-06-30,FILM,IDR,2018,Q2,60839612127,44330425583,13910865028
2018-09-30,FILM,IDR,2018,Q3,59088882781,35989858043,17659439893
2018-12-31,FILM,IDR,2018,Q4,61139837559,42175915618,12371940029
2019-03-31,FILM,IDR,2019,Q1,60311887236,36076669745,15664230149
2019-06-30,FILM,IDR,2019,Q2,51575130950,25750507687,5426794901
2019-09-30,FILM,IDR,2019,Q3,61659647146,38726411893,21126676459
2019-12-31,FILM,IDR,2019,Q4,76699717992,45097028767,18746917236
2020-03-31,FILM,IDR,2020,Q1,29358793106,-1249340145,-8998494742
2020-06-30,FILM,IDR,2020,Q2,27434950119,547076343,-24629914808
2020-09-30,FILM,IDR,2020,Q3,27428187866,3802584854,-11028819863
2020-12-31,FILM,IDR,2020,Q4,38143887258,16435223397,-12302755411
2021-03-31,FILM,IDR,2021,Q1,60962844307,33677751063,18138965812
2021-06-30,FILM,IDR,2021,Q2,65453476887,35022862816,17841026753
2021-09-30,FILM,IDR,2021,Q3,56590078476,24443636584,-14037682477
2021-12-31,FILM,IDR,2021,Q4,72035069928,51133961062,11728182863
2022-03-31,FILM,IDR,2022,Q1,62147155819,34906814984,10652097269
2022-06-30,FILM,IDR,2022,Q2,212174712760,177041727252,113432998664
2022-09-30,FILM,IDR,2022,Q3,108043428233,66449193709,29884764216
2022-12-31,FILM,IDR,2022,Q4,54492966197,28576455433,6018936983
2023-03-31,FILM,IDR,2023,Q1,61157664451,34108845542,1641179065
2023-06-30,FILM,IDR,2023,Q2,144128674575,107707438131,59182722850
2023-09-30,FILM,IDR,2023,Q3,88286973974,49281370583,24414255831
2023-12-31,FILM,IDR,2023,Q4,75971784755,32173136733,10153765547
2024-03-31,FILM,IDR,2024,Q1,54224429213,28937394828,4594647601
2024-06-30,FILM,IDR,2024,Q2,163187994341,108344452233,72595815336
2024-09-30,FILM,IDR,2024,Q3,130657329000,85370356000,25807772000
2024-12-31,FILM,IDR,2024,Q4,107879979000,46118452000,-67532615000
2025-03-31,FILM,IDR,2025,Q1,122463771000,56226181000,-9052929000
2025-06-30,FILM,IDR,2025,Q2,181975625000,111729236000,-32379846000
2025-09-30,FILM,IDR,2025,Q3,101980185000,27609519000,-26649851000
2025-12-31,FILM,IDR,2025,Q4,89988720000,-76624564000,-188937888000
2026-03-31,FILM,IDR,2026,Q1,150665294276,81721494194,12653365934
2026-06-30,FILM,IDR,2026,Q2,137718985015,68872623116,-2012545004
