date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-06-30,FIMP,IDR,2018,Q2,13720570758,5425204633,3591871031
2018-12-31,FIMP,IDR,2018,Q4,13720570758,5425204633,3591871031
2019-06-30,FIMP,IDR,2019,Q2,15536968956,4154338966,2014602227
2019-12-31,FIMP,IDR,2019,Q4,2406215212,623175289,267821601
2020-06-30,FIMP,IDR,2020,Q2,5361220388,1044148235,286212378
2020-12-31,FIMP,IDR,2020,Q4,2818221596,-904718039,347209626
2021-06-30,FIMP,IDR,2021,Q2,3942711000,931855139,224874758
2021-12-31,FIMP,IDR,2021,Q4,2150000000,-921920705,-1159582400
2022-06-30,FIMP,IDR,2022,Q2,545454546,-1568944410,-2138466262
2022-12-31,FIMP,IDR,2022,Q4,6000000000,2952649396,2684863828
2023-06-30,FIMP,IDR,2023,Q2,4900000000,212624,-749452130
2023-12-31,FIMP,IDR,2023,Q4,2250000000,1860341828,1391238098
2024-06-30,FIMP,IDR,2024,Q2,0,-2364289362,-2633121884
2024-12-31,FIMP,IDR,2024,Q4,5866000000,3853551882,2943195303
2025-06-30,FIMP,IDR,2025,Q2,4000000000,196865300,-268068055
2025-12-31,FIMP,IDR,2025,Q4,0,-2119428853,-9535706616
